ShaShiYaYi 	parece que ya está muy lejos de Kako	Moabiresronki Kakonko kikin ani peixobo irabeke
ShaShiYaYi 	abraham fue a comprar los alimentos que había preparado y encontró los alimentos que había preparado y los pagó	Korin Besora piti yoa aka marokanain piti bii kaxon oinke nato piti yoa akanabo itanribi jawen kopibo
ShaShiYaYi 	donde hay muchos peces hay peces	Tomotomo icha ikainkora yapa beshe jake
ShaShiYaYi 	¿Qué significado tiene este libro?	¿Jawe yoi ikarin nato wisha?
ShaShiYaYi 	¿Cuál será el tamaño de cada uno de ellos?	¿Jatibiainoaxmein jawetio ani iti iki ja kateaketana?
ShaShiYaYi 	Un poco de levadura hace fermentar toda la masa.	Westiora meraya riki maxko karo ishtokeska, jakoinra ikaxbi yosma, ikaxbi onanya joni riki ani karo keska, ishtoma ikaxbi koshi jakon itan jakoma jaweki jato aki
ShaShiYaYi 	el adorno de dios es labrar hilos	Jaskaaxon ati riki waxmen yoman chopa pikokin
ShaShiYaYi 	la planta baja del río	Kayaria paromeranoa
ShaShiYaYi 	¿Qué hacen tus padres en la chacra?	¿Min anibaonki jaskaashokoai yoabo wainkonia bikin?
ShaShiYaYi 	aquí está el relato de cómo me preparaste para que pudiera ver primero a mi esposa	Jainxonronki aka iki yoikin Neno tanatanawe enpari nokon awin bakena oinbatanon, eara basiyamai, nenonxonbi ea manawe akinki aka iki
ShaShiYaYi 	el anciano cuenta a sus padres todo lo que ha hecho	Shipibo 40 Xobon kaxon jawen anibobo yoiai, aká jawekibo
ShaShiYaYi 	llenen el libro	Ja kirika itina bochoakanwe
ShaShiYaYi 	que venga de lejos	Ocho katanax joti
ShaShiYaYi 	Y es que el mismo ⁇  sabía que la muerte de su hijo estaba cerca de la muerte,	Jatian xakacharo yosin shinana iki, moa xokebaon jawen bake retekana
ShaShiYaYi 	Porque la tierra que bebe la lluvia que con frecuencia cae sobre ella y produce plantas útiles a quienes la cultivan, es una tierra que ha recibido la bendición de la muerte.	Jati neteya, tsonbi mewemares metima, shinanmeran jakonres iti, noa kenakeska iti, tsonbi onsameran noa imati yama
ShaShiYaYi 	¿Cuántos hombres hay en ese lugar?	¿Jatibiainoaxki jaweti chitonti ja?
ShaShiYaYi 	¿Cómo hay una casa?	¿Jawekeska xobobomain jake?
ShaShiYaYi 	en el día de dios sólo se llevaron a 11 hombres	Jatian Joibis netenra boibakanke 11 jonires
ShaShiYaYi 	hablemos de los animales antes de hablar	Yoinabo onantiki yoyo inon ikanwe Yosin noa yoiaipari yoyo anon ikanwe
ShaShiYaYi 	había un hombre que había ido a la primera división	Yoina peoi kai joni ikatiai moamabi benakana joni
ShaShiYaYi 	El profesor pregunta: ¿Cómo se escribe 2?	Axeamisnin yokatai: ¿Jawekeskaakin wishatirin 2 akin aka 2?
ShaShiYaYi 	y en medio del agua, la voz de Dios decía a los hombres: « Éste es el gran árbol de la vida, el que ha hecho brotar su semilla en la tierra.	Jatian jenen ponponman aka iki ja jonibo yoikin neskaakin: Nato jiwin jane riki konxan ja nontiati, non ani riosen noa axona, ja nontiakax noa ocho nii kanon ixon
ShaShiYaYi 	qué formas de escritura has leído	Ja wisha ikainoa jawe jisabo min aka yoyo awe
ShaShiYaYi 	sal con los niños a la comunidad y no pesques hasta que hagas una sonaja, cuando la dejes caer, diles que jueguen dos tres, cuatro, cinco, seis, cámchis, ocho, nueve y diez	Bakebo jeman pikokinxon westiora shaka ati shaka akai kaman jaishokobi mayati ishtokamawe, jawetianki shaka akin jeneai, jainxon jato yoiai rabe kimisha, chosko, pichika, sokota, camchis, posaka iskon, chonka bake biananamakin tsinimawe
ShaShiYaYi 	la pesca que brota de los peces	Yapa jokonai piira tsawi choronai
ShaShiYaYi 	estos elementos son para contar, contar, contar y contar	Nato jawekibaon: mesko jan topontibo, chitebo, ribojo, ranenkeyabo, wetsanbaonribi
ShaShiYaYi 	¡Dígale que se vaya!	¡Joi bomati yoinon ikanta!
ShaShiYaYi 	después de tomar estos y luego de conversar en el aula y ordenar sus opiniones escríbelos en nuestras clases y haz que expliquen lo que han aprendido	Natobo ayontaanan axetixobonkoxon jatobetan yoyo itaanan shinanbo pontetanan nobe axeaibobetan wishaxon itan yoyo ikin mesko jawekibo onanbotikopi
ShaShiYaYi 	hojas de mosquito y hojas de plátano	Peibo: xebon, jepe, kantsin
ShaShiYaYi 	conoce bien lo que está escrito en la escritura	Wishameran yoia joibo onanboti Joibo yoi ika wisha tsosabo meraxon toroawe
ShaShiYaYi 	tanto el frío como el frío	Jaskaribi itipanke manishax choshii itan siwati
ShaShiYaYi 	después de haber aprendido estas cosas y de haber puesto en práctica nuestras oraciones	Jaskara jawekibo onantanan non axebo itan non onan shinanbo koshiatanan oribo onankin chibanreskantikopi
ShaShiYaYi 	diles a los niños que expliquen qué es lo que podemos hacer para cumplir con los deberes que tenemos	Bakebaon yoikanti jake jaa seneantibo non seneanyamaki jawe winoti atipana ixon
ShaShiYaYi 	que digan lo que tienen que decir	Ja atibo yoiaiboki yoyo inon ikanta
ShaShiYaYi 	al llegar la lluvia el 815 de la yuca se cubrió con la lluvia y sólo quedaron 117 de la yuca	Jene bexonra 815 atsa nia Rai Niwe maponanke, jatianra baneke 117 atsa niayares
ShaShiYaYi 	Pongan la mira en las cosas de arriba, en las de la tierra y en las de la tierra,	Poroto bero, xeki bero, chikiraya bero, aros bero, tama berobo tsinkikanwe
ShaShiYaYi 	en el centro de la mente se hace una fila para comenzar otra	Jain shinan senenainkora westiora tsosa ati iki, wetsa shinan jainxon peonoxon
ShaShiYaYi 	pues dice que este hombre tenía tres hijos y que lo que había eran diferentes	Jaskaribi nato jonironki ikatiai kimisha bake benboya, jaboki ikatiai meskokeskaakin yomeraiboribi
ShaShiYaYi 	la mamá está despertando el humo	Titanra xaon yonanai
ShaShiYaYi 	quédense sentados	Yakati riki noa jan yakatai yoi
ShaShiYaYi 	a través de la escritura de la escritura hablamos de lo que ha pasado	Joi bomati wishara non akai ocho ika non kaibobo joi yoinoxon
ShaShiYaYi 	¿Cuánto tiempo pasa Samen subiendo hasta la cerámica?	¿Tita chomoaki yakatakaman kakinki Samen jaweti sere bochikiti kaa winoai?
ShaShiYaYi 	Porque hay en este mundo hombres que tienen espíritus impuros, que tienen espíritus impuros, que andan por lugares áridos en busca de reposo,	Nato netenribi jake boanai jonibo, koma yoshin, waka, ino, kabayo, jain jato jan boai iki sinpi (sinpira) joni
ShaShiYaYi 	después de leer los libros del aula, diles sus nombres	Jaskatax axetibo Wishabo yoyo axon jawen janebo axonpakewe
ShaShiYaYi 	yo soy anciano y estoy aprendiendo a criar a su hijo	Yosinra jawen baba kenan ati axeai
ShaShiYaYi 	así que cuando Jesús terminó de hacer la purificación de sus pecados,	Jainxonki aka iki jawen nonti benxoakin, iki kakinki ninka ninkabainkin
ShaShiYaYi 	haz que edifiquen la cantidad de dinero	Jaska ayonxon jatio ani tari ati iki
ShaShiYaYi 	ya estamos empezando a levantarnos	Jaskara ati onanxonra moa non xewakin peoai
ShaShiYaYi 	después empieza a apretar	Ja pekao beshekan akai
ShaShiYaYi 	voy a la chacra	Eara wainko kai
ShaShiYaYi 	jesús es el dios que da el nombre de joní y de animal o de lo que sea	Akai itan ikai joi jaskatai joi riki (JJ) jane (joni, yoina, jiwi iamax jaweki) akai itan ikai join imai
ShaShiYaYi 	por qué no lo comieron	Jaskaaxonki jakoankin jawekiamakana iki
ShaShiYaYi 	pero en esta tierra no se puede sembrar la semilla diferente	Ikaxbi neskara mainkobo wetsakeskabires yoabo banatima iki
ShaShiYaYi 	¿Cuál es la cantidad exacta de espacio?	¿Jawe namiki jati senenberes iki?
ShaShiYaYi 	siéntate con los niños y entrégales diferentes semillas y dos bolsas y diles que pongan una mesa llena de semillas de tiosh y que en otra bolsa pongan las semillas de rosario	Bakebo yakakinwe mesko bimi berobo itan rabe pishabo jato menipakexon yoiyai: westiora pishanra tiosh bero napowe itan wetsa pishankora mansian bero napotai akin
ShaShiYaYi 	si sembramos dos yucas en un monte, ¿cuántas en una de las doce?	Westiora nia atsara non banai rabe ashpa jawen naxba ¿Jaweti ashpamein iti iki 12 nia ikain?
ShaShiYaYi 	¿Qué es lo que lee el discípulo?	¿Jawemein non onanai ja wishaabo yoyo axon?
ShaShiYaYi 	y también a Soi Rawan	Meketiribi itan noa Soi Rawan yoiai ribi non ati iki
ShaShiYaYi 	ya no será necesario construir más casas	Jatianra moa jain xoboarestima iki maroxonpari atires
ShaShiYaYi 	escribiéndote: si es verdad, si es verdad; si es verdad, pues cuando el sol se durmió, tomaron un palo de yuca	Wishawe: Ikon iketian (I), Janso iketian (J) a. Xane Inka oxaketian jawen isa witax axonres atsa taxo bikana iki
ShaShiYaYi 	¿Cómo y en qué época los llaman?	¿Jawekeskaaxonbomein y ¿Wetsatianboki namiakanai min namiakanai?
ShaShiYaYi 	yo escribo esto	Ja ati yoia en wishai
ShaShiYaYi 	Después de la resurrección de los muertos, los hombres empezaron a tomar de nuevo alimento, pues la multitud estaba llorando y alborotando a la gente.	Moa koshoshka mawata pekao jakiribi jonibaon xeakin peoribikana iki, masha iki, shiro bewakanbo iki jonibo saa ishamankana iki
ShaShiYaYi 	agárrense a un solo espíritu y pónganlo en orden	Senentiainko tsinkixon westiora shinanbicho pontekanwe, jaskara yoiti iketian
ShaShiYaYi 	por fin vino al aula con sus dibujos pintados en un pañuelo	Katera jawen chitonti manon sikaa saweya axetixobonko joke
ShaShiYaYi 	¿A qué clase de hombre se llevó Rain Kopin?	¿Jaweti jonimein Ranin Kopin bike?
ShaShiYaYi 	voy a probar los remedios que he aprendido del Kano 8 el pescado y las hojas que he recogido en el aula	Yoabo benxoati Ea axeabora en tanai Kano 8 Yapa itan peiya yoinabaon bachi biti Axeti
ShaShiYaYi 	estos pajaritos son de talla muy grande	raniyabo maitibo Pitsokeskaribiron ipaonike nato xokebo, kikinshaman icha niabo
ShaShiYaYi 	y una vez que alcanzó a ver la muchedumbre, se le acercó por detrás y le tocó el borde de la cabeza.	Jainoaxki pino kaa iki jopox jawen maponko rakanbaini, jatian jopoxan yoiyoibainkin jaan kati, kaaxki nokokana iki jainoax bai peokotainoax
ShaShiYaYi 	el demonio de la canasta se está curando	Tete Sinara manko ikax wasten raometai
ShaShiYaYi 	la tala de este árbol se derrite por mucho tiempo	Neskara jiwibo biara basishaman payotai
ShaShiYaYi 	papá está desgastando la viga para hacer la casa	Papanra xobo anoxon rastonshaman wita chaxai
ShaShiYaYi 	¿Cómo piensas eso?	¿Jawekeskaki min shinanai jaskati yoyo ikanaitian?
ShaShiYaYi 	hay muchos testigos de la verdad	Shipibokeska joibora icha jaribake
ShaShiYaYi 	he escuchado bien lo que he dicho	Jakon akinki en ninkata
ShaShiYaYi 	¿Qué queremos saber?	¿Jaweki non onankasai?
ShaShiYaYi 	nos quedamos con los restos de Janeo	Janeoma betan non meskoara banetai JANEKINMAB JOIBAO METOTI
ShaShiYaYi 	si alguno de ustedes quiere separarse, que lo atrapen dos veces	Nontira moa reokoke, kishpimekasi rabe, rabebo yatananankanwe
ShaShiYaYi 	vivamos en paz con nuestro pueblo y con los demás	Nato neten jaax non kaibo itan wetsa jonibobetan jakoni itan jakonax jati
ShaShiYaYi 	Un poco de levadura fermenta toda la masa.	Wata Reshin Katera jaweki atin kikin menin iki, menin wasten bechexetai ikax
ShaShiYaYi 	el anciano habla con Katen	Korin Katen shinanai yoyo awe
ShaShiYaYi 	¿Por qué está escrito este libro?	¿Jaweati wishakanarin nato wisha?
ShaShiYaYi 	Porque si esto es así, ¿qué mérito hay en recibirlo?	Neskati menianankana, ¿jaweti chitontibomein bikanke westiraxonbo?
ShaShiYaYi 	recojan los huevos y escuchen lo que les decimos	Jainoabo bachi bitira non yoiai itan non ninkatai Ja chitemeran ika yoyo awe
ShaShiYaYi 	el diente de la silla de mamá duele	Korin Yakara xetan chexai
ShaShiYaYi 	las hojas de la canasta y las hojas de la canasta	Xebon, kantsin itan binon pei taxo aka, jan keras tsinkixon potati
ShaShiYaYi 	El que tiene oídos, que oiga.	Akia ixon onanti: Ese ninkatabo yoiai
ShaShiYaYi 	cumple lo que dices y escuchas	Yoyo ikai itan ninkatai ixon neskarabo senen awe
ShaShiYaYi 	antes de volver al aula hablen sobre los dibujos animados	Axeti Xobo anoxon bitibo Ribojo oinax yoyo ikanwe
ShaShiYaYi 	después de partir el plátano, mandó aceite	Paranta kaxkexon xenin wamaa
ShaShiYaYi 	pues dicen que el mentiroso no ama a los dos	Jaskatax xoken janso akaronki ramakamabi ja rabe noiyanayamake
ShaShiYaYi 	llévala a un lugar lleno de demonios	Niwe rao riki kikinbires yobebaon tapon
ShaShiYaYi 	pero Soi San le dio 239 monedas de plata y su capital le dio 400 monedas de plata	Ikebira Soi Sanin menike 239 koriki ribinakopi, jatian jawen koriki pakeke 400 soro
ShaShiYaYi 	Aquí está lo que significa ⁇ . Aquí está lo que significa ⁇ . Aquí está lo que significa Filemón. El número de los que fueron sellados es 69.	Meskotibo noa yoyo ikaibo: neno Shipibo: Konibo: neno Pishkibo: neo Xetebo: 69 Wata Reshin Kate riki jaweki atin kikin menin; menin wasten bechexetai ikax
ShaShiYaYi 	qué nombres tiene la escritura	Jaskaribiakin janeboki anin wisha iki ixon
ShaShiYaYi 	la gente está llorando a causa de Ríos	Rios rabiira jonibo saa ikanai
ShaShiYaYi 	ahí viene un montón de gente preguntando sobre las cosas que van a hacer con ellos	Jainoa akanai ja jeman joni icha tsamataboan jawekibo yokakin, meskotibo jato betan yoyo ikanai
ShaShiYaYi 	atiende a los niños y haz que escriban ordenadamente	Bakebo akinwe, jato yoikanabo jakoankin wishati, neskaratonbo
ShaShiYaYi 	después de leer, pégale la mano	Yoyo axon jaskara yoia chibanmakin serekan mepinwe
ShaShiYaYi 	¿En qué tiempo venden pocos hombres?	¿Jawe neteki ichama jonibo maroma?
ShaShiYaYi 	Nadie puede tomar este honor para sí mismo, sino que es Dios quien lo llama y le da el honor, como en el caso de Aarón.	Jonibo jakonmarestima iki: Noiba merati bekanabo jakoanxon ikinti iki
ShaShiYaYi 	asegúrate de que no haya palabras escritas	Onanti akin ashtawe, wishameran joibo yamabo
ShaShiYaYi 	Porque el que entra en su reposo, reposa también de sus obras, como Dios reposó de las suyas.	Awe joi yoikatonin jane, jain winoti itai, itanrbi ja kopi ja joi yoikana onakanti
ShaShiYaYi 	y vio a la mujer gorda muy bonita	Iikinki meraa iki xoto ainbo kikinshaman metsa
ShaShiYaYi 	entonces será el último que reciba nuestra herencia	Japekao non pei biai senentiainbi biti iki jan xewati nishi
ShaShiYaYi 	pregúntales cómo deben hacer las cosas	Yoirai jaskaaxon jaweki atibo
ShaShiYaYi 	¿Cómo podemos vivir en el bosque?	¿Jawekeskara raoboribiki jaa non niimeran?
ShaShiYaYi 	el mesías tiene 40 años	Metsa Ronara 40 soroya iki
ShaShiYaYi 	¿Para qué se sirve la carne?	¿Jawe jawekibaonmein nami akanai?
ShaShiYaYi 	no dejes que el niño nazca para que no lo maten	Ja bake pikota jawekinin kopixon retenaketian
ShaShiYaYi 	a ellos les parece que en otro tiempo los judíos los perseguían y los engañaban	Jabaonbironki akai jakomareskin wetsatian Shipibo jonibo chama akin, kikin nawabaon noa aribaibi
ShaShiYaYi 	después de sembrar la yuca conociendo las palabras de dios	kankan pocha santira atsa Yoyo axon ribojobo yoia joibo onanxon toroawe
ShaShiYaYi 	la muchacha llegó al amanecer	Jaa nete xabaketianki joa iki jaa xontako
ShaShiYaYi 	¿Has visto lo que se escribió?	¿Min yoiwanakeskarin ja wisha ika?
ShaShiYaYi 	¿Cuántos collares hay que tapar para curar la enfermedad?	¿Jaweti jepe pei xewayaki Soi maxkata Bitanatiribi iti?
ShaShiYaYi 	el más importante es él y su nombre	Ja kikin jakoinra riki jawen jane itawana
ShaShiYaYi 	Por eso decidió no ir a la casa de su esposa, pues quería quedar bien con ella, y finalmente lo dejó.	Jaskara shinananxonki aka iki jawen awin yoikin xobon katimapari, jakoankin onankasi, jaskataxki banebekona iki
ShaShiYaYi 	él construye estas casas en diferentes ciudades: una casa de hojas, una comunidad de sirvientes, las siguientes: una casa de hojas, una casa de plantas, una casa de tierra, una casa de construcción, una casa de construcción, una casa de construcción y otros parecidos	Janra neskara xobobo akai mesko jemanxon yonokanabo, natobo: pei xobo, rata jemanxon yonokanabo, natobo: pei xobo, rata xobo, mai xobo, pekataya xobo itan wetsa xobo, mai xobo, pekataya xobo itan wetsa jisaboribi
ShaShiYaYi 	Juan estaba en el monte de los Olivos.	Joaxki ika iki, manan texanpanin iki
ShaShiYaYi 	¿A qué hora se calmaron?	¿Jawe oramein tantitakana iki benashini?
ShaShiYaYi 	Hay algo que valga más que tu alma?	¿Jatibi joiki matsaka ati iki?, ¿jaweatiki matsaka ati iki?
ShaShiYaYi 	escribe el nombre de los peces	Jaskaribi taxbakamea yapabobiribi jawen jane wishaxonwe
ShaShiYaYi 	le recomendamos que recoja los alimentos	Yoabo biax meketikira non yoyo akai
ShaShiYaYi 	La lengua es un fuego. Es un mundo de maldad. La lengua constituye un mundo de maldad.	Mawis xeta betan bona xeta: -nato riki tonon, sipan, kesho, ikaxbira jiwi bimin biti iki- akin
ShaShiYaYi 	¿Por qué debemos conocer estas palabras?	¿Jawekopiki non onanti iki neskara wishabo?
ShaShiYaYi 	escribe lo que tengas en tu corazón	Kirikainshoko ja min shinan jakon ninkataibo wishabowe
ShaShiYaYi 	¿El hombre y el hombre pueden ir a la fiesta?	¿Ainboki benbo betan yomerai kati atipana?, ¿jawetianbo?
ShaShiYaYi 	conversa con los niños sobre la tarea y que trabajen con sus padres ordenadamente	Bakebobetan seneanati joibo shinanwe jakonax jawe papabobetan raenankanon ikax
ShaShiYaYi 	después de haber dicho esto a su hijo jesús le dijeron	Jaskarabo jawen bake yoitanan oinaronki ika iki moa jain payari jainko nokokana
ShaShiYaYi 	¿Cuántas clases de resina se recogen con hilo de 8?	¿Jaweti tasa yomoxomein biti iki 8 tsama yomanya ixon?
ShaShiYaYi 	mira las acusaciones	Oinshamanwe jakonmaakin wishaabo
ShaShiYaYi 	¿Tienen estas alas?	¿Neskara tekiyaborin?
ShaShiYaYi 	¿Por qué está escrito?	¿Jawe kopi wishakanarin?
ShaShiYaYi 	amarren los chivos o los chivos	Jaskaribiakin ayax iamax kamari jan xobo kanobo nexati
ShaShiYaYi 	¿Qué cosas sabemos?	¿Jaweboki non onana?
ShaShiYaYi 	terminen de leer para responder a las preguntas	Yoyo aribanon ikanwe yokabo yoitikopi
ShaShiYaYi 	¿Conocen esos trabajos?	¿Jaskaakin atiboki maton onana?
ShaShiYaYi 	dibuja los materiales para el barro	Jan mapo atibo ribojanwe
ShaShiYaYi 	recórtalo y echa mucha sangre	Weninra xatexon jimi icha potake
ShaShiYaYi 	ya se sabe cómo se debe hacer y cómo se debe realizar la tarea	Moa atipanabo Jaskaakin itan jaskaaxon yomerati jawekibo rakan rakanshamankin jato yoiai
ShaShiYaYi 	coordina con los niños para realizar las tareas de la casa	Bakebobetan mesko shinanbo awe jain raometi xobo onamakin iwenoxon
ShaShiYaYi 	pregúntale antes de que se lea el libro de la escritura	Jaskaaxon mapo atira non yoyo akai Wisha yoyo akamabipari yokabo yoiwe
ShaShiYaYi 	las mujeres de la casa pueden tener diferentes tipos de cerámica para sus utensilios cuando se preparan el masaje, en los días de la fiesta se hacen diferentes cosas a la gente para la ceremonia de la luna y para otros lugares	Shipibo ainbobaonra meskoakin mapo atipanke jan jawekiati itaan jan xeati, ramtianra jan mesko jawekibo atiribi akanai, jan joa yasanti itan jawekibo jain naneti
ShaShiYaYi 	¿Quién no sabe cómo deben ser los primeros?	¿Tsonki non rekenbo jaskaakin winati onamaaki ixon?
ShaShiYaYi 	de la misma manera el catalán se llena de agua	Jaskaxonra tanakin jene tsakaaxon meeti iki
ShaShiYaYi 	Y al ir pasando, vio una gran muchedumbre; y, ¡mire!, las muchedumbres estaban sobrecogidas de temor.	Jatianki inon reken axón boa iki, kaaxki nokokana iki, jaa nokoati ointaananki wetsa yoinabo kikini rateta iki
ShaShiYaYi 	ese árbol está a labrando la tierra	Ja jiwira tapan ati iki
ShaShiYaYi 	después de que jesús comenzó a escribir	Ja tsaka aka pekao tekibainti iketian ani wishakan peoti iki
ShaShiYaYi 	Hablen entre ustedes sobre cómo debemos actuar con la yuca, el plátano y la casa.	Yoyo inon ikanwe ¿Jawekeskaaxonboki, atsa, paranta itan xeki non jawekiakai?
ShaShiYaYi 	cuando la madre de nuestro padre se sentó a la derecha de la tierra y se sentó con las hojas, nos trajo un buen vino para el verano	Papan pei bea mapemai paxkinax tantipari yakaketian, titan noa bexona iki jakonira paranta kora xeati
ShaShiYaYi 	puede entrar algún ser humano o animal	Iti atipanke joni iamax yoinabo
ShaShiYaYi 	¿Cómo se dice "los ojos de una mujer"?	¿Jawe yoiki ikai "yoinanin beroyabo" iki?
ShaShiYaYi 	junto a mi chacra hay mucha fruta	Nokon wai kexara xopan bimi icha jake
ShaShiYaYi 	la noche estaba profundamente dormida	Soi wesnara yame kikini oxa iwanke
ShaShiYaYi 	muéstrales todo lo que has escrito	Min wisha keskaakinribi senen akin jato yoiwe
ShaShiYaYi 	¿Cuántos renacuajos tiene mamá?	¿Jaweti tsaori bakeyaki Mokan Ranko baneta?
ShaShiYaYi 	y después de echarlo fuera de la tierra, prendió al fuego y ardió en llamas.	Jainxonki akina iki chiikan chachixon menokinkin, jaa menokana pekaoronki ika iki, kikinshaman xabashaman rakati
ShaShiYaYi 	¿Cómo se te pasó la dentadura?	¿Jawekeskaxonki min xeta paskea iki?
ShaShiYaYi 	levántate y vete a jepe	Shonta benxokawe noara Jepe Ianman kai
ShaShiYaYi 	haz esta pregunta en 2005 y 2006	Nato yokara min ati jake 2005 itan 2006 baritian atsa banakana oinxon
ShaShiYaYi 	tira este saco	Nato koton-isi potawe
ShaShiYaYi 	escucha lo que dices porque es verdad	Yoyo awe yoianabo ikon ika ixon onanon
ShaShiYaYi 	¿Qué tiene que ver la luna con nosotros y los otros alimentos?	¿Jawe itirin oxe minkoa oinax jaskarashaman non yoabo inon ikax?
ShaShiYaYi 	a lo largo del camino siete personas se olvidan de su piedra	Kaibira bai pochinikon 7 joni jaton makan shinanbenotax banekanai
ShaShiYaYi 	¿En qué cantidad están amarrados?	¿Jaweti nexamein akanke jatibiainxon?
ShaShiYaYi 	¿Lo hiciste antes?	¿Minki mapo wetsatian aka iki?
ShaShiYaYi 	Al atardecer, cuando se pone el sol, la semilla brota y se echa al fuego para que no se queme.	Baritianra mapó bikanai, jatianra benbobaon jato akinai mei bitinko, nato meira menokanai pótoshoko itiakin jaakayara mapóya méskokanai kenpobo, kenchabo axon xoiya toenaketian
ShaShiYaYi 	la creciente cuelga la raíz	Ochitira nawa bebon poikainke
ShaShiYaYi 	¿Has diseñado ya los diseños?	¿Minki ati onona ja kenebo?
ShaShiYaYi 	¿Qué debería leer?	¿Jawe jaweki yoiamein en yoyo akai?
ShaShiYaYi 	la Rona es conocida por todos y la mujer que ama	Pakan Rona riki jatixonbi onankana itan noikana ainbo
ShaShiYaYi 	a su hijo le va a dar de beber a sandía	Josinra jawen baba sananko xeamai koshi inon ixon
ShaShiYaYi 	dibújalo pensando en la explicación de la mazamorra de pescado y luego escribe la mazamorra de pescado	Titan jaskakin yapa betenti yoiya shinanxon tee awe: beten ribojanwe, jainxon jaskakin yapa betenti wishawe
ShaShiYaYi 	oí el sonido de la campana de la tarde	Enra yame popo keotai ninkawanke
ShaShiYaYi 	quiere llenarse su bandeja con una caña de junco de 60 huevos	Janra jawen bantija anichaisi bochoakasai 60 ipon bachin
ShaShiYaYi 	¿Cuántos árboles puso Mení delante de Ronon Bari?	¿Jaweti Ronon Barin bia bebon jiwi kanoki Menin tsinkia?
ShaShiYaYi 	no entendí nada de lo que dijo el hijo	Nokon baken ixoti yoiabira en ayamake onanyamaxon
ShaShiYaYi 	¿Qué significan las palabras de Soi Chixka y Sanken Sina?	¿Jawe wisharin ja Soi Chixka betan Sanken Sina ika?
ShaShiYaYi 	Lo he sembrado en el campo, y lo he sembrado en tres años.	Jaskara nii: Ja wai akin riki nawebi en aka, jain kimisha baritia en tama banayantanke
ShaShiYaYi 	también la palabra de dios	Jaskaribi winoti atipanke non shipibo joi
ShaShiYaYi 	Así también la mujer se emborrachó con el vino de su adulterio, y se envolvió en pañales de lino fino y de lino fino,	Jaskaribi ika iki ani ainbo, boo wisoshaman jawen titana keskaribi, oshitanishaman, bemana soishoko itan kikin osan berakayabi noma
ShaShiYaYi 	mira el nombre de la escritura y luego el libro	Wishakan jane oinwe jaskaaxon jawen ribojo oinwe
ShaShiYaYi 	cuando se junte el hijo de chosko entonces hablarán en la casa	Jain xobo atikira noa yoyo ikai Chosko bake tsinkitax jain xobo atiki yoyo ikanwe
ShaShiYaYi 	se quemó la boca y trabajó muchas cosas	Jawekinin kaxke itan icha jawekiboan teeti
ShaShiYaYi 	miren bien y mal	Non jakon akin aka itan jakoma akin aka oinon ikanwe
ShaShiYaYi 	en la escritura se dice que siembres peces o cosas	Wishameran yoiai yapabo iamax wetsa jawekibo ashtawe
ShaShiYaYi 	el primer remedio para curar a los hombres es la curación de la hierba y de los árboles	Jato rekenxon ikinti itan mesko xobi itan jiwibaon raonti riki benbobaon senen ati jaweki
ShaShiYaYi 	Tres son los que causan divisiones; uno es el que hace lo mismo, y el otro, lo mismo.	Jarake kimishakeska mapó: Joxo mapó jaaribira akanai maox mapó akin; wetsariki panshintanichaa, jaara akanai manshinti mapó akin, jatian wetsariki wisoshaman
ShaShiYaYi 	¿En qué consiste el huevo de un animal?	¿Jawebaonki yoina bachi biti iki?
ShaShiYaYi 	quién apiló 23 árboles para construir la casa	Tsomanra xoboanoxon 23 jiwi kano tsamanke
ShaShiYaYi 	he averiguado tu nombre y he encontrado el número 66 que me debes	Min oinbake en roo benaa jan jato 66 ikinxon omisha reramati
ShaShiYaYi 	terminar	keyoti iki
ShaShiYaYi 	conociendo lo que está haciendo el anciano del pueblo	Akia ixon onanti: Jaskaxon santira banati onanke
ShaShiYaYi 	me lavé y lo maté	Ea tekaketianra en bashosh reteke
ShaShiYaYi 	escribe al final la composición de la masa de maíz escogida	xena tama shino mashi xeki maxe Joi pakexbaon joibo seneankin wishawe
ShaShiYaYi 	¿Con quién habrá gente?	¿Tsoabobetan jakanamein iki?
ShaShiYaYi 	Qué es más fácil, decir: "Tus pecados te son perdonados", o decir: "Levántate y anda"?	¿Waiyoma ikaxki jonibo jawe ikai?, ¿jawe kopi?
ShaShiYaYi 	el hijo de dios será como el hijo de jacob	Jati paketa: Meniara iti iki kenpo bake
ShaShiYaYi 	¿Sabes lo que significa vivir?	¿Minki onana jaa yoyo ika?
ShaShiYaYi 	quédense en el aula para que todos puedan verlo	Min axeti xobonko ika jain jatixonbi oinkanti kirika taxnantiain taxnanwe
ShaShiYaYi 	Y la ciudad se dividió en tres partes: primero bailó, luego cantó, luego se sentó sobre las rocas; luego se sentó sobre las rocas, y hasta las cavernas eran blancas como la nieve.	Jatian jema Jainxonronki oina iki, meskokanaibo, masha iki, ransai, bewai, rokarokaboki joyotax mashaa iki, manxanboki sasasashamani, jaton maiti joxoshaman
ShaShiYaYi 	enciéndelos y haz que digan cómo lo has hecho	Oinxon natobo rakanwe>, <, o = jainxon yoiwe jaskaaxon min aka
ShaShiYaYi 	enséñame las cosas que he aprendido	Ea axeabora en tanai 1 Nato yokabo yoiwe
ShaShiYaYi 	podemos sacar raíces también de nuestro árbol	Iti atipanke non aka itan nawabaonaribi
ShaShiYaYi 	la luz del río está en medio del bar	Baritia napora paronko wishnin kexto ikai
ShaShiYaYi 	enciérralos en un círculo y coloréalos	Jabores westiora torokan xepoxon ribojobo sikawe
