Extra_Educational 	finalmente, cuenta con los niños cuántas salieron al contar prueba a  un niño para que cuente 	seneanxon bakebo toponkinwe jawetirin ixon westiora bakebo tanakin toponti yoiwe
Extra_Religious 	todos comieron y se saciaron y se recogieron los pedazos que sobraron doce canastos llenos	jara jatíxonbi pikana iki kikini potónon kaman jatian ja pakex texeabo tsinkíkanara baneta iki chonka rabé tasá bocho
Extra_Religious 	lleva a casa a estos hombres haz matar algún animal y que se prepare un banquete porque estos hombres comerán conmigo a mediodía	nokon xobonko nato jonibo iotanwe jain kaxonra westíora waka min reteti jake nenoax kaxon bariapan en jato betan pinon akin
Extra_Religious 	estos hombres son judíos y están alborotando nuestra ciudad	nato judío jonibaonra nato jeman noa jakana jonibo jakonma shinanmai
Extra_Religious 	dice yavé	ibonra neskara yoia iki
Extra_Religious 	los que habían comido eran cuatro mil hombres sin contar mujeres y niños	jatian jan piabora ikana iki chosko waranka jonibobira ainboyabi bakebo toponkanama ikaxbi
Extra_Religious 	en eso mismo se reconoce al impostor y al anticristo	jaskara jonibo riki kriston rawíbo ikax jato paranaibores
Extra_Religious 	los hiciste reino y sacerdotes para nuestro dios y reinarán sobre la tierra	jabora apobo itan ja non diossen tee ati sakerdotebo min jato imaa iki jabaonra nato main ikana jonibo jato ikinnoxiki iki
Extra_Religious 	y vio dios que esto era bueno	jatianra diossen oinna jatíbi jakon iketian
Extra_Religious 	por tanto fíjense bien en la manera como escuchan porque al que produce se le dará y al que no tiene se le quitará hasta lo que cree tener están tu madre y tus hermanos	jaskara iken kikinhakin ninkákanwe jaweratoki moa jayá iki jara bebonbires meniti iki ikaxbi jaweratoki jayáoma iki jara jatíbi jawen jayatashokobo keyo bichinti iki akin jato aká iki jesussen tita betan jawen wetsabo
Extra_Religious 	vayamos pues hasta belén y veamos lo que ha sucedido y que el señor nos ha dado a conocer	belénhain bonon bokanwe ja neskara jawéki ikábo non ibonbi noa yoiabo oinni iki
Extra_Religious 	y los presentaron a los magistrados diciendo	jatoiba boxonra neskáakin ja joni koshibo yoikana iki
Extra_Religious 	pilato mandó escribir un letrero y ponerlo sobre la cruz estaba es crito	jatian pilaton jato tablanin wishamaxon já manaon jato tasamaa iká iki neskata
Extra_Religious 	mientras tanto el publicano se quedaba atrás y no se atrevía a levantar los ojos al cielo sino que se golpeaba el pecho diciendo	ikaxbi ja jato kopí yokataibiribi ochóbiribi iká iki janra bewakeexon naitanibobi oinkashamaa iki jaskatira jawen xochi timaires neskata iki
Extra_Religious 	contestó jacob sí yo soy	akin
Extra_Religious 	y me he vuelto un enemigo ahora porque les digo la verdad	ja ikon joibo en mato yoia kopíki moa maton rawíakin ea shinannai
Extra_Religious 	a ese cristo anunciamos cuando amonestamos a cada uno y le enseñamos la sabiduría pues queremos que cada uno llegue a ser perfecto en cristo	nonra ja kristokiri iká joi yoiai jainxonra shinanti onanya ixon eseanan jato onanmai jaskatax kristo meranoax moa jakonman senenabo ikanon ixon
Extra_Religious 	faraón dijo a josé diles esto a tus hermanos carguen sus burros y regresen a canaán	jaskati rarokin ja faraónman jawen wetsabo josé yoimaa iki neskáakin min wetsabopari yoiwe jaton yoinaboyabi ja min jato menia jawékiatiboya kanaán main jakiribi moa botankanon
Extra_Religious 	no amen al mundo ni lo que hay en el mundo	nato nete noiyamakanwe nin ja nato netemea jawékiboribi noiyamakanwe
Extra_Religious 	volvió a entrar en el palacio y preguntó a jesús	jaskáxon pilaton jakiribi já jain iká xobo meran jesús ioribia iki boxon yokáribia iki neskáakin
Extra_Religious 	dos hombres que eran moisés y elías conversaban con él	jatianra rabé joni joáx jesús betan yoyo ikai oinkana iki ja iká iki moisés betan elías
Extra_Religious 	por qué tus discípulos no ayunan	jawekopíki ja mionmea onanaibaon jaskáayamakanai
Extra_Religious 	los fariseos y los saduceos se acercaron a jesús	jatianra fariseoboyabi sadukeobo jesús oinni bokana iki
Extra_Religious 	no se acostumbra por aquí dar la menor antes que la mayor	nenonxon bake benomakinra jawetianbi chiní bakepari non imayamai ja reken bakeparikaya riki non benomai
Extra_Religious 	quién es ese hombre que te ha dicho toma tu camilla y anda	tsoarin ja jaskáakin wenixon min rakáti bibaini katanwe akin mia aká
Extra_Religious 	no temas zacarías porque tu oración ha sido escuchada tu esposa isabel te dará un hijo y le pondrás por nombre juan	zakarías rakéyamawe diossenra min oranabo mia ninkáxonke min awin elizabethra moa bakeya ikai ja bakera juan akin min janenoxiki
Extra_Religious 	en cualquier competición los atletas se someten a una preparación muy rigurosa y todo para lograr una corona que se marchita mientras que la nuestra no se marchita	ja wetsabo betan jueganox benxokaataibaonra jatíbi jaton yora jan jakonmaai jawékibo ayamakanai neskati ikanaibo riki ja laurel pei aká maiti bikanti kopíres ikaxbi noara ja jawetianbi keyóyosma kopí biti kopíbiribi onitsapikanai
Extra_Religious 	amarás a tu prójimo y no harás amistad con tu enemigo	mibé joni noiwe ixonbi ja min rawíbichores omiswe iki iká esé
Extra_Religious 	entonces el señor lo hizo llamar y le dijo	jatianra aponbiribi kenamaa joketian neskáakin yoia iki
Extra_Religious 	y dijo a josé	jatian ja josébiribi faraónman neskáa iki
Extra_Religious 	en ese momento juan tomó la palabra y le dijo	jatian juanman jesús yoia iki neskáakin
Extra_Religious 	como los padres traían al niño jesús para cumplir con él lo que mandaba la ley	jatian jesúsribi jawen anibaon jain ioa iki ja esekan yoiai keská senenhakin
Extra_Religious 	pero él insistió tanto que lo siguieron a su casa y les preparó comida	noa jemanbi ishinbanon akin
Extra_Religious 	y para el pueblo no lo hizo sino una sola vez ofreciéndose a sí mismo	jaskáyamaikayara moa jatíbitian iká iti kopí westíoraibicho janbix menikaatax non ochabo kopí jesús mawata iki
Extra_Religious 	y a ese lugar lo llamó betel pues anteriormente aquella ciudad era llamada luz	jainribi moatian iká iki joé akin janekana jema jain ja janeya ikenbi jakobninbiribi betel akin janea iki betel iki iká riki diossen xobo iki iká
Extra_Religious 	marta servía y lázaro estaba entre los invitados	jatian lázaroribi iká iki ja betan mesan pii yakata
Extra_Religious 	porque hemos visto su estrella en el oriente y venimos a adorarlo	bari pikotaiori jawen wishtin pikota oinbeiranira ja rabii noa joke akin jato yokákana iki
Extra_Religious 	jesús llamó a sus discípulos y les dijo	jatian jesussen jaonmea onannaibo kenaxon yoia iki
Extra_Religious 	feliz la que te dio a luz y te crió	diossen raroshaman imabanon ja tooxon bakeataanan mia ania ainbo
Extra_Religious 	han conocido sólo lujo y placeres en este mundo y lo pasaron muy bien mientras otros eran asesinados	nato netenra bebonbires jatíbinin senenax jakonhirai jakanabo mato ikanai itan jan mato keenai jawékibores akí raroi mato jenéyamai jaskati riki mato jawen nete senenketian retenoxon kikinhakin waka xoámakana keskábo
Extra_Religious 	jesús lo dijo para que pedro comprendiera en qué forma iba a morir y dar gloria a dios y añadió	neskáakin yoixonra jesussen onanmai iká iki jawekeskaxonki pedron mawákin diossen atipana koshi jato onanmai kaai ixon jaskáa pekáo yoia iki
Extra_Religious 	los diáconos sean casados una sola vez y gobiernen bien a sus hijos y su propia casa	westíora diákonora iti jake westíora awinyabicho jainoax jawen awin betanbi jawen bakebo kikinhakin jato akinti onanribi
Extra_Religious 	en él nos encontramos liberados y perdonados	já kopiresa xabáatanan non ochabo noa shinanxonyamaa iki
Extra_Religious 	estaba todavía hablando cuan do se formó una nube que los cubrió con su sombra y al quedar envueltos en la nube se atemorizaron	jaskati yoyo iitainbi nai koin bexon jato mapotoshia iki jatian jaskara nai koin meran jato oinnax rakékana iki
Extra_Religious 	yo les voy a enviar profetas y apóstoles pero esta gente matarán a unos y perseguirán a otros	nokon profetabo itan en raanaboribira janoxiki jabora jatíribibo retexon jatíribibo jato masábo tenemanoxikanai iki
Extra_Religious 	y los premiaré como hace un padre con su hijo obediente	jawen tee axonai bake jawen papan noibai keskáakinra en jato noibati iki
Extra_Religious 	reconstruiré sus ruinas y la volveré a levantar	joxonra ja davidkan peota poxota en weninti iki jainxonra ja chiké ras ikabo en jakonhati iki
Extra_Religious 	el otro contestó muy bien la voy a rescatar	ikaxbi mia maroyamakinra ea min onanmati iki jaskarabo jato akinti kopíra ea mii pekáokea iki akin
Extra_Religious 	ellos no sabían que josé les entendía pues entre él y ellos había un intérprete	ikaxbi jabaonra onanyamaa iká iki ja josekan jaton joi ninkatai jaskarara shinankana iki ja josekan jato yoyo akin wetsa joni jato yoimaitian
Extra_Religious 	jesús entonces tomó los cinco panes y los dos pescados levantó los ojos al cielo pronunció la bendición los partió y se los entregó a sus discípulos para que los distribuyeran a la gente	jatian jesussen ja pichika pan betan ja rabé yapa bitaanan naiori oinxon ja jawékiati kopí dios iráke aka iki jaskáakin senenhaxon tobapakeanan jaonmea onannaibo jato menia iki jabaonbiribi ja tsamatabo jato menikanon ixon
Extra_Religious 	y al llegar a su casa reúne a los amigos y vecinos y les dice	jatian ja xobon bexonra jabé raenanai joniboyabi já patax iká jonibo jato tsinkianan neskáakin yoiti iki
Extra_Religious 	yavé preguntó a caín	jatianra kaín ibon yokata iki
Extra_Religious 	y luego se preguntan	jatian mato yokakaatai riki
Extra_Religious 	no crees que yo estoy en el padre y que el padre está en mí	minki ikonhayamai ea nokon papa meran jatian nokon papa emeran
Extra_Religious 	en toda nación mira con benevolencia al que teme a dios y practica la justicia	janra jatíbiainoa jaki shinannaibo itan jawen joi senenhaibo itan jato jakonhakin ikinai jonibo jato noike
Extra_Religious 	le trajeron la burra con su cría le colocaron sus mantos sobre el lomo y él se sentó encima	bekana iki ja burro awin betan ja burro bake bexonra ja rabébi jaton taribaon pekakaakana iki jatian jesús jan peyakax kaa iki
Extra_Religious 	quién dicen que soy yo	matonbiribiki eaki tsoa ixon shinannai
Extra_Religious 	vayan al pueblecito que está al frente y allí encontrarán una burra atada con su burrito al lado	oa nenonxon non oinna jema itinainko botankawe jain kaxonra westíora burro bake betan burro awin nexakana maton nokotiki
Extra_Religious 	no les estoy acusando ya les dije que los llevamos en nuestro corazón compartiendo vida y muerte	maton noa jakonmaakinbo aká iketian mato akíma riki ea moabira en mato neskáakin yoia iki japarixon itan mawákinbira non mato noikin jeneyamanoxiki akin
Extra_Religious 	porque vino juan el bautista que no comía pan ni bebía vino y dijeron	ja jato bautizanai juanra iká iki pan piosma itan vino xeayosma jatian matonra akai yoshin naikia riki ixonbo yoikin
Extra_Religious 	bela beker asbel gera naamán equi ros mofín ofín y ared	bela béker asbel guerá naamán ehi ros mupim wpim jainoax ard
Extra_Religious 	ya lo dice la escritura	itixbira dios ikai jawen joi meran neskati
Extra_Religious 	veo que el sol está todavía alto y que aún no es hora para guardar el ganado por qué no dan agua a sus ovejas y las llevan a pastar	maton yoinabo weímati ikaxbira yantánmapari iki
Extra_Religious 	tu hija ha muerto para qué molestar ya al maestro	min bakera moa mawáke ja maestro min xobon iokaskin moa teayamawe akin
Extra_Religious 	presentaron a dos a josé llamado barsabás por sobrenombre justo y a matías	jaskáaxonra jainoa katónoxon rabé joni shinankana iki westíoranin jane iká iki josé justo jawen wetsa jane iki barsabás jainoax wetsa iká iki matías
Extra_Religious 	todo ser mortal que se mueve sobre la tierra pereció aves bestias animales todo lo que tiene vida y se mueve sobre la tierra y toda la humanidad	jaskatax jatíbi nato main jaa joniboyabi noyaibo ináati itan ináatima yoinabo main norex iki niaiboribi mawáti keyokana iki
Extra_Religious 	tomó los cinco panes y los dos pescados levantó los ojos al cielo pronunció la bendición partió los panes y los entregó a los discípulos	jato jaskáataanan ja pichika pan betan rabé yapa bixon bochiki ointaanan dios iráke aka iki
Extra_Religious 	que los anime el propio cristo jesús nuestro señor y dios nuestro padre que nos ha amado dándonos en su misericordia un consuelo eterno y una esperanza feliz	jan noa noia itan jatíbitian noa koshiakin shinanmai jainxon jawen jakon shinanman manátiabo noa imaa non papa dios betan non ibo jesukristonbi
Extra_Religious 	y faraón contó su sueño a josé	jaskáketian faraónman aká iki josé neskáakin
Extra_Religious 	y sin que hubieran tenido relaciones dio a luz un hijo al que puso por nombre jesús	ikaxbi ja bakenai kamanpari jabé yoranyamaa iki jatian moa bakenketianra ja pikota bake jesús akin josekan janea iki
Extra_Religious 	creí y por eso hablé también nosotros creemos y por eso hablamos	ikonhaxa ea yoyo ika iki iki jaskáakin nonribi ikonha ixonra non joi yoiai
Extra_Religious 	el rogante es pablo ya anciano y ahora preso por cristo jesús	ea pablora moa yosishoko iki jatian rama iki moa kristo jesús kopi ea kárkel meran akana
Extra_Religious 	y continuando el camino llegaron las dos a belén todo la gente se impresionó al verlas llegar	jaskati kaaxa ja rabé belénhain kaman nokota iki ja belénhain kaax nokóketianra jatíbi jonibo anibiresi shinan rarokana iki ainbobora neskata iki natoki noemíma iki iki
Extra_Religious 	cuando está llena los pescadores la sacan a la orilla se sientan escogen los peces buenos los echan en canastos y tiran los que no sirven	ja ani rika meran moa yapa icha weiketianra ja yapan teetaibaon mashiori boxon mapémakanai jainxon katónoxon ja jakon yapabo akanai tasakan napókin jatian ja jakonma yapabobiribi potakanai
Extra_Religious 	volvieron los mensajeros y dijeron a jacob hemos estado con tu hermano esaú y él mismo viene ahora a tu encuentro con cuatrocientos hombres	jaskáakin jawen jonibaon yoia ratéananbi kikinbiresi rakékin jaakinres shinanira iká iki
Extra_Religious 	no toques al niño ni le hagas nada pues ahora veo que temes a dios ya que no me has negado a tu hijo el único que tienes	jatian ángelnin yoia iki jawe jakonmabi ja bake ayamawe moara en onanke mia dioski raketai jabicho min bake ikenbira enra mia meniamai iki mia iamake akin
Extra_Religious 	pues cada uno empieza sin más a comer su propia comida y mientras uno pasa hambre el otro se embriaga	ja jawékiati hora nokoketian akanai jatiribibaon jatonpariakin jaton jawékiatibo moa pikin jatian wetsabobiribi jawékiatinin ikanaitian wetsabobiribi moa paenkanabo
Extra_Religious 	así lo hizo y el ángel agregó ponte el manto y sígueme	jaskáa pedron aká iki
Extra_Religious 	ya estaba en el mundo este mundo que se hizo por él este mundo que no lo recibió	jara nato main joáx jonibo xaran jakatiai já meranxon diossen nato nete jonia ikenbira nato netemea jonibaon onanyamareskana iki
Extra_Religious 	pero hay otro muy parecido	jatian japekao iká riki jaskataniribi jara ikai neskati
Extra_Religious 	una para ti otra para moisés y otra para elías	wetsa mina wetsa moiséssena wetsa elíasna akin
Extra_Religious 	y jacob dijo a su padre	jaskáakin yokata jakobnin aká iki
Extra_Religious 	recomienda todas estas cosas y enséñalas	neskara joibo jato yoiwe ja join yoiai keskati jakanon ixon
Extra_Religious 	pero jesús se volvió y los reprendió	ikaxbi jesussen bechiakekainxon jato notsina iki
Extra_Religious 	por muchos idiomas que haya en el mundo cada uno tiene sus palabras	ikon riki nato neten icha meskó join yoyo itibo jaa jatian ja yoyo ikanaibo riki ikon ninkátibobires
Extra_Religious 	no se turben crean en dios y crean también en mí	jainxon jato yoiboresa iki onísyamakanwe dioski itan ekiribikaya koshikanwe
Extra_Religious 	se presentó el primero y dijo	jatian ja reken kenaatonpari joxon yoia iki
Extra_Religious 	partió leña para el sacrificio y se puso en marcha hacia el lugar que dios le había indicado	jan menoti karo xateax ja diossen kati yoiainko kakin jawen bake isaak betan jawen yonoti rabé ioa iki
Extra_Religious 	no soy yo sino dios quien te dará una respuesta acertada	jaskara namábo en onantiakin yoiaibo riki diossenbi amaa en akaires jaskara ixonra jan amaares min onannon ixon mia en yoiti atipanke iki
Extra_Religious 	jesús encontró un burrito y se montó en él	kaai jesús westíora burron peyakax kaa iki ja wishá meran yoiai keskati
Extra_Religious 	amemos pues ya que él nos amó primero	jatian nonra noike janpari noa noia iketian
Extra_Religious 	no es bueno que el hombre esté solo voy a hacerle una auxiliar a su semejanza	joni jabicho iitira jakonma iki
Extra_Religious 	vendrá hará morir a esos trabajadores y entregará la viña a otros	ja wai ibonra kaxon jatíbi ja teetai jonibo jato reteti iki jaskáakin jato retexonra wetsabo ja wai jato koiranmati iki akin
Extra_Religious 	sígueme y él se levantó y lo siguió	ebé kawé akin jaskáa wenixon levikan chibana iki
Extra_Religious 	mientras comían jesús tomó pan pronunció la bendición lo partió y lo dio a sus discípulos diciendo tomen y coman esto es mi cuerpo	jatian pii ikanaitian pan bitaanan jesussen dios iráke aka iki
Extra_Religious 	y miren cómo se van	jatianra jabo pikókanai
Extra_Religious 	pero todo ha pasado para que así se cumpliera lo escrito en los profetas entonces todos los discípulos abandonaron a jesús y huyeron jesús comparece ante el consejo judío	ikaxbi nato jawékibora ike ja profetabaon yoini joibo senennon ikax akin jato aká iki jatianra jaonmea onanaibaon moa jabákin jatíxonbi jesúsbicho potabainkana iki jesús joni koshibo bebon bokana
Extra_Religious 	el que reciba al que yo envíe a mí me recibe y el que me reciba a mí recibe al que me ha enviado	jaweratonki ja en raana biai janra eabi biai jatian jaweratonki ea biai janra ea jan raanaribi biai akin jato aká iki jakonhai keská iikinbi judassen jakonmaati jesussen yoia
Extra_Religious 	no participes en conversaciones inútiles y extrañas a la fe que solamente hacen progresar la impiedad	ja diossen joi ayamai jonibo jakonmai iresbiresi yoyo ikanaitian miaribi jato betan jaskáyamawe jaskati yoyo ikai jonibora bebonbires jakonmaati iikanai
Extra_Religious 	perdón mi señor pero ya vinimos una vez a comprar grano	ja yoyo akin akana iki neskáakin oinpariwe ibó minra moa onanke noabo riki ja miibakea jawékiati maroi noa beibataboribi
Extra_Religious 	no es parcial ni hipócrita los que trabajan por la paz siembran en la paz y cosechan frutos en todo lo bueno	jaweratoboki xabá shinanyabo ikanon ixon jato akinnaibo iki jabaonra moa itibi keskati ikanaitian jato ointi jake
Extra_Religious 	jesús subió al monte y se sentó allí con sus discípulos	kaax nokotax jaonmea onannaiboya jesús mananman mapetax jain yakákana iki
Extra_Religious 	balaán zaván y acán	bilhán zaaván jainoax akán
Extra_Religious 	entonces yavé dijo a jacob	jaskara iken ja jakob ibon yoia iki neskáakin
Extra_Religious 	y dijo otra vez	jainxon jesussen jato yoiribia iki
Extra_Religious 	ahí tienes a tu esposa tómala y márchate	natora min awin iki moa bixon botanwe akin aká iki
Extra_Religious 	y él le respondió	jaskáabi ja baken yoia iki
Extra_Religious 	entren por la puerta angosta porque ancha es la puerta y espacioso el camino que conduce a la ruina y son muchos los que pasan por él	ja naxbáma xepótiorikaya jikikanwe ja manótiori kaa bai xepótira kikin naxbá ikax katibires iki ja baiorira icha joni bokanai
Extra_Religious 	y fueron a trabajar	jato jaskáa jaboribi teeti bokana iki
Extra_Religious 	pero silas prefirió quedarse con ellos y judas volvió solo	jaskáakanabi silasbiribi jainpari iti shinannax baneta iki
Extra_Religious 	y mientras comían les dijo	jain pii yakáxonbi jato yoia iki
Extra_Religious 	isaac comenzó a temblar violentamente y dijo pues entonces	jaskáakin yoia saki iananbi yoia iki
Extra_Religious 	oyes lo que dicen ésos	minki ninkatai mia yoii jaskákanaibo
Extra_Religious 	qué iban a ver un hombre con ropas finas pero los que visten ropas finas y tienen comida regia están en palacios	jainxonki jaweribi maton oinna iki westíora joni jakon chopa saweya akáma matonra onanke ja jakon chopa saweaibo itan jan raroti jakonma akaibo ja apobo jain teetai xobonko jakana
Extra_Religious 	nos recordaban y con mucha insistencia esa iniciativa generosa y ese compartir que es la ayuda a los santos	jaskákinra noa akonbireskin yokákana iki jabaonribi ja joi akaibo jato akinkaskin
Extra_Religious 	todo lo ha hecho bien hace oír a los sordos y hablar a los mudos	jatíbira jakon akai pabebobira benxoaxon jato ninkámai yoyo iosmabora jato yoyo imai iki ikana iki
Extra_Religious 	yo contesté señor tú lo sabes	jatian en yoia iki minra onanke ibó akin
Extra_Religious 	jesús los oyó y les dijo	jato jaskáai ninkáxon jesussen yoia iki
Extra_Religious 	les tocamos la flauta y no han bailado les cantamos canciones tristes y no han querido llorar	jabo riki bakebo plazain tsamatax tsinii saa ikanai keskábo jaskatira ikanai neskati non mato kena xon axonabira mato ransayamaa iki mawákanketian iti bewábo noa bewakenbira mato winiamaa iki akin
Extra_Religious 	busca la rectitud la fe el amor y ten buenas relaciones con aquellos que invocan al señor con corazón puro	itibi keskati jawe non iboki koshiwe jato noiwe jakonax jawe ja jakonshaman shinanyaxon non ibo rabiaibo betanribi
Extra_Religious 	yo lo estoy esperando con los hermanos	jaskatax ea oinni jonon non wetsabo betanra non manake
Extra_Religious 	entonces qué fueron a ver un profeta eso sí y créanme más que profeta	jainxonki jaweribi maton oinna iki westíora profetaki maton oinna iki ikon riki jara maton oinna iki jara westíora profeta xewina iki
Extra_Religious 	como hacía días que no co míamos pablo se puso en medio y les dijo	jatian moa basiora jawékiama ixon pablon jato yoia iki
Extra_Religious 	maridos amen a sus esposas y no les amarguen la vida	jainxon ja awinyabora en yoiai akonkin maton awinbo noitaanan ramiaresyamakanwe
Extra_Religious 	un joven seguía a jesús envuelto sólo en una sábana y lo tomaron	jaskáakin jabicho potakankebi westíora chopan rakóya bakeranonmanbicho jesús chibana iki jatian járibi yatankana iki
Extra_Religious 	jacob la reconoció y exclamó	jaskáakin yoikana oinxon jawen bake josekan tari onantaanan jakob iká iki
Extra_Religious 	permanezcan arraigados en él y edificados sobre él estén firmes en la fe tal como fueron instruidos y siempre dando gracias	kikini jaki taponabo ja ikonhaax jaki kikini koshiabo ja mato onanmakana keskati itan dios iráke akin jeneyamai
Extra_Religious 	y le golpeaban en la cabeza con una caña le escupían y se arrodillaban ante él para rendirle homenaje	jaskáatanan jiwin mapoki rishkixon toshbá akana iki jainoax jabebon chirankokana iki rabiai keskati
Extra_Religious 	y como saray la maltratara ella huyó	jatian saraikan akonbireskin ramiakin peoa agar jabata iki
Extra_Religious 	y dijo	jainoax neskata iki
Extra_Religious 	pues he venido a enfrentar al hombre contra su padre a la hija contra su madre y a la nuera contra su suegra	ea joá riki jonibo jaton papakibi sinákanon ikax ainbobo jaton titakibi sinákanon ikax baban ewabo jaton benen titakibi sinákanon ikaxbo
Extra_Religious 	todos quedaron atónitos y alababan a dios diciendo	jatianra jatíbi jonibo ratékana jainxonra dios rabikana iki jainoaxa kikinni raketi neskatibo yoyo ikana iki
Extra_Religious 	tu madre y tus hermanos están ahí fuera y quieren hablar contigo	min tita betan min wetsabora mibé yoyo ikasi beax jeman charókanke akin
Extra_Religious 	levántate vete a nínive la gran ciudad y anuncia lo que yo te diga	ani jema níniveain katanwe nato en mia yoiai joi jato yoitanwe akin
Extra_Religious 	pablo pues arrendaba esta vivienda privada y permaneció allí dos años enteros	jaskatax pablo jainpari inoxon jato xobo kopíax jain rabé baritia senen iká iki
Extra_Religious 	apenas había comenzado yo a hablar cuando el espíritu santo bajó sobre ellos como había bajado al principio sobre nosotros	jaskáakin en jato yoikin peoketianra ja noki rekeni joní keskatiribi jatoki diossen shinan joá iki
Extra_Religious 	el que recibió dos hizo otro tanto y ganó otros dos	jatian jan rabé waranka biatoninribi jaskáashokoa iki janribi wetsa rabé waranka bishokoa iki
Extra_Religious 	y también	jainxon yoiribiai
Extra_Religious 	lía no tenía brillo en sus ojos mientras raquel tenía buena presencia y era linda	ja leara iká iki oinnatonbobi bemés ikax metsáshoko jatian ja rakelbiribi iká iki jawen bemanan jakonshoko ikax jatíbinin metsáshoko
Extra_Religious 	toquen la trompeta en sión promulguen un ayuno sagrado y llamen a concejo	sión mananmanxon westíoratonin trompeta xoon awe judá jonibo kenakanwe tsinkíxon ayunankanon
Extra_Religious 	nuestro padre está viejo y no ha quedado ni un hombre siquiera en esta región que pueda unirse a nosotras como se hace en todo el mundo	non papara moa yosi iki nato noa jain iká mainra tsoa jonibi yamake noa jaskati axea keskáakin noa jan awinhanoxon biti
Extra_Religious 	siento compasión por esta gente pues hace ya tres días que están conmigo y no tienen nada para comer	enra nato jonibo noibai moa kimisha neteira ebé ikaxbi jawékiama ikanaitian
Extra_Religious 	y tampoco tienen su palabra pues no creen al que él ha enviado	jaskáakin mato yoiabira jawen joi maton ninkáxonkashamaa iki ja ea jan raana joá ikenbi maton ikonhakashamai kopí
Extra_Religious 	no hay nadie bueno ni siquiera uno	tsoabira yamake diossen joi ninkaxon kikinshamanhakin onanti shinanya
Extra_Religious 	el perro vuelve a su propio vómito y el cerdo lavado se revuelca en el barro	ochítininra kinanxonbi jawen kinan piribai jatian kochira kikini chokitaxshaman joaxbi jakiribi manon taranmeeribiai iki ikai
Extra_Religious 	pero ellos ponen una condición para quedarse con nosotros y formar un solo pueblo y es que todos los varones nos hagamos circuncidar tal como lo hacen ellos	ja jonibora nobé jatin keenkanai ikaxbi jabo keenai riki jato keskaribi noa inon ixon noa benbobaon non jakina rebichi rextéyabo noa itin
Extra_Religious 	se han acercado al que es la piedra viva rechazada por los hombres y que sin embargo es preciosa para dios que la escogió	jaskara iken jaki koshikanwe kristo riki ja jonibaon rotokana jiria makan keska ikaxbi diossenbi ja kikin chorish makan iken janbi katota keská
Extra_Religious 	díganme no sería hacer diferencias y discriminar con criterios pésimos	jaskáakinbo jato akíra maton jaskáati jisábores jato jakonhai mato iikanai jakonma shinanyaxonres jato jaskai ixon
Extra_Religious 	lo que voy a hablar no lo hablo según el señor pues sería locura creer en mis propios méritos	ja neskati ea rabitai jawéki riki onanma ikax ea ikai keskáres jaskatibo ea yoyo ikaitian ninkátininra ibo keenyamai
Extra_Religious 	se lo envío expresamente para que les lleve noticias mías y les dé ánimo	neskara kopíra en mato raanxonai jawekeskaki noa neno iitai ixon mato yoiti kopí jainxon maton shinanbo koshimati kopí
Extra_Religious 	en efecto qué dice la escritura abrahán creyó a dios quien se lo tomó en cuenta para hacerlo justo	wishá meranra ikai neskati abrahamra iká iki dios ikonhataanan jaki koshia jaskataitianra diossen jawetianbi ocha ayosma keskáakin oinna iká iki iki
Extra_Religious 	y se quedó allí dos días	jaskáakana rabé neteres jesús jatoiba baneta iki
Extra_Religious 	entonces yavé me respondió diciendo	ibonra ea yoia iki
Extra_Religious 	procuren estar en paz con todos y progresen en la santidad pues sin ella nadie verá al señor	jatíbibo betan jakonbires xabá shinanyabo ikanwe itan jakonibo jakanwe jatian jaskati jakoni jayamaxonra tsonbi ja ibo ointima iki
Extra_Religious 	respeten a todos amen a los hermanos teman a dios y respeten al que gobierna	jatíbibo jato jakonhakin akanwe non wetsabo jato noikanwe kikin aniakin dios shinankanwe ja icha mai iboaa apo jakonhakanwe yonokaataibaon ati jawékibo
Extra_Religious 	me ha sido dada toda autoridad en el cielo y en la tierra	jatíbi ja naikan iká itan main ikábo jato ikinti koshira ea diossen menike
Extra_Religious 	ahora bien si hago lo que no quiero reconozco que la ley es buena	ikaxbi enra ja ea akáshamai jawékibores akai jaskáaxonra en ikonhai ja esékayara kikin jakon iki ixon
Extra_Religious 	y sigo preguntando	jainoax ea iribai yokakaati
Extra_Religious 	ese mismo día noé entró en el arca con sus hijos cam sem y jafet su esposa y sus nueras	ja oi bei peokootai netenribira noé jawen bakeboya sem kam jafet itan jawen awin jainoax jawen baban ewabo betan wapóro meran jikia iki
Extra_Religious 	el sábado entraron en la sinagoga y se sentaron	jatian ja tantiti nete iketian jain tsinkíti xobo meran jikiax yakábekona iki
Extra_Religious 	y quién es mi prójimo	jatian tsoarin ja en jaskáati joni
Extra_Religious 	cargaron pues el trigo sobre sus burros y se fueron	jaskáakin ja trigo sako menikanabo jaton asnobaon moa petsámankin senenhataanan ja josekan wetsabo moa bokana iki
Extra_Religious 	y preguntas quién te tocó	tsonki nokon tari ea tii akanaana iki
Extra_Religious 	que no insulten a nadie que sean pacíficos y comprensivos y traten a todos con toda cortesía	jainoax tsokibi jakonmaibo yoyo iamakanon xabáshaman shinanya itan jato jakonhati shinanyabo ikanon jaskaxon jaton shinan meran rabíamakin jatíbibo jato jakonhakin akaibo onankanon
Extra_Religious 	pero el comandante lisias intervino en forma muy violenta y nos obligó a soltarlo	ikaxbi ja komandante lisias joxonra jakonmaxonbires noa bichina iki
