Wixarika_Corpora 	 Muchacha de cabello largo	Uka maka t+t+ 
Mexican_constitution 	Las renuncias de los Ministros de la Suprema Corte de Justicia solamente procederán por causas graves; serán sometidas al Ejecutivo y, si éste las acepta, las enviará para su aprobación al Senado. 	Wa´imarika Ministros de la Suprema Corte de Justicia piyeyaní xeikía xika kwinimieme ti´aneni, miki pititixeiya ´itsikame Mekiku mieme metá, xika ya tiutanaki´erieni, penuni´ani memeitanaki´erieniki Senado. 
Mexican_constitution 	Las licencias de los Ministros, cuando no excedan de un mes, podrán ser concedidas por la Suprema Corte de Justicia de la Nación; las que excedan de este tiempo, podrán concederse por el Presidente de la República con la aprobación del Senado. 	Wauwixa minitsiturutsixi wahetsie mieme, mikahanutikikatsie xei metseri, piyiwe miwapitiani Suprema Corte de Justicia de la Nación, manutikikatika ´iki tukaritsie, miwapitiani ´itsikame Mekiku mieme Senado ya metetanaki´erieyu. 
Mexican_constitution 	Ninguna licencia podrá exceder del término de dos años. 	Tima xewiti wautsiya pikahanutiyeikani huta witari. 
Mexican_constitution 	Artículo 99. 	´Aritikuru 99. 
Mexican_constitution 	El Tribunal Electoral será, con excepción de lo dispuesto en la fracción II del artículo 105 de esta Constitución, la máxima autoridad jurisdiccional en la materia y órgano especializado del Poder Judicial de la Federación. 	Miki Tribunal Electoral payaní, ´anayehayewati ke mutaine piratsiuni II ´aritikuru 105 ´iki wimaritsie, ´itsikame yemeki hitia pai mieme yayeume mitaxeiya mikitsie timieme metá parewiwame mikitsie xeikía mieme Poder Judicial de la Federación. 
Mexican_constitution 	Para el ejercicio de sus atribuciones, el Tribunal funcionará en forma permanente con una Sala Superior y salas regionales; sus sesiones de resolución serán públicas, en los términos que determine la ley. 	Miraye´atiwaniki mitikematikatsie, Tribunal ya piti´uximayaka xeime Sala Superior hexeiyati metá salas regionales; tsetsiuni nitsixatsie mexeiya hekiapa piyianeni, nitsixa lei ke mitikuxatani. 
Mexican_constitution 	Contará con el personal jurídico y administrativo necesario para su adecuado funcionamiento. 	Piwarexeiyani teiteri leitsie ´aixia meuti´aneti metá te´iwiyamete keyupaimeti memeuyeweká muyuyehaximeniki ´aixia ´anemeki. 
Mexican_constitution 	La Sala Superior se integrará por siete Magistrados Electorales. 	Sala Superior hetsie mepaye´uuka ´atahuta Magistrados Electorales. 
Mexican_constitution 	El Presidente del Tribunal será elegido por la Sala Superior, de entre sus miembros, para ejercer el cargo por cuatro años. 	Miki Presidente del Tribunal pitahiawarieni mikiki Sala Superior, xeime mana memaye´u, miki miranukuhanaki nauka witari. 
Mexican_constitution 	Al Tribunal Electoral le corresponde resolver en forma definitiva e inatacable, en los términos de esta Constitución y según lo disponga la ley, sobre: 	Miki Tribunal Electoral pitikema ´aixia mirakayurieni yuheyemeki pikayukemarinia nitsixaya, nitsixa ´iki wimaritsie metá ke mutaine lei, miemetsie: 
Mexican_constitution 	I. Las impugnaciones en las elecciones federales de diputados y senadores; 	I. Xanetsika hiawixa Mekiku mieme xeputaritsixi metá hitia pai miemetexi Senado; 
Mexican_constitution 	II. Las impugnaciones que se presenten sobre la elección de Presidente de los Estados Unidos Mexicanos que serán resueltas en única instancia por la Sala Superior. 	II. Xanetsika muyuhekikiata mieme hiawixatsie ´itsikame Mekiku mieme ´aixia piraka´itiarieni xeikía xeime ta Sala Superior. 
Mexican_constitution 	Las salas Superior y regionales del Tribunal sólo podrán declarar la nulidad de una elección por las causales que expresamente se establezcan en las leyes. 	Miki salas Superior metá regionales del Tribunal xeikía piyiwe mitaxata ´aixia kati´ane hiawixatsie miraniere ´uxatsie ke mutiyuane leitexi. 
Mexican_constitution 	La Sala Superior realizará el cómputo final de la elección de Presidente de los Estados Unidos Mexicanos, una vez resueltas las impugnaciones que se hubieren interpuesto sobre la misma, procediendo a formular, en su caso, la declaración de validez de la elección y la de Presidente Electo respecto del candidato que hubiese obtenido el mayor número de votos. 	Miki Sala Superior piwewieni ´iniatsixa ´imatirieka hiawixa ´itsikame Mekiku miemetsie, xeimieme ´aixia mirakayiní xanetsikatsie mitiutixuawerixi miyetuiya mikitsie mieme, mepiyehuni me´itawewienike, xika pai ti´aneni, mitaxatsieniki kename ´aixia ´ane hiawixa metá ´itsikame mira´iwaxi miyukene kemi´ane waikawa ´iniarime wutu ma´iwaxi. 
Mexican_constitution 	III. Las impugnaciones de actos y resoluciones de la autoridad electoral federal, distintas a las señaladas en las dos fracciones anteriores, que violen normas constitucionales o legales; 	III. Xanetsika ke mitiiyiki metá nitsixate ´itsikame mieme hiawixa Mekiku hetsie, yiki pita mi´anene maxaxatsiwa pai hutame piratsiuni hitia pai, ya memikatekahu normas constitucionales hepai ya leitexi hepai. 
Mexican_constitution 	IV. Las impugnaciones de actos o resoluciones definitivos y firmes de las autoridades competentes de las entidades federativas para organizar y calificar los comicios o resolver las controversias que surjan durante los mismos, que puedan resultar determinantes para el desarrollo del proceso respectivo o el resultado final de las elecciones. 	IV. Xanetsikate ke mitiiyiki ya nitsixate yuheyeme metá tirikawiti ´itsikate memitekematika mieme parewiwamete muku´utuka Mekiku hetsie mitiwewie metá mitixeiya hiawixa ya ´aixia mirakayuruwa tierikatsie manutineika mipai mitiyianenitsie, xika mana tiutaneikati yiki pita tiuyini kepai mitihutuka hiawixa ya manayeneikatsie ´imatirieka hiawixatsie ke mitiuyi. 
Mexican_constitution 	Esta vía procederá solamente cuando la reparación solicitada sea material y jurídicamente posible dentro de los plazos electorales y sea factible antes de la fecha constitucional o legalmente fijada para la instalación de los órganos o la toma de posesión de los funcionarios elegidos; 	´Iki pitikatsutiani xika mira´iwauriwa ti´aneni ´aixia mirakayurieniki pinitetsie metá leitsie tiyiweti ´iniariti ya tewimeki hiawixa matineikatsie metá yiweti kahaye´awekaku tukari wimari mikuxata pai ya leitsie ke mireuku´uxa ri muyuku´uitiaxianiki parewiwamete ya memanuti´uunitsie kiekaritsie memutihiawarie; 
Mexican_constitution 	V. Las impugnaciones de actos y resoluciones que violen los derechos político electorales de los ciudadanos de votar, ser votado y de afiliación libre y pacífica para tomar parte en los asuntos políticos del país, en los términos que señalen esta Constitución y las leyes. 	V. Xanetsika ke mitiuyitsie metá nitsixatsie heimá heitseriekame puritika hiawixatsie memeixeiya kiekatari memitiwutaruwaniki, wahetsie memiwutaruwaniki metá tsepá kemi´ane hetsia memanuyehaxia metá ´aixia ´iyari memeuye´iariniki miraneniere puritika Mekiku miemetsie, nitsixa mikuxatatsie ‘iki wimari metá leitexi. 
Mexican_constitution 	Para que un ciudadano pueda acudir a la jurisdicción del Tribunal por violaciones a sus derechos por el partido político al que se encuentre afiliado, deberá haber agotado previamente las instancias de solución de conflictos previstas en sus normas internas, la ley establecerá las reglas y plazos aplicables; 	Xewiti kiekame miyiweniki meuyani keyeume mixeiya Tribunal heitserieya ´unanaimarieyu paritiriyu puritiku waheki kemi´ane wahamatia mayewe, ´itixitiame ri naime muxuawe parewiwamete ´aixia tiyuruwamete mayehutika xekirate taitá mieme, lei pitipiiní xekirate metá ´iniatsixa mana mieme. 
Mexican_constitution 	VI. Los conflictos o diferencias laborales entre el Tribunal y sus servidores; 	VI. Tierikate ya memikayu´enie ´uximayatsikatsie miki Tribunal metá yu´uximayatamete; 
Mexican_constitution 	VII. Los conflictos o diferencias laborales entre el Instituto Nacional Electoral y sus servidores; 	VII. Tierikate ya memikayu´enie ´uximayatsikatsie matia Instituto Nacional Electoral metá yu´uximayatamete. 
Mexican_constitution 	VIII. La determinación e imposición de sanciones por parte del Instituto Nacional Electoral a partidos o agrupaciones políticas o personas físicas o morales, nacionales o extranjeras, que infrinjan las disposiciones de esta Constitución y las leyes; 	VIII. Ke mitayiní ya mitiwatapitiani katsitiku miki Instituto Nacional Electoral paritiriyute ya memiyuwima puritikatsie ya teiteri ya meyiniitikaiti xapatsie, mekikutari ya humá pai kiekari mukumane miemetexi, heimá xika me´uyekine ke mutiyuane ´ikiwimaritsie metá leitexi. 
Mexican_constitution 	IX. Los asuntos que el Instituto Nacional Electoral someta a su conocimiento por violaciones a lo previsto en la Base III del artículo 41 y párrafo octavo del artículo 134 de esta Constitución; a las normas sobre propaganda política y electoral, así como por la realización de actos anticipados de precampaña o de campaña, e imponer las sanciones que correspondan, y 	IX. Tita miranieretika miki Instituto Nacional Electoral meitimamate nanaimarikaki ke mireku´uxa Base III ´aritikuru 41 metá paxapu ´atahaika ´aritikuru 134 ´iki wimaritsie; nurmate ke mutiyuatika timieme xapatsie mitikuxaxatsiwa puritika metá hiawixatsie, yaxeikía memiwewie me´anuyeyaxiketi ’inierika mukaheitia ya ‘inierika, mitiwatapitiani katsitiku mana mieme, metá. 
Mexican_constitution 	X. Las demás que señale la ley. 	X. Hipame tsiere lei mikuxata. 
Mexican_constitution 	Las salas del Tribunal Electoral harán uso de los medios de apremio necesarios para hacer cumplir de manera expedita sus sentencias y resoluciones, en los términos que fije la ley. 	Miki kiitá Tribunal Electoral mieme mepikumauwani mikitsie mitimexiatika mireuyewetsé miraye´axeniki xeimieme nitsixaya metá ´aixia mirakayuruwatsie, lei ke mitikunitsá hetá pai. 
Mexican_constitution 	Sin perjuicio de lo dispuesto por el artículo 105 de esta Constitución, las salas del Tribunal Electoral podrán resolver la no aplicación de leyes sobre la materia electoral contrarias a la presente Constitución. 	Katikuyuitiwati ke mutaine ´aritikuru 105 ´iki wimaritsie, miki kiitá mieme Tribunal Electoral piyiwe mitiuniní leitexi miyukumayianiki mana mieme hiawixa kemi´ane yiki pita mutiyuaneni mitikuxata pai ´iki wimari. 
Mexican_constitution 	Las resoluciones que se dicten en el ejercicio de esta facultad se limitarán al caso concreto sobre el que verse el juicio. 	Nitsixa muyutateriwaxiani miki ya ti´ane mitikema rakunetikaiti xeikía mieme payaní ke mutaine xanetsika. 
Mexican_constitution 	En tales casos la Sala Superior informará a la Suprema Corte de Justicia de la Nación. 	Ya miti´anetikatsie Sala Superior piwataxatiani Suprema Corte de Justicia de la Nación. 
Mexican_constitution 	Cuando una sala del Tribunal Electoral sustente una tesis sobre la inconstitucionalidad de algún acto o resolución o sobre la interpretación de un precepto de esta Constitución, y dicha tesis pueda ser contradictoria con una sostenida por las salas o el Pleno de la Suprema Corte de Justicia, cualquiera de los Ministros, las salas o las partes, podrán denunciar la contradicción en los términos que señale la ley, para que el pleno de la Suprema Corte de Justicia de la Nación decida en definitiva cuál tesis debe prevalecer. 	Kepauka xewiti kiitá mieme Tribunal Electoral meixeiyani maiyatsie inconstitucionalidad xeimekia ke mitiuyitsie ya ´aixia miraka´itiarietsie ya ke mireti´enierietiyeika xewiti maka´uxatsie ´iki wimari, metá miki maiyá niyiweni yiki pita ´utaineni xeime memeixeiya kiitá mieme ya Pleno de la Suprema Corte de Justicia, tsepá ke´aneti minitsituru, kiite, ya memi´iari, piyiwe memitaxaneta niuki manuyutananake nitsixatsie mikuxata lei, miki pleno mieme Suprema Corte de Justicia de la Nación pininí yuheyemeki ke´aneti maiyá muyuhayewa. 
Mexican_constitution 	Las resoluciones que se dicten en este supuesto no afectarán los asuntos ya resueltos. 	Nitsixate mipai ti´anemeki ´aixia miraka´itiariwa pikatikuyuitiwani miraneniere ´aixia miraka´itiarie ri. 
Mexican_constitution 	La organización del Tribunal, la competencia de las salas, los procedimientos para la resolución de los asuntos de su competencia, así como los mecanismos para fijar criterios de jurisprudencia obligatorios en la materia, serán los que determinen esta Constitución y las leyes. 	Ke mireuyukuhana Tribunal, tita mitikematika kiite, kepai ti´anemeki ´aixia memite´akayuruwani miraneniere memitekematikatsie, yaxeikía mitixuawetikatsie memitipineniki ke ´utiyuane jurisprudencia ni´ari makika mana timiemetsie, pakine ke mitikunitsire ´iki wimaritsie metá leitexi. 
Mexican_constitution 	La Sala Superior podrá, de oficio, a petición de parte o de alguna de las salas regionales, atraer los juicios de que conozcan éstas; asimismo, podrá enviar los asuntos de su competencia a las salas regionales para su conocimiento y resolución. 	Miki Sala Superior piyiwe, ya ti´aneneme mitixeiyaki, xeime ´iwaurieyatsie ya xewiti kiite muku´utuka ya yeyeumetsie, miwahana xanetsika memimate ´iki, yaxeikía, piyiwe meini´ani miraneniere mitikematika wahetsia kiite ya yeyeume mixeiyatika miretimamateniki metá ´aixia mirakayuruwaniki. 
Mexican_constitution 	La ley señalará las reglas y los procedimientos para el ejercicio de tales facultades. 	Lei pikuxatani xekirate metá kepai ti´anemeki mepiteyurieka miki kemarikatsie. 
Mexican_constitution 	La administración, vigilancia y disciplina en el Tribunal Electoral corresponderán, en los términos que señale la ley, a una Comisión del Consejo de la Judicatura Federal, que se integrará por el Presidente del Tribunal Electoral, quien la presidirá; un Magistrado Electoral de la Sala Superior designado por insaculación; y tres miembros del Consejo de la Judicatura Federal. 	´Iwiyarika, mixeiyarieka metá ´aixia memite´uhuniki mana Tribunal Electoral pirakaani hetsie, lei mikuxatatsie ´utaneeti, xewiti Comisión del Consejo de la Judicatura Federal, mepaye´uka mana Presidente del Tribunal Electoral, miki pehanani; xewiti Magistrado Electoral mieme Sala Superior ´utahiawarieka xapa ‘utiariekametsie ‘anayehanieme katimaikaku; metá yuhaikati miemetexi Consejo de la Judicatura Federal. 
Mexican_constitution 	El Tribunal propondrá su presupuesto al Presidente de la Suprema Corte de Justicia de la Nación para su inclusión en el proyecto de Presupuesto del Poder Judicial de la Federación. 	Miki Tribunal pita´iwauni tumini kepaimeme meuyehiwa hetsia Presidente de la Suprema Corte de Justicia de la Nación memeiyehatianiki proyecto de Presupuesto del Poder Judicial de la Federación. 
Mexican_constitution 	Asimismo, el Tribunal expedirá su Reglamento Interno y los acuerdos generales para su adecuado funcionamiento. 	Yaxeikia, miki Tribunal pitawewieni yuxekira taitá mieme metá nitsixa naimetsie timieme ´aixia ´anemetsie miyemieniki. 
Mexican_constitution 	Los Magistrados Electorales que integren las salas Superior y regionales serán elegidos por el voto de las dos terceras partes de los miembros presentes de la Cámara de Senadores a propuesta de la Suprema Corte de Justicia de la Nación. 	Miki Magistrados Electorales memaye´u Salas Superiores metá ya yeyeume memixeiyatika mepitihiawarieni wutuki yuwaikawa ke yupaimeti muwa memayeteni Cámara de Senadores wayexatayu Suprema Corte de Justicia de la Nación. 
Mexican_constitution 	La elección de quienes las integren será escalonada, conforme a las reglas y al procedimiento que señale la ley. 	Miki memitihiawarienitsie memaye´u yuheima meti´utukaiti pitiyiní, ke mutiyuane xekirate metá kepai ti´anemeki leitsie ´utaneetikaiti. 
Mexican_constitution 	Los Magistrados Electorales que integren la Sala Superior deberán satisfacer los requisitos que establezca la ley, que no podrán ser menores a los que se exigen para ser Ministro de la Suprema Corte de Justicia de la Nación, y durarán en su encargo nueve años improrrogables. 	Miki Magistrados Electorales memaye´u Sala Superior mepitaye´atiani mireuyewetikatsie lei mitikuxata pai, pikayiwe yaki matsi ti´anemeki hepai xika heuyeimikini Ministro de la Suprema Corte de Justicia de la Nación, metá mepuyuruwani ´atanuka witari kayiweti tawari. 
Mexican_constitution 	Las renuncias, ausencias y licencias de los Magistrados Electorales de la Sala Superior serán tramitadas, cubiertas y otorgadas por dicha Sala, según corresponda, en los términos del artículo 98 de esta Constitución. 	Memiyutu´imawa, memukumamaweretsie metá memuyutawawa miki Magistrados Electorales mieme Sala Superior mepiwewieni, wahetsie xeime memitaxata metá memiyetuayani mikiki Sala, kemi´anetsie mimiemetini, ke mitikunitsa ´aritikuru 98 ´iki wimari. 
Mexican_constitution 	Los Magistrados Electorales que integren las salas regionales deberán satisfacer los requisitos que señale la ley, que no podrán ser menores a los que se exige para ser Magistrado de Tribunal Colegiado de Circuito. 	Miki Magistrados Electorales memaye´u kiitá ya yeyeume mixeiyatika mepitehaye´atiani mirawawiwa leitsie, pikayiwe yakimatsie ti´anemeki hepai xika heuyeimikini Ministro de la Suprema Corte de Justicia de la Nación. 
Mexican_constitution 	Durarán en su encargo nueve años improrrogables, salvo si son promovidos a cargos superiores. 	Mepuyuruwani mana ´atanauka witari tima xei tukari waiki kayiweti, xeikía meti´irarieni hitia pai miemetsie. 
Mexican_constitution 	En caso de vacante definitiva se nombrará a un nuevo Magistrado por el tiempo restante al del nombramiento original. 	Manayemamaweretsie yuheyeme pitahiawarieni hekwati makitsitiraru kepaimeti meuyewetseki miranuniniki mitihiawarietsie matiari. 
Mexican_constitution 	El personal del Tribunal regirá sus relaciones de trabajo conforme a las disposiciones aplicables al Poder Judicial de la Federación y a las reglas especiales y excepciones que señale la ley. 	´Uximayatamete Tribunal pitiwaxeiyani ´uximayatsikatsie miemeki hepaitsita ke mutiyuatika miranupine Poder Judicial de la Federación metá xekirate mikitsie xeikía mieme metá tima tixai katihayewati ke maine lei. 
Mexican_constitution 	Artículo 100. 	´Aritikuru 100. 
Mexican_constitution 	El Consejo de la Judicatura Federal será un órgano del Poder Judicial de la Federación con independencia técnica, de gestión y para emitir sus resoluciones. 	Miki Consejo de la Judicatura Federal pihiki parewiwame mieme Poder Judicial de la Federación yuxaitá yiweti mirexeiyatsie, mitikumauwatsie metá nitsixa manayenenetiwaniki. 
Mexican_constitution 	El Consejo se integrará por siete miembros de los cuales, uno será el Presidente de la Suprema Corte de Justicia, quien también lo será del Consejo; tres Consejeros designados por el Pleno de la Corte, por mayoría de cuando menos ocho votos, de entre los Magistrados de Circuito y Jueces de Distrito; dos Consejeros designados por el Senado, y uno por el Presidente de la República. 	Miki Consejo mepaye´uka ´atahuta meyupaimeti miki memiyiní, xewiti payani Presidente de la Suprema Corte de Justicia, tsiere payaní Consejotsie, yuhaikati kutsekute metihiawarieyu mikiki Pleno de la Corte, yuwaikawa maye´ati ´atahaika wututsie, miki yunaiti Magistrados de Circuito metá Jueces de Distrito, yuhutati kutsekute metihiawarieyu Senado waheki, metá yuxewiti heki ´itsikame Mekiku makawe. 
Mexican_constitution 	Todos los Consejeros deberán reunir los requisitos señalados en el artículo 95 de esta Constitución y ser personas que se hayan distinguido por su capacidad profesional y administrativa, honestidad y honorabilidad en el ejercicio de sus actividades, en el caso de los designados por la Suprema Corte, deberán gozar, además con reconocimiento en el ámbito judicial. 	Yunaiti kutsekutexi mepitehaye´atiani mireuyewetika mirayehu miki ´aritikuru 95 ‘iki wimaritsie metá teiteri mehikiti mehahekikiati kwinimieme memiteuta´uweki memitematetsie metá ti´iwiyaritsie, kati´itawati metá naimetsie ´aixia tikamiemti tita mitikumauwa, memutihiawarie waheki Suprema Corte, mepeixeiyani yuhetsie mieme, xeiyari ´aixia ´aneme mana mieme tiyuxanetsikatsie. 
Mexican_constitution 	El Consejo funcionará en Pleno o en comisiones. 	Miki kutseku piyiweni Pleno metá meni´ariwameteki. 
Mexican_constitution 	El Pleno resolverá sobre la designación, adscripción, ratificación y remoción de magistrados y jueces, así como de los demás asuntos que la ley determine. 	Miki Pleno ´aixia pirakayuruwani memitihiawariwatsie mieme, memayuka´utiwatsie, tawari memutihiawariwatsie metá memanayexiriwa makitsitiraru metá juez, yaxeikia naiti miraneniere lei mikuxata. 
Mexican_constitution 	Salvo el Presidente del Consejo, los demás Consejeros durarán cinco años en su cargo, serán substituidos de manera escalonada, y no podrán ser nombrados para un nuevo período. 	Hawaiki Presidente del Consejo, yunaiti kutsekute mepuyuruwani ´auxuwi witari memitehitsie, mepitipatsieni yuxexuiti meyehuti, metá tawari hekwameki memitihiawarieni pikayiwe. 
Mexican_constitution 	Los Consejeros no representan a quien los designa, por lo que ejercerán su función con independencia e imparcialidad. 	Miki kutsekute memiwarutihiawixi wahetsie mieme mepika´ane, mikitsie mepiteta´uximayata xeimetsie meka´utaneti ya tixaititsie mekate’utahiati. 
Mexican_constitution 	Durante su encargo, sólo podrán ser removidos en los términos del Título Cuarto de esta Constitución. 	Mana memaye´ukatsie, xeikía piyiwe memanayexiriyani nitsixa ke mutiyuane Tituru Nauka ´iki wimaritsie. 
Mexican_constitution 	La ley establecerá las bases para la formación y actualización de funcionarios, así como para el desarrollo de la carrera judicial, la cual se regirá por los principios de excelencia, objetividad, imparcialidad, profesionalismo e independencia. 	Lei pitiwewieni tsutia mieme memiteyu´ikitiakaki metá memuyutihekuariyaniki kiekaritsie ´uximayatamete, yaxeikía tsiere ´aixia memiyeyiximeniki miki ´uyeyari´itia xanetsika, miki puyuyehaximeni xeiyati ´aixia mi´anene, mikitsie xeikía mieme, tixaititsie katiutanetikaiti, titamemitematetsie ya yuxaitá meyiwaweti. 
Mexican_constitution 	De conformidad con lo que establezca la ley, el Consejo estará facultado para expedir acuerdos generales para el adecuado ejercicio de sus funciones. 	Miki kemi´ane ke mutaine leitsie, Consejo pitikemaka mitiwewiwani nitsixa naimetsie timieme ´aixia ti´anemeki matsi mitiyehuniki. 
Mexican_constitution 	La Suprema Corte de Justicia podrá solicitar al Consejo la expedición de aquellos acuerdos generales que considere necesarios para asegurar un adecuado ejercicio de la función jurisdiccional federal. 	Miki Suprema Corte de Justicia mitawawirieni piyiwe Consejo mitiwewieniki miki nitsixa naimetsie timieme tixeiyati mireuyewetseki mikareuyewekaki ´aixia mitiuyuwewiekaki ´uximayatsika ke yeume mitaxeiya Mekiku. 
Mexican_constitution 	El Pleno de la Corte también podrá revisar y, en su caso, revocar los que el Consejo apruebe, por mayoría de cuando menos ocho votos. 	Miki Pleno de la Corte tsiere piyiwe mitiutixeiya metá, xika pai ti´aneni, mitikunani mitiwewiwa Consejo, yuwaikawa me´aye´ati ´atahaika wututsie. 
Mexican_constitution 	La ley establecerá los términos y procedimientos para el ejercicio de estas atribuciones. 	Miki lei pikuxatani nitsixa metá kepai ti´anemeki pitiyeyani miki kemarika. 
Mexican_constitution 	Las decisiones del Consejo serán definitivas e inatacables y, por lo tanto, no procede juicio ni recurso alguno, en contra de las mismas, salvo las que se refieran a la designación, adscripción, ratificación y remoción de magistrados y jueces, las cuales podrán ser revisadas por la Suprema Corte de Justicia, únicamente para verificar que hayan sido adoptadas conforme a las reglas que establezca la ley orgánica respectiva. 	Miki mitikinitsa Consejo yuheyeme pakine xewiti yiki maineni pikayiwe metá, mana miti´ane, pikatiyiwe xanetsika mikitsie ya tixaiti mitixuawe, miki hepaina, xeikía maxaxatsiwani hiawixatsie, memayuka´utiwa, tawari memutihiawariwa metá memanayexiriwa makitsitiraru metá juez, miki hirixia piyiwe mitiutixeiyarieni mikiki Suprema Corte de Justicia, xeikía miretimaiyaniki xika ke mutiutiyuatika mana xekirate mikuxata lei mikitsie mieme tiuyiní. 
Mexican_constitution 	La Suprema Corte de Justicia elaborará su propio presupuesto y el Consejo lo hará para el resto del Poder Judicial de la Federación, sin perjuicio de lo dispuesto en el párrafo séptimo del artículo 99 de esta Constitución. 	Miki Suprema Corte de Justicia pitawewieni yuhetsie kepaimeme mireuyehiwa metá Consejo piyiní mitawewieni yunaime memitawiya Poder Judicial de la Federación, katikuyuitiwati ke mutaine paxapu ´ataxewi miki ´aritikurutsie 99 ´iki wimari. 
Mexican_constitution 	Los presupuestos así elaborados serán remitidos por el Presidente de la Suprema Corte para su inclusión en el proyecto de Presupuesto de Egresos de la Federación. 	Miki mireuyewetika tuminitsie mutawewiya piyetuani Presidente de la Suprema Corte meuyehatiarieniki proyecto mieme Presupuesto de Egresos de la Federación. 
Mexican_constitution 	La administración de la Suprema Corte de Justicia corresponderá a su Presidente. 	Miki ´iwiyari pinitetsie mieme Suprema Corte de Justicia hetsie pirakaani Presidente mana mieme. 
Mexican_constitution 	Artículo 101. 	´Aritikuru 101. 
Mexican_constitution 	Los Ministros de la Suprema Corte de Justicia, los Magistrados de Circuito, los Jueces de Distrito, los respectivos secretarios, y los Consejeros de la Judicatura Federal, así como los Magistrados de la Sala Superior del Tribunal Electoral, no podrán, en ningún caso, aceptar ni desempeñar empleo o encargo de la Federación, de los Estados, del Distrito Federal o de particulares, salvo los cargos no remunerados en asociaciones científicas, docentes, literarias o de beneficencia. 	Miki Ministros de la Suprema Corte de Justicia mieme, Magistrado de Circuito, Jueces de Distrito, yutsekiretariyute meheutiniití, metá miki Consejeros de la Judicatura Federal, yaxeikía Magistrados de la Sala Superior del tribunal Electoral, mepikayiwawe, tima yati´anemeki, ya memiteha´eriwani ´uximayatsika memihiniki ya mehiritiarieka Federación, ´Etsitarute, Distrito Federal ya yuxexuime wahetsie, xeikía memitehiritiarie mekate´iwati wimarite memitewautiwe, ´ikitiarika, ´utuarika ya parewiya memiteuyehiwa wahetsia. 
Mexican_constitution 	Las personas que hayan ocupado el cargo de Ministro de la Suprema Corte de Justicia, Magistrado de Circuito, Juez de Distrito o Consejero de la Judicatura Federal, así como Magistrado de la Sala Superior del Tribunal Electoral, no podrán, dentro de los dos años siguientes a la fecha de su retiro, actuar como patronos, abogados o representantes en cualquier proceso ante los órganos del Poder Judicial de la Federación. 	Miki teiteri memaki ri Ministros de la Suprema Corte de Justicia, Magistrado de Circuito, Juez de Distrito ya Consejero de la Judicatura Federal, yaxeikía Magistrado de la Sala Superior del Tribunal Electoral, mepikayiwawe, maniere huta witari ´ana tukaritsie memanayeki, ´ukiyarite memakine, nunuwame ya xeimeki memaniutikani mitiyukumauwa miki parewiwame muwe Poder Judicial de la Federación. 
Mexican_constitution 	Durante dicho plazo, las personas que se hayan desempeñado como Ministros, salvo que lo hubieran hecho con el carácter de provisional o interino, no podrán ocupar los cargos señalados en la fracción VI del artículo 95 de esta Constitución. 	´Iki ‘iniaritsie, teiteri mana memiteuta´uximayataxi memaki minitsituru, xeikía hawaiki xika mehakine yatewimeki ya taitana miemeki, mepikayiwawe memanuti´uuni maxaxatsiwatsie piratsiuni VI ´aritikuru 95 ´iki wimaritsie 
Mexican_constitution 	Los impedimentos de este artículo serán aplicables a los funcionarios judiciales que gocen de licencia. 	Mitikuname ´iki ´aritikurutsie payani wahetsie mieme te´uximayatamete xanetsikatsie memeixeiya waurixa. 
Mexican_constitution 	La infracción a lo previsto en los párrafos anteriores, será sancionada con la pérdida del respectivo cargo dentro del Poder Judicial de la Federación, así como de las prestaciones y beneficios que en lo sucesivo correspondan por el mismo, independientemente de las demás sanciones que las leyes prevean. 	Miki katsitiku mayemie hitia pai paxaputetsie, payaní katsitikuya meiyehianí yu´uximayatsika mana mieme Poder Judicial de la Federación, yaxekía naime niitsixa metá tita mitiyetuiriyariekai miranieretsie miki hetsie mitimiemetikai, karayenuhaketikaiti mana xika katsitiku raniereni leitsie mikuxata. 
Mexican_constitution 	Artículo 102. 	´Aritikuru 102. 
Mexican_constitution 	A. El Ministerio Público se organizará en una Fiscalía General de la República como órgano público autónomo, dotado de personalidad jurídica y de patrimonio propios. 	A. Miki Ministerio Público pireuyukuhanani xeimetsie Fiscalía General de la Republica hepai parewiwame kiekaritsie yuxaitá naime rexeiyati, leitsie ´aixia hauti´aneti metá piinite yuhetsie timieme rexeiyati. 
Mexican_constitution 	Para ser Fiscal General de la República se requiere: ser ciudadano mexicano por nacimiento; tener cuando menos treinta y cinco años cumplidos el día de la designación; contar, con antigüedad mínima de diez años, con título profesional de licenciado en derecho; gozar de buena reputación, y no haber sido condenado por delito doloso. 	Mayaniki Fiscal General de la Republica pireuyewetsé: Mekiku kiekame nuiwaritsie; heixeiyati xei tewiyari heimana ´auxuwi witari ´aye´itikaime ´ana tukaritsie mutahiawarieni, heixeiyati, reutewime tamamata witari, tituru maiyatsie heimá nunuwame mieme; ´aixia tixeiyarieti, metá xanetsika kahexeiyati ´axa tikayametsie. 
Mexican_constitution 	El Fiscal General durará en su encargo nueve años, y será designado y removido conforme a lo siguiente: 	Miki Fiscal General piyuruwani yuni´ari´atsie ´atanauka witari, metá mutahiawarieni metá manayehiiyaniki ke mutiyuani maniere: 
