Mexican_constitution 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	LEE NDI'IN LO'O NE' SE'EN LYI'YA LOO CHIJYA' 
Mexican_constitution 	Sobre instituciones de crédito y sociedades de seguros; 	Tso' cha' 'in scasca caja nu ndaa tñin njñi nten a cunta lo'o scasca se'en ndujui ne' seguro; 
Mexican_constitution 	4o. 	4o. 
Mexican_constitution 	Sobre servicios públicos concesionados o explotados directamente por la Federación; y 	Tso' cha' 'in scasca se'en ntsu'hui cha' cuiya' 'in ne' nu nda quiya' 'in nten uta se'en nxñi su'hua yaa ne' 'in nten can'; a cunta 
Mexican_constitution 	5o. 	5o. 
Mexican_constitution 	Especiales sobre: 	Nde xca cha': 
Mexican_constitution 	a) Energía eléctrica; 	a) Quii' nu nguila nten ña'an 'in ne'; 
Mexican_constitution 	b) Producción y consumo de tabacos labrados; 	b) Nu ntya ne' lo' nxi'i ne' quita; 
Mexican_constitution 	c) Gasolina y otros productos derivados del petróleo; 	c) Tyi'a ndiquin ni' carro lo'o scasca loo tyi'an nu ndlo ne' lo'o tyi'a ndiquin; 
Mexican_constitution 	d) Cerillos y fósforos; 	d) Cirillu lo'o scasca nan se'en ndyi'o quii'; 
Mexican_constitution 	e) Aguamiel y productos de su fermentación; y 	e) Tyi'a xi lo'o scasca tyi'a nu ndlo ne' lcui; a cunta 
Mexican_constitution 	f) Explotación forestal. 	f) Nu nsi'yu ne' scasca yca tnu. 
Mexican_constitution 	g) Producción y consumo de cerveza. 	g) Nu ndlo ne' lo' nxi'i ne' cerveza 
Mexican_constitution 	Las entidades federativas participarán en el rendimiento de estas contribuciones especiales, en la proporción que la ley secundaria federal determine. 	Cunda scaa Estado 'in quichen Chijya' lo'o na ntsu'hui cha' tayaa ne' 'in nchgaa cha' re tsaña'an nu lee nu nguinu scua 'in quichen Chijya' tyi'in tyaa na cha'. 
Mexican_constitution 	Las legislaturas locales fijarán el porcentaje correspondiente a los Municipios, en sus ingresos por concepto del impuesto sobre energía eléctrica. 	Nchgaa lee nu nguinu scua scasca quichen suhue ti ntsu'hui cha' tyi'in tyaa na cha' lo'o cunda scaa na'an tñan municipio tsala tñin cha' 'in quii' nu ndiquin na ntsu'hui cha' tyaa na 'in ne' nchca Bsya. 
Mexican_constitution 	XXIX-B. 	XXIX-B. 
Mexican_constitution 	Para legislar sobre las características y uso de la Bandera, Escudo e Himno Nacionales. 	Ntsu'hui cha' cuiya' 'in ne' tyi'in tyaa ne' lee nu chcui' ne' cha' 'in Bandera, lo'o lcuin nga'an 'in na a cunta lo'o jyiin 'in quichen Chijya'. 
Mexican_constitution 	XXIX-C. 	XXIX-C. 
Mexican_constitution 	Para expedir las leyes que establezcan la concurrencia del Gobierno Federal, de los Estados y de los Municipios, en el ámbito de sus respectivas competencias, en materia de asentamientos humanos, con objeto de cumplir los fines previstos en el párrafo tercero del artículo 27 de esta Constitución. 	Nu tñan ne' scasca lee nu tyi'in tyaa tñan nu cu'ni ne' nchca Bsya Chijya' a cunta lo'o gubiernu 'in cunda scaa Estado lo'o na'a tñan municipio tsala nten ntsu'hui cha' tyi'in tsa se'en lyi'ya loo cunda scaa ne', si'yana cuaña'an tca ca ja'an ne' cha' nu nchcui' ta nu cua' nchca jacua 'in lee cuiya' 27 nu nguinu scua 'in quichen Chijya'. 
Mexican_constitution 	XXIX-D. 	XXIX-D. 
Mexican_constitution 	Para expedir leyes sobre planeación nacional del desarrollo económico y social, así como en materia de información estadística y geográfica de interés nacional; 	Nu tñan ne' lee ña'an ntsu'hui cha' tsa' scasca cha' nu nchcui' ña'an ntsu'hui cha' tyi'o quichen Chijya' nde loo lo'o tso' cha' 'in tñi, a cunta lo'o tso' cha' scasca cunta lo'o se'en nu ndi'in 'in quichen Chijya; 
Mexican_constitution 	XXIX-E. 	XXIX-E. 
Mexican_constitution 	Para expedir leyes para la programación, promoción, concertación y ejecución de acciones de orden económico, especialmente las referentes al abasto y otras que tengan como fin la producción suficiente y oportuna de bienes y servicios, social y nacionalmente necesarios. 	Nu tñan ne' scasca lee nu cu'ni, lo' chcui' na, a cunta nu xo' ti'in na nchgaaa cha' nu ndyijyi tñin 'in ne', una lyee la ña'an nchca ti' scasca nan nu 'ni cha' tyi'o qui'an nan nu caja tñan cu'ni 'in quichen Chijya' se'en ndi'in na. 
Mexican_constitution 	XXIX-F. 	XXIX-F. 
Mexican_constitution 	Para expedir leyes tendientes a la promoción de la inversión mexicana, la regulación de la inversión extranjera, la transferencia de tecnología y la generación, difusión y aplicación de los conocimientos científicos y tecnológicos que requiere el desarrollo nacional. 	Nu tñan ne' scasca lee cha' 'in tñin nu ntsu'hui se'en 'in quichen Chijya', a cunta cu'ni quii na ña'an nguiaa tñin nu ntsu'hui se'en 'in xca quichen tnu se'en lyi'ya loo Chijya', ticui' cuaña'an ña'an ntsu'hui cha' tijin ne' scasca nan nu ntñan ne' chendyu re ñii xca quichen tnu se'en xcua cueen cha' 'in na ticui' cuaña'an nchgaa cha' tiyaa nu cui' ti lo'o scasca nan nu ntñan ne' nu tayaa' 'in quichen Chijya' tyi'o na nde loo. 
Mexican_constitution 	XXIX-G. 	XXIX-G. 
Mexican_constitution 	Para expedir leyes que establezcan la concurrencia del Gobierno Federal, de los gobiernos de los Estados y de los municipios, en el ámbito de sus respectivas competencias, en materia de protección al ambiente y de preservación y restauración del equilibrio ecológico. 	Nu tñan ne' scasca lee nu ntsu'hui cha' cu'ni cunta ne' nchca Bsya Chijya' a cunta lo'o gubiernu 'in cunda scaa Estado lo'o na'an tñan municipio tso' cha' 'in ña'an ntsu'hui cha' chu'hui ne' cunta se'en ndi'in ne' a cunta xñi ne' cunta nchgaa loo nan nducua loo yuu se'en ndlo ne' tñan. 
Mexican_constitution 	XXIX-H. 	XXIX-H. 
Mexican_constitution 	Para expedir la ley que instituya el Tribunal Federal de Justicia Administrativa, dotado de plena autonomía para dictar sus fallos, y que establezca su organización, su funcionamiento y los recursos para impugnar sus resoluciones. 	Nu tñan ne' scasca lee nu cu'ni cunta nchgaa ne' nu n'ni xñan bsya nu nducua la Chijya', cui' ne' tsu'hue cha' tiyaa 'in lo'o cha' nu cu'ni ne'. A cunta tyi'in tyaa ne' ña'an ntsu'hui cha' tyi'in ne' bse can' lo' ña'an ntsu'hui cha' cu'ni ne' tñan, ticui' cuaña'an cu'ni quii ne' nchgaa cha' nu nchca ti' chcui ndijin se'en cu'ni ne' tñan. 
Mexican_constitution 	El Tribunal tendrá a su cargo dirimir las controversias que se susciten entre la administración pública federal y los particulares. 	Ta ne' bse nu n'ni xñan bsya can', cu'ni cuiya' ne' nchgaa cha' a tsu'hue tsato'o se'en nducua ne' lyi'ya tñan 'in quichen Chijya' ticui' cuaña'an lo'o cha' nu tsato'o 'in ña'an tucui ti. 
Mexican_constitution 	Asimismo, será el órgano competente para imponer las sanciones a los servidores públicos por las responsabilidades administrativas que la ley determine como graves y a los particulares que participen en actos vinculados con dichas responsabilidades, así como fincar a los responsables el pago de las indemnizaciones y sanciones pecuniarias que deriven de los daños y perjuicios que afecten a la Hacienda Pública Federal o al patrimonio de los entes públicos federales. 	Ticui' cuaña'an ntsu'hui cha' culo qui'ya ne' 'in nchgaa ne' nu lyi'ya tñan 'in quichen cha' nde'en la cha' nu nchcui' lee a xcuen ne'cunta lo' lca na sca cha' nu cua' tlyu, ticui' cuaña'an culo qui'ya ne' 'in ña'an tucui ti nu lo'o qui'ni yu'hui loo cha' can', ticui' cuaña'an quianan ne' ña'an nchgaa ne' nu ca ti'i 'in se'en ca sca qui'ya ntsu'hui cha' xñi ne' tñin nu su'hua lyiya' ne' m'ni ti'i can', a cunta culo qui'ya ne' 'in nchgaa ne' nu cu'ni ti'i lo'o tñin uta nan nu ndi'in 'in quichen Chijya. 
Mexican_constitution 	El Tribunal funcionará en Pleno o en Salas Regionales. 	Ta ne' bse can' tucua ta ntsu'hui cha' quio' tucua ne' tyaa ycui' ne' sca cha', quio' tucua ne' chin' ti' ne' uta quio' tucua ne' nchggaa ne'. 
Mexican_constitution 	La Sala Superior del Tribunal se compondrá de dieciséis Magistrados y actuará en Pleno o en Secciones, de las cuales a una corresponderá la resolución de los procedimientos a que se refiere el párrafo tercero de la presente fracción. 	Tsa 'tñun xca lca ne' bse can' ntsu'hui cha' quio' tucua ne' cu'ni ne' tñan, lo' tca quio' tucua ne' chin' ti ne', a cunta tca quio' tucua ne' nchgaa ne', lo' sca se'en quio' tucua ne' can' culyo huii ne' nchgaa cha' nu nchcui' ta nu cua' nchca snan 'in yu'hue 'i lee re 
Mexican_constitution 	Los Magistrados de la Sala Superior serán designados por el Presidente de la República y ratificados por el voto de las dos terceras partes de los miembros presentes del Senado de la República o, en sus recesos, por la Comisión Permanente. 	Ne' nchca Bsya Chijya' ntsu'hui cha' culo ton 'in ne' bse nu cuaan la cha' cuiya' ntsu'hui yaa' can', a cunta qui'an la 'in tsa tu'hue ne' nchca Senador culo tucua ne' yaa ne' si'ya cui' ne' mdo'o ton can' cu'ya ne' tñan, lo' cha' lja la a ndiyo' tucua ne' Senador can' ta ne' nu nguinu tñan loo ne' qui'ni ca'an 'in culo huin 'in ne'. 
Mexican_constitution 	Durarán en su encargo quince años improrrogables. 	Tsa 'tñun yjan ntsu'hui cha' cu'ya ne' tñan lo' a tca tyijyin la na. 
Mexican_constitution 	Los Magistrados de Sala Regional serán designados por el Presidente de la República y ratificados por mayoría de los miembros presentes del Senado de la República o, en sus recesos, por la Comisión Permanente. 	Lo' xca ta ne' bse nu n'ni cuiya' qui'ya can' ne' Bsya Chijya' ntsu'hui cha' culo ton 'in ne' una 'ni cha' qui'an la ne' nchca Senador ntsu'hui cha' tyi'in tyaa ne' cha' 'in ne' cha' tca cu'ya ne' tñan, una cha' lja la a ndiyo' tucua ne' Senador can' ne' nu nguinu tñan loo ne' can' nu ntsu'hui cha' tyi'in tyaa cha' can'. 
Mexican_constitution 	Durarán en su encargo diez años pudiendo ser considerados para nuevos nombramientos. 	Tsa tii jyan ntsu'hui cha' cu'ya ne' tñan una tca tyi'o ton ne' xiya' nde loo. 
Mexican_constitution 	Los Magistrados sólo podrán ser removidos de sus cargos por las causas graves que señale la ley. 	Ne' nu cu'ya tñan can' tca cha'an ne' cha' ta nde'en sca cha' cua' tlyu cu'ni ne' tsaña'an nu ndi'in tyaa lee cha'. 
Mexican_constitution 	XXIX-I. 	XXIX-I. 
Mexican_constitution 	Para expedir leyes que establezcan las bases sobre las cuales la Federación, los estados, el Distrito Federal y los municipios, coordinarán sus acciones en materia de protección civil, y 	Nu tñan ne' scasca lee nu tyi'in tyaa scasca base nu cu'ni ne' nchca Bsya Chijya' a cunta lo'o gubiernu 'in cunda scaa Estado lo'o na'a tñan municipio si'yana tayaa' ta'a ne' chu'hui ne' cunta ña'an se'en lyi'ya loo Chijya', a cunta 
Mexican_constitution 	XXIX-J. 	XXIX-J. 
Mexican_constitution 	Para legislar en materia de cultura física y deporte con objeto de cumplir lo previsto en el artículo 4o. de esta Constitución, estableciendo la concurrencia entre la Federación, los Estados, el Distrito Federal y los municipios; así como de la participación de los sectores social y privado; 	Nu tñan ne' scasca lee tso' cha' 'in cha' cuijya' lo'o si'yana ca ja'an nten cha' ndi'in tyaa lee cuiya' 4º, nu nguinu scua 'in quichen Chijya', lo' tyi'in tyaa na nchgaa cha' nu cu'ni ne' nchca Bsya Chijya', lo'o ne' nchca gubiernu 'in Estado lo'o Distrito 'in Quichen Chijya' a cunta lo'o bsya na'an tñan municipio, ticui' cuaña'an cha' nu cu'ni scascala ne' lyi'ya tñan 'in quichen uta ña'an tucui ti; 
Mexican_constitution 	XXIX-K. 	XXIX-K. 
Mexican_constitution 	Para expedir leyes en materia de turismo, estableciendo las bases generales de coordinación de las facultades concurrentes entre la Federación, Estados, Municipios y el Distrito Federal, así como la participación de los sectores social y privado. 	Nu tñan ne' scasca lee tso' cha' 'in ña'an ndyi'an ne' tu'hua tyi'a tujo'o cui' ne' tyi'in tyaa ne' nchgaa base nu cu'ni cha' ca sca cha' ti 'in Bsya Chijya', lo'o ne' nchca gubiernu 'in Estado lo'o Distrito 'in Quichen Chijya', lo'o tñan nu cu'ni, ticui' cuaña'an cha' nu ntsu'hui cha' cu'ni scasca la ne' lyi'ya tñan 'in quichen uta ña'an tucui ti; 
Mexican_constitution 	XXIX-L. 	XXIX-L. 
Mexican_constitution 	Para expedir leyes que establezcan la concurrencia del gobierno federal, de los gobiernos de las entidades federativas y de los municipios, en el ámbito de sus respectivas competencias, en materia de pesca y acuacultura, así como la participación de los sectores social y privado, y 	Nu tñan ne' scasca lee nu tyi'in tyaa nchgaa cha' nu ntsu'hui cha' cu'ni ne' nchca Bsya Chijya', lo'o ne' nchca gubiernu 'in Estado lo'o Distrito 'in Quichen Chijya' a cunta lo'o bsya na'an tñan municipio, tsa se'en ndlo ne' tñan tso' cha' 'in tñan n'ni ne' cuta cula ticui' cuaña'an cha' nu ntsu'hui cha' cu'ni scascala ne' lyi'ya tñan 'in quichen uta ña'an tucui ti; 
Mexican_constitution 	XXIX-M. 	XXIX-M. 
Mexican_constitution 	Para expedir leyes en materia de seguridad nacional, estableciendo los requisitos y límites a las investigaciones correspondientes. 	Nu tñan ne' scasca lee lo'o tso' cha' 'in ña'an tyi'in tsu'hue nten ña'an se'en lyi'ya loo Chijya', a cunta nchgaa quityi nu njñan ne' lo' tsala cuiya' ntsu'hui cha' tiyaa ne' xa nu lyo ni' ne' scasca cha'. 
Mexican_constitution 	XXIX-N. 	XXIX-N. 
Mexican_constitution 	Para expedir leyes en materia de constitución, organización, funcionamiento y extinción de las sociedades cooperativas. 	Nu tñan ne' scasca lee tso' cha' 'in ña'an ntsu'hui cha' tyi'in lo' cu'ni scasca ta nten nu a cunta ña'an nu chca ti'in ta nten can'. 
Mexican_constitution 	Estas leyes establecerán las bases para la concurrencia en materia de fomento y desarrollo sustentable de la actividad cooperativa de la Federación, Estados y Municipios, así como del Distrito Federal, en el ámbito de sus respectivas competencias. 	Lee nu tyi'in tyaa ne' ntsu'hui cha' culoo na tñan nchgaa ña'an nu cu'ni ne' scasca tñan nu tayaa' 'in quichen Chijya' tyi'o na nde loo a cunta lo'o scasca Estado, ticui' cuaña'an lo'o na'an tñan municipio cunda scaa se'en nu ndlo ne' tñan. 
Mexican_constitution 	XXIX-Ñ. 	XXIX-Ñ. 
Mexican_constitution 	Para expedir leyes que establezcan las bases sobre las cuales la Federación, los Estados, los Municipios y el Distrito Federal coordinarán sus acciones en materia de cultura, salvo lo dispuesto en la fracción XXV de este artículo. Asimismo, establecerán los mecanismos de participación de los sectores social y privado, con objeto de cumplir los fines previstos en el párrafo noveno del artículo 4o. de esta Constitución. 	Nu tñan ne' scasca lee nu nu tyi'in tyaa scasca base nu cu'ni ne' nchca Bsya Chijya' a cunta lo'o gubiernu 'in cunda scaa Estado lo'o na'an tñan municipio, quiaa nan ne' ña'an ntsu'hui cha' cu'ni ne' tñan tso' cha' nu ntsu'hui 'in ne' Chijya', una si'i ña'an cha' nu nchcui' yu'hue XXV 'in cuiya' re, ticui' cuaña'an cha' nu ntsu'hui cha' cu'ni scasca la ne' lyi'ya tñan 'in quichen uta ña'an tucui ti; si'yana tsato'o nchgaa cha' nu nchcui' ta nu cua' nchca caa 'in lee cuiya' 4 nu nguinu scua 'in quichen Chijya'. 
Mexican_constitution 	XXIX-O. 	XXIX-O. 
Mexican_constitution 	Para legislar en materia de protección de datos personales en posesión de particulares. 	Nu tñan ne' scasca lee tso' cha' 'in ña'an chu'hui ne' cunta cha' 'in cunda scaa nten, cui' cha' nu ljyan loo quityi ta'a 'in ne'. 
Mexican_constitution 	XXIX-P. 	XXIX-P. 
Mexican_constitution 	Expedir leyes que establezcan la concurrencia de la Federación, los Estados, el Distrito Federal y los Municipios, en el ámbito de sus respectivas competencias, en materia de derechos de niñas, niños y adolescentes, velando en todo momento por el interés superior de los mismos y cumpliendo con los tratados internacionales de la materia, de los que México sea parte. 	Nu tñan ne' scasca lee nu ntsu'hui cha' cu'ni cunta ne' nchca Bsya Chijya' a cunta lo'o gubiernu 'in cunda scaa Estado lo'o na'an tñan municipio tsa se'en ndlo ne' tñan tso' cha' nu nga'an cha' qui'ni ca'an 'in ngui cuna'an lo'o yu qui'yu tsa suhue ti, nchgaa xaa ntsu'hui cha' cu'ni cunta ne' cha' re lo' su'hua loo ne' 'in ngui tsa suhue ti can', lo' a cunta ntsu'hui cha' cu'ni cunta ne' nchgaa cha' nu cua' m'ni cuiya' quichen Chijya' lo'o scasca la quichen tnu. 
Mexican_constitution 	XXIX-Q. 	XXIX-Q. 
Mexican_constitution 	Para legislar sobre iniciativa ciudadana y consultas populares. 	Nu tñan ne' scasca lee nchgaa cha' nu ntsu'hui cha' cu'ni ne' cua' ntsu'hui 'tñu xnan yjan. 
Mexican_constitution 	XXIX-R. 	XXIX-R. 
Mexican_constitution 	Para expedir la ley general que armonice y homologue la organización y el funcionamiento de los registros públicos inmobiliarios y de personas morales de las entidades federativas y los catastros municipales; 	Nu tñan ne' scasca lee nu tyi'in tyaa tsu'hue, lo' tyi'in tyaa su'hua nchgaa ña'an nu cha'an scua nii nchgaa nan nu ndi'in 'in quichen Chijya' a cunta lo'o ta nten nu ndi'in sca Estado lo'o se'en nu ncha'an scua scasca cha' 'in na'an tñan Municipio; 
Mexican_constitution 	XXIX-S. 	XXIX-S. 
Mexican_constitution 	Para expedir las leyes generales reglamentarias que desarrollen los principios y bases en materia de transparencia gubernamental, acceso a la información y protección de datos personales en posesión de las autoridades, entidades, órganos y organismos gubernamentales de todos los niveles de gobierno. 	Nu tñan ne' sca lee nu nchcui' cha' 'in ña'an ntsu'hui cha' cu'ni sca sca ne' nchca gubiernu tñan tso' cha' 'in sca cha' la ya', ticui' cuaña'an lo'o scasca lee ña'an ntsu'hui cha' chu'hui ne' cunta scasca cha' nu nducua lo'o ne' nchca bsya, gubiernu, lo'o scasca ta nten nu ngui'ni tñan 'in Bsya Chijya'. 
Mexican_constitution 	XXIX-T. 	XXIX-T. 
Mexican_constitution 	Para expedir la ley general que establezca la organización y administración homogénea de los archivos en los órdenes federal, estatal, del Distrito Federal y municipal, que determine las bases de organización y funcionamiento del Sistema Nacional de Archivos. 	Nu tñan ne' sca lee nu tyi'in tyaa cha' ña'an ntsu'hui cha' tyi'in lo' chu'hui se'en scasca quityi ta'a nu nducua lo'o ne' nchca scasca Bsya la Chijya', lo'o scasca ne' nchca gubiernu, lo'o ne' nchca gubiernu 'in Distrito 'in quichen Chijya', a cunta lo'o bsya 'in na'an tñan municipio, ticui' cuaña'an ña'an ntsu'hui cha' cu'ni Sistema se'en ntsu'hui se'en quityi ta'a 'in Bsya Chijya'. 
Mexican_constitution 	XXIX-U. 	XXIX-U. 
Mexican_constitution 	Para expedir las leyes generales que distribuyan competencias entre la Federación y las entidades federativas en materias de partidos políticos; organismos electorales, y procesos electorales, conforme a las bases previstas en esta Constitución. 	Nu tñan ne' sca lee lo'o cha' nu ntsu'hui cha' cu'ni Bsya Chijya' lo'o gubiernu 'in scasca Estado tso' cha' 'in partido, a cunta ña'an ntsu'hui cha' culo ton ne' scasca bsya lo' ñi lyijyi ña'an ntsu'hui cha' cu'ni ne', cui' tsaña'an nu nchcui' lee nu nguinu scua 'in quichen Chijya'. 
Mexican_constitution 	XXIX-V. 	XXIX-V. 
Mexican_constitution 	Para expedir la ley general que distribuya competencias entre los órdenes de gobierno para establecer las responsabilidades administrativas de los servidores públicos, sus obligaciones, las sanciones aplicables por los actos u omisiones en que éstos incurran y las que correspondan a los particulares vinculados con faltas administrativas graves que al efecto prevea, así como los procedimientos para su aplicación. 	Nu tñan ne' sca lee lo'o cha' nu ntsu'hui cha' cu'ni scasca se'en nducua nten nu lyi'ya tñan 'in bsya Chijya' si'yana ca ndon ti' ne' cu'ni ne' tñan nu ta quiya' 'in nchgaa tucui. Nchgaa cha' nu ntsu'hui cha' cu'ni ne', a cunta lo'o ña'an nu ntsu'hui cha' tyi'o qui'ya 'in ne' cha' nde'en la cha' su'hua lyijyi ne', ticui' cuaña'an nchgaa nu cu'ni nde'en la cha' ngunan lo'o scasca cha' 'in bsya ntsu'hui cha' tyi'o qui'ya 'in can'. 
Mexican_constitution 	XXIX-W. 	XXIX-W. 
Mexican_constitution 	Para expedir leyes en materia de responsabilidad hacendaria que tengan por objeto el manejo sostenible de las finanzas públicas en la Federación, los Estados, Municipios y el Distrito Federal, con base en el principio establecido en el párrafo segundo del artículo 25; 	Nu tñan ne' scasca lee tso' cha' 'in ña'an ntsu'hui cha' culyijyi ne' scasca tñin ndi'in 'in quichen Chijya, lo'o cunda scaa Estado lo'o na'an tñan municipio a cunta lo'o Distrito 'in quichen Chijya' cui' ta'an cha' nu ndi'in tyaa ta' nu cua' nchca tucua 'in lee cuiya' 25 cui' lee nu nguinu scua 'in quichen Chijya'; 
Mexican_constitution 	XXX. Para expedir todas las leyes que sean necesarias, a objeto de hacer efectivas las facultades anteriores, y todas las otras concedidas por esta Constitución a los Poderes de la Unión. 	XXX. Ntsu'hui cha' cuiya' 'in ne' tñan ne' nchgaa lee nu ndon loo, si'yana can' cha' cuiya' ntsu'hui 'in ne' a cunta lo'o scasca cha' cuiya' nu ndaa lee nu nguinu scua 'in quichen Chijya' 'in ta'a chcua ta ne'. 
Mexican_constitution 	Artículo 74. 	Lee cuiya' 74. 
Mexican_constitution 	Son facultades exclusivas de la Cámara de Diputados: 	Cha' cuiya' nu ntsu'hui 'in ta 'in ne' nchca Diputado: 
Mexican_constitution 	I. Expedir el Bando Solemne para dar a conocer en toda la República la declaración de Presidente Electo que hubiere hecho el Tribunal Electoral del Poder Judicial de la Federación; 	I. Ntsu'hui cha' cuiya' 'in ne' tñan ne' sca quityi se'en nu taa ne' suun lo'o nchgaa ne' Chijya' cha' 'in ne' nu m'ni canan mdo'o ton ca Bsya Chijya' cui' ne' nu ycui' ne' nu cuaan la cha' cuiya' ntsu'hui yaa' tso' cha' 'in ña'an ndyi'o ton bsya; 
Mexican_constitution 	II. Coordinar y evaluar, sin perjuicio de su autonomía técnica y de gestión, el desempeño de las funciones de la Auditoría Superior de la Federación, en los términos que disponga la ley; 	II. Ntsu'hui cha' cuna ne' ña'an cu'ni ne' tñan tsatlyu se'en nu a cu'ni ne' ti'i lo'o scasca tñan nu ngui'ni ne' n'ni cunta cha' ña'an nguiaa lo'o ne' cunta tñin 'in quichen Chijya' tsaña'an nu ndi'in tyaa lee cha'. 
Mexican_constitution 	III. Ratificar el nombramiento que el Presidente de la República haga del Secretario del ramo en materia de Hacienda, salvo que se opte por un gobierno de coalición, en cuyo caso se estará a lo dispuesto en la fracción II del artículo 76 de esta Constitución; así como de los demás empleados superiores de Hacienda; 	III. Taa tsu'hue ne' suun ña'an cha' nu ngulo ton ne' Bsya Chijya' 'in scaranu 'in Hacienda, una cha' lca ne' sca gubiernu nu m'ni sca cha' 'in, xacan' ntsu'hui cha' cu'ni cunta ne' cha' nu nchcui' yu'hue nu cua' nchca II 'in lee cuiya' 76 cui' lee nu nguinu scua 'in quichen Chijya', ticui' cuaña'an lo'o nchgaa la ña'an ne' nu cuaan tñan lyi'ya 'in Hacienda can'; 
Mexican_constitution 	IV. Aprobar anualmente el Presupuesto de Egresos de la Federación, previo examen, discusión y, en su caso, modificación del Proyecto enviado por el Ejecutivo Federal, una vez aprobadas las contribuciones que, a su juicio, deben decretarse para cubrirlo. 	IV. Su'hua loo ne' si'yana cui' ña'an quityi nu mtñan ne' nchca Bsya Chijya' tso' cha' 'in tñin nu culyijyi ne' ni' sca yjan, una 'ni cha' chcui' ne' lo' su'hua loo ne' cha' ta nde'en la ña'an ntsu'hui cha' xitsa'an ne' quityi can' lo' tyi'in tyaa ne' 'in na ña'an nu nu ñan ti' ne' ticui' cuaña'an cu'ni cunta la ntsu'hui cha' tyi'o tñin can'. 
Mexican_constitution 	Asimismo, podrá autorizar en dicho Presupuesto las erogaciones plurianuales para aquellos proyectos de inversión en infraestructura que se determinen conforme a lo dispuesto en la ley reglamentaria; las erogaciones correspondientes deberán incluirse en los subsecuentes Presupuestos de Egresos. 	Ticui' cuaña'an su'hua loo ne' si'yana cui' ña'an nu ntsu'hui cutsa Bsya Chijya' nan nu tayaa' 'in nten quichen cui' cha' nu ndi'in tyaa lee, lo' nchgaa nan nu ntsu'hui cha' cutsa ne' ntsu'hui cha' cha'an scua na loo Quityi se'en nu nga'an tsala tñin ntsu'hui cha' culyijyi ne' nchca Bsya Chijya' cunda scaa yjan. 
Mexican_constitution 	El Ejecutivo Federal hará llegar a la Cámara la Iniciativa de Ley de Ingresos y el Proyecto de Presupuesto de Egresos de la Federación a más tardar el día 8 del mes de septiembre, debiendo comparecer el secretario de despacho correspondiente a dar cuenta de los mismos. 	Ne' nchca Bsya Chijya' ntsu'hui cha' tyaa ne' cunta 'in ta 'in ne' nchca Diputado cha' 'in tsala tñin ntsu'hui cha' caja 'in quichen Chijya' ni' sca yjan, lo' tsala tñin ntsu'hui cha' cuilyijyi ne', sca ta'a lyi'ya Bsya Chijya' tñan ca tsalo'o cunta can' tsa tiyaa cua' 8 ti lo'o coo' septiembre. 
Mexican_constitution 	La Cámara de Diputados deberá aprobar el Presupuesto de Egresos de la Federación a más tardar el día 15 del mes de noviembre. 	Lo' ta 'in ne' nchca Diputado can' ntsu'hui cha' su'hua loo ne' tsala tñin culyijyi ne' Bsya chijyia' tsa tiyaa cua' 15 lo'o coo' noviembre. 
Mexican_constitution 	Cuando inicie su encargo en la fecha prevista por el artículo 83, el Ejecutivo Federal hará llegar a la Cámara la iniciativa de Ley de Ingresos y el proyecto de Presupuesto de Egresos de la Federación a más tardar el día 15 del mes de noviembre. 	Una cha' lca na sca yjan nu sten ne' Bsya Chijya' can' cu'ya ne' tñan tsaña'an nchcui' lee cuiya' 83,'ni cha' tyaa ne' cunta quityi se'en ngua'an scua tsala tñin ntsu'hui cha' caja 'in quichen Chijya' ni' sca yjan lo' tsala tñin ntsu'hui cha' culyijyi ne', 'in ta 'in ne' nchca Diputado tsa tiyaa cua' 15 lo'o coo' noviembre. 
Mexican_constitution 	No podrá haber otras partidas secretas, fuera de las que se consideren necesarias, con ese carácter, en el mismo presupuesto; las que emplearán los secretarios por acuerdo escrito del Presidente de la República. 	Tso' cha' 'in quityi can' 'in Bsya Chijya' a ntsu'hui 'a cha' ti' tsaa' xca na cha' na a 'ni cha' 'in na cui' ca nu sca ti quityi ña'an ntsu'hui cha' cuilyijyi ne' tñin ni' sca yjan cui' nu tñan ne' nchca Bsya Chijya' lo'o ta'a lyi'ya ne' tñan 
Mexican_constitution 	Sólo se podrá ampliar el plazo de presentación de la iniciativa de Ley de Ingresos y del Proyecto de Presupuesto de Egresos, cuando medie solicitud del Ejecutivo suficientemente justificada a juicio de la Cámara o de la Comisión Permanente, debiendo comparecer en todo caso el Secretario del Despacho correspondiente a informar de las razones que lo motiven; 	Tca culoo tucua la ne' tsaan nu tyaa ne' cunta cha' 'in tsala tñin ntsu'hui cha' caja 'in quichen Chijya' ni' sca yjan lo' tsala tñin ntsu'hui cha' cuilyijyi ne', xa nu ne' nchca Bsya Chijya' tñan ne' sca quityi si'yana cuaña'an cha' nu jñan ne' 'in ta 'in ne' nchca Diputado uta ne' nu nguinu tñan loo ne' lja nu a ndiyo' tucua 'a ne', lo'o ne' nu lca scaranu 'in Bsya Chijya' can' taa suun ñi cha' ca mdiyaa ti'in Bsya Chijya' lo'o cha' can'. 
