Bolivian_constitution 	CONSTITUCIÓN POLÍTICA DEL ESTADO 	ESTADOQ KURAQ KAMACHIYNIN 
Peruvian_constitution 	El ámbito del nivel local de gobierno son las provincias, distritos y los centros poblados. 	Suyuq kamachiyninqa hatun llaqtakunan hinaspa taqsa llaqtakunan,huch’uy llaqtakuna chaymantapas ayllukuna. 
Peruvian_constitution 	Artículo 190°. 	190º Phatmi. 
Peruvian_constitution 	Las regiones se crean sobre la base de áreas contiguas integradas histórica, cultural, administrativa y económicamente, conformando unidades geoeconómicas sostenibles. 	Huch'uy suyukuna kamakuran ñaupaq llaqta kausayninta, ruwayninta hinaspa qolqe imayna maskhayninta qhawaripa, huñuspa ch’ulla pachapi kausaqta hina. 
Peruvian_constitution 	El proceso de regionalización se inicia eligiendo gobiernos en los actuales departamentos y la provincia constitucional del Callao. 	Chay chaupichakuy qolluchiyqa qallarin kamachiq runakunata ajllaspa khunan taqasa llaqtakunapi kaqkunata hinaspa Callao nisqa huch’uq llaqta kamachiqtawan. 
Peruvian_constitution 	Estos gobiernos son gobiernos regionales. 	Chay kamachiykunaqa huch’uy suyukunamantan. 
Peruvian_constitution 	Mediante referéndum podrán integrarse dos o más circunscripciones departamentales contiguas para constituir una región, conforme a ley. 	Llaqtakunapi kausaq runakunata tapuspan iskay utaq astawanpas llaqtakuna hoq huch’uy suyuta kamankumanmi, ichaqa kamachiyman hinamupi. 
Peruvian_constitution 	Igual procedimiento siguen las provincias y distritos contiguos para cambiar de circunscripción regional. 	Kikillantapunis qati qati taqsa hinaspa huch’uy llaqtakuna ruwayta atillankumantaq hoq suyuman tiqrakuyta munaqtinku. 
Peruvian_constitution 	La ley determina las competencias y facultades adicionales, así como incentivos especiales, de las regiones así integradas. 	Kamachiymantan kan wakin ruwaykumantapas, chaymanta hoq neray llaqtakuna huñunakunanmantapas. 
Peruvian_constitution 	Mientras dure el proceso de integración, dos o más gobiernos regionales podrán crear mecanismos de coordinación entre sí. 	Llaqtakunaq huñunakuynin ruwakunan kama, iskay utaq astawan suyukuna rimarinakuspa kausayninkupaq ruwayta atillankumanmi. 
Peruvian_constitution 	La ley determinará esos mecanismos. 	Kamachiypa ukhunpin ichaqa ima ruwaypas. 
Peruvian_constitution 	Artículo 191.- Los gobiernos regionales tienen autonomía política, económica y administrativa en los asuntos de su competencia. Coordinan con las municipalidades sin interferir sus funciones y atribuciones. 	191º Phatmi. Huch’uy suyu llaqtakuna kikillamni kamachikunku, qolqenmantapas, kausaninmantapas hinaspa llapa ruwayninmantapas, llapa “municipalidad” nisqa warayoq wasikunawan rimarispa ichaqa yupanchaspa ruwayninkunata. 
Peruvian_constitution 	La estructura orgánica básica de estos gobiernos la conforman el Consejo Regional como órgano normativo y fiscalizador, el Presidente como órgano ejecutivo, y el Consejo de Coordinación Regional integrado por los alcaldes provinciales y por representantes de la sociedad civil, como órgano consultivo y de coordinación con las municipalidades, con las funciones y atribuciones que les señala la ley. 	Huch’uy suyuq kamachiyninkunaqa hatun suyuq kamachiyninman hinapunin ruwasqa, hinaspa hatun kamayoq apasqan chaymantaq “Consejo de Cordinaciòn Nisqa “alcalde” nisqa kamachiq warayoqmwan hinaspapas hoq llaqta runawan kuska, ruwaspa llapa llank’aykunata kamachiyman hina. 
Peruvian_constitution 	El Consejo Regional tendrá un mínimo de siete (7) miembros y un máximo de veinticinco (25), debiendo haber un mínimo de uno (1) por provincia y el resto, de acuerdo a ley, siguiendo un criterio de población electoral. 	Qanchis (7), iskay chunka pisqayoq(25) kamayoq runakunan kanan hatun suyu llaqta kamachiypiqa, hoq (1) runallapas huch’uy llaqtapiqa kanallantaqmi, kamachiyman hina, imayna runakuna kamayoq ajallayta aniqman hina. 
Peruvian_constitution 	El Presidente es elegido conjuntamente con un vicepresidente, por sufragio directo por un período de cuatro (4) años, y puede ser reelegido. 	Umallijqa qatiq umalliq kuskawanmi ajllasqa, ichaqa tawa watapaq ichaqa yapamantapas hoqmanta ajllasqa kanallantaqmi. 
Peruvian_constitution 	Los miembros del Consejo Regional son elegidos en la misma forma y por igual período. El mandato de dichas autoridades es revocable, conforme a ley, e irrenunciable, con excepción de los casos previstos en la Constitución. 	Chaymantapas hoq huch’uy suyuq kamachiqninkunapas hinallataq ajllasqa kanallankumantaqmi kasqan watakunapaq, kamachiyman hina. 
Peruvian_constitution 	Para postular a Presidente de la República, Vicepresidente, miembro del Parlamento Nacional o Alcalde; los Presidentes de los Gobiernos Regionales deben renunciar al cargo seis (6) meses antes de la elección respectiva. La ley establece porcentajes mínimos para hacer accesible la representación de género, comunidades campesinas y nativas, y pueblos originarios en los Consejos Regionales. 	Runa aylukunan kamachikun hayk’a warmi qhari hayk’a kamayoqkuna ajllasqa kananata, kikillantataqmi “Consejo Municipales nisqakunata ajllakun. (*) (*) Kay willakuyqa hoq neraytaruwakuran, 28607 kamachiman hina, mast’aruisqa karan 04 p’unchay Antaray killapi 2005. 
Peruvian_constitution 	Igual tratamiento se aplica para los Concejos Municipales. (*) (*) Artículo modificado por el Artículo Único de la Ley N° 28607, publicada el 04 Octubre 2005. Artículo 192°.- Los gobiernos regionales promueven el desarrollo y la economía regional, fomentan las inversiones, actividades y servicios públicos de su responsabilidad, en armonía con las políticas y planes nacionales y locales de desarrollo. 	192º Phatmi. Huch’uy suyupi kamachiqkuna llaqta ñaupaqmaman wiñaynintan munan, qolqe kayninta allinta qhawarispa, hinaspa allinta llank’aypaq churaspa, llaqtapi kaussaq runakunanan allin kananpaq, ichaqa sumaq tukuy suyu, huch’uy suyu ayllukunan kausayninman. 
Peruvian_constitution 	Son competentes para: 	Atinkun ruwayta: 
Peruvian_constitution 	1. Aprobar su organización interna y su presupuesto. 	1. Ukhu ruwaynin chaskiy hinaspa qolqemantapas 
Peruvian_constitution 	2. Formular y aprobar el plan de desarrollo regional concertado con las municipalidades y la sociedad civil. 	2. Niy hinaspa chaskiy huch’uy suyuq ñaupaqman riyta rimayanakuspa “municipalidades” nisqakunawan hinaspta llapa runankunawanpas. 
Peruvian_constitution 	3. Administrar sus bienes y rentas. 	3. kayninkunata hinaspa qolqenkuta kusa qhawayta. 
Peruvian_constitution 	4. Regular y otorgar las autorizaciones, licencias y derechos sobre los servicios de su responsabilidad 	4. Qhawaspa apullichiykunata qoy, llank’ana qelqata hinaspa aullaukakunata llapa kamachiykuna kaypi. 
Peruvian_constitution 	5. Promover el desarrollo socioeconómico regional y ejecutar los planes y programas correspondientes. 	5. Huch’uy suyu qhapaq kayninta kuyuchiy hinaspa llank’aspa sumaq t’ikarinanpaq. 
Peruvian_constitution 	6. Dictar las normas inherentes a la gestión regional. 	6. Huch’uy suyuq kamachiykunata yuyaywan churay. 
Peruvian_constitution 	7. Promover y regular actividades y/o servicios en materia de agricultura, pesquería, industria, agroindustria, comercio, turismo, energía, minería, vialidad, comunicaciones, educación, salud y medio ambiente, conforme a ley. 	7. Qhawaspa kuyuchiy ruwaynunata utaq chaqra llank’anapaq, challwapaq, llank’ay ruwaywan ruruypaq, “agroindustria” nisqapaq, qhatuypaq, reqsiy munaqta, kallpapaq, antamanta, ñankunamanta, rumaykunamanta, yachaymanta, qhalikaymanta hinaspata llapan kaymanta kamachiyman hina. 
Peruvian_constitution 	8. Fomentar la competitividad, las inversiones y el financiamiento para la ejecución de proyectos y obras de infraestructura de alcance e impacto regional. 	8. Yachaypi tupanakuyta kuyuchiy, imaymana llank’aykunapaq qolqe tariy hinaspa ñankuna wasikuna llutaspa huch’uy suyu kausaypi. 
Peruvian_constitution 	9. Presentar iniciativas legislativas en materias y asuntos de su competencia. 	9. Suyu apusimi kamaykunata imaymana ruwayninkunapi kayniman hina hayway. 
Peruvian_constitution 	10. Ejercer las demás atribuciones inherentes a su función, conforme a ley. 	10. Kamachiyman hinallapuni imaymana llank’aypi ruwayninkunata ruway. 
Peruvian_constitution 	Artículo 193°.- Son bienes y rentas de los gobiernos regionales: 	193º Phatmi. Huch’uy suyuq kaynin hinaspa qolqenmi kan: 
Peruvian_constitution 	1. Los bienes muebles e inmuebles de su propiedad. 	1. Wasikuna hinaspa astanakuna paypa kaqnin. 
Peruvian_constitution 	2. Las transferencias específicas que les asigne la Ley Anual de Presupuesto. 	2. Llaqtaq qolqe rakiypi kamachiyman hina qolqe chaskiy. 
Peruvian_constitution 	3. Los tributos creados por ley a su favor. 	3. Qolqe churaykuna allin kayninpaq. 
Peruvian_constitution 	4. Los derechos económicos que generen por las privatizaciones, concesiones y servicios que otorguen, conforme a ley. 	4. Llapa qolqe allaukakuna sapanchasqa rayku tariy, qosqa rayku hinaspa llank’ayninku kayway rayku, kamachiyman hina. 
Peruvian_constitution 	5. Los recursos asignados del Fondo de Compensación Regional, que tiene carácter redistributivo, conforme a ley. 	5. Llapa qolqe chaskisqakuna “Fondo de Compensaciòn Regional” ichaqa llapanpaq rakina kaqtin, kamachiyman hina. 
Peruvian_constitution 	6. Los recursos asignados por concepto de canon. 	6. Llapa kaykuna qolqe churayman hina. 
Peruvian_constitution 	7. Los recursos provenientes de sus operaciones financieras, incluyendo aquellas que realicen con el aval del Estado, conforme a ley. 	7. Llapa qolqe rantispa qhatuspa chaskiy ichaqa suyu rantinkaypi, kamachiyman hina. 8. Wakinpas kamachiyman hina. 
Peruvian_constitution 	8. Los demás que determine la ley. 	194º Phatmi. 
Peruvian_constitution 	Artículo 194.- Las municipalidades provinciales y distritales son los órganos de gobierno local. 	“Municiplidades” nisqa warayoq taqsa llaqtapi utaq hunch’uypi ima kamachiq wasikuna kanku. 
Peruvian_constitution 	Tienen autonomía política, económica y administrativa en los asuntos de su competencia. 	Chay sapankataqmi kikin kausayniyoq, qolqeyoq hinaspa kausayniyoq kanku. 
Peruvian_constitution 	Las municipalidades de los centros poblados son creadas conforme a ley. 	Sapanka aswan huchùy “centros poblados” nisqakunataqmi kamachiyman hina kamasqa kanku. 
Peruvian_constitution 	La estructura orgánica del gobierno local la conforman el Concejo Municipal como órgano normativo y fiscalizador y la Alcaldía como órgano ejecutivo, con las funciones y atribuciones que les señala la ley. Los alcaldes y regidores son elegidos por sufragio directo, por un período de cuatro (4) años. 	Llaqta wasipi kamachiqkuna kanku “Consejo Municipal” nisqakuna kamachiq hinaspa llaqta kausay amachaqeq, hinaspataq “Alcaldìa” nisqa ruwaq, llapa lliu ruwaykuna atiq kamachiyman hina. 
Peruvian_constitution 	Pueden ser reelegidos. Su mandato es revocable, conforme a ley, e irrenunciable, con excepción de los casos previstos en la Constitución. 	“Alcaldes”nisqa warayoqkuna hinaspa “regidores” nisqa warayuq yanapaq kamayuqmi llaqta runaq ajllasqanmi kanku. 
Peruvian_constitution 	Para postular a Presidente de la República, Vicepresidente, miembro del Parlamento Nacional o Presidente del Gobierno Regional; los Alcaldes deben renunciar al cargo seis (6) meses antes de la elección respectiva. (*) (*) Artículo modificado por el Artículo Único de la Ley N° 28607, publicada el 04 Octubre 2005. 	Kamachiyninkun tukukuyta atikunmanmi ichaqa manan pankunamantachu, kamachiyman hina. (*) (*) Kay willakuyqa hoq neraytaruwakuran , 28607 kamachiman hina, mast’aruisqa karan 04 p’unchay Antaray killapi 2005. 195º Phatmi. 
Peruvian_constitution 	Artículo 195°.- Los gobiernos locales promueven el desarrollo y la economía local, y la prestación de los servicios públicos de su responsabilidad, en armonía con las políticas y planes nacionales y regionales de desarrollo. 	Huch’uy llaqtaq allaukakunan paqarichiyku llaqtaq qhapaqkayninta, hinaspa llaqtantinpaq sumaq kausayta hunt’a kaywan, llaqta suyuntin kayninman hina ñaupaqpaqpuni rinanpaq. 
Peruvian_constitution 	Son competentes para: 	Atinku ruwayta: hina mosoq kamachiykunata kallpachay. 
Peruvian_constitution 	1. Aprobar su organización interna y su presupuesto. 	1. Chaskiy Ukhupi imayna kausayninta hinaspa qolqenta. 
Peruvian_constitution 	2. Aprobar el plan de desarrollo local concertado con la sociedad civil. 	2. Chaskiy ñaupaqman rinanpaq imayna ruwanata rimaspa llaqtapi sapanchasqa runakunawan. 
Peruvian_constitution 	3. Administrar sus bienes y rentas. 	3. Rikuy kayninkunata hinaspa qolqenkunatapas. 
Peruvian_constitution 	4. Crear, modificar y suprimir contribuciones, tasas, arbitrios, licencias y derechos municipales, conforme a ley. 	4. Kamay chhalay hinaspa horqoy qolqe qoyta, chaskiyta, wasimanta qolqe qoy,”derechos municipales” nisqakunata, kamachiyman hina 
Peruvian_constitution 	5. Organizar, reglamentar y administrar los servicios públicos locales de su responsabilidad. 	5. Kamay, kakachiy hinaspa paqtachay llaqta runaq kausayninpaq hunt’a hunt’a kayman hina. 
Peruvian_constitution 	6. Planificar el desarrollo urbano y rural de sus circunscripciones, incluyendo la zonificación, urbanismo y el acondicionamiento territorial. 7. Fomentar la competitividad, las inversiones y el financiamiento para la ejecución de proyectos y obras de infraestructura local. 	6. Kikin llaqtapi wasikunamanta chaqrakunamantapas yuyay, ichaqa rikuspa imayna qelqapi “zonificación, urbanismo y el acondicionamiento territorial” nisqata tarinqa, chaymantapas suyu patapi. 7. Astawan yanapay qolqe tariymanta hinaspa llank’aypaq churaymantapas. 
Peruvian_constitution 	8. Desarrollar y regular actividades y/o servicios en materia de educación, salud, vivienda, saneamiento, medio ambiente, sustentabilidad de los recursos naturales, transporte colectivo, circulación y tránsito, turismo, conservación de monumentos arqueológicos e históricos, cultura, recreación y deporte, conforme a ley. 	8. Wiñachiy hinaspa ruwaykunata utaq qoykunata yachaypi, qhali kaypi, wasi, allchaypi, pacha kausaypi, “transporte colectivo” nisqapi, puriykunapi, reqsiykunapi, allin ñaupaq wasikuna llut’aykuna rikuypi, tukuy yachaykunapi, pujllaykunapi, kamachiyman hina. 
Peruvian_constitution 	9. Presentar iniciativas legislativas en materias y asuntos de su competencia. 	9. Yachayninman Hina hayway manaraq kamachikunata ima yachay llank’ayninman hina. 
Peruvian_constitution 	10. Ejercer las demás atribuciones inherentes a su función, conforme a ley. 	10. Apuliq kayninman hina ruwaynin kananpaq, kamachiyman hina. 
Peruvian_constitution 	Artículo 196°. 	196º Phatmi. 
Peruvian_constitution 	Son bienes y rentas de las municipalidades: 	Kapuykuna hinaspa qolqekuna “Municipalidades” nisqa wasikunaqmi: 
Peruvian_constitution 	1. Los bienes muebles e inmuebles de su propiedad. 	1. Paypa Wasinkuna hinaspa wasipi kaykuna. 
Peruvian_constitution 	2. Los tributos creados por ley a su favor. 	2. Llapa qolqe churaykuna kamachiyman hina. 
Peruvian_constitution 	3. Las contribuciones, tasas, arbitrios, licencias y derechos creados por Ordenanzas Municipales, conforme a ley. 	3. Qolqe Churaykuna, “tasas”, “arbitrios”, “licencias” llapan kamasqa allaukakata municipales nisqanman” kamachiyman hina. 
Peruvian_constitution 	4. Los derechos económicos que generen por las privatizaciones, concesiones y servicios que otorguen, conforme a ley. 	4. Sapanchasqa, qoykuna hinaspa ruwaykuna qolqemanta allaukakuna qoy, kamachiyman hina. 
Peruvian_constitution 	5. Los recursos asignados del Fondo de Compensación Municipal, que tiene carácter redistributivo, conforme a ley. 	5. Qolqe qosqakuna “Fondo de Compensaciòn Municipal, rakina atiymi kananku, kamachiyman hina. 
Peruvian_constitution 	6. Las transferencias específicas que les asigne la Ley Anual de Presupuesto. 	6. Watapaq qolqe chaskiy atiy “Ley de Presupuesto” nisqaman hina. 
Peruvian_constitution 	7. Los recursos asignados por concepto de canon. 	7. Llapa qolqe qonankumanta “canon” nisqaman hina. 
Peruvian_constitution 	8. Los recursos provenientes de sus operaciones financieras, incluyendo aquellas que requieran el aval del Estado, conforme a ley. 	8. Qolqe imamymanamanta chaskikuyninmanta, chayman yapakun llaqta suyu rantinkayninta, kamachiyman hina. 
Peruvian_constitution 	9. Los demás que determine la ley. 	9. Wakintaq kamachiyman hina. 
Peruvian_constitution 	Artículo 197°.- Las municipalidades promueven, apoyan y reglamentan la participación vecinal en el desarrollo local. 	197º Phatmi. Llapa llaqtapi tiyaq runakunatan “Municipalidad “nisqa yanapan ñaupaqman rinanpaq. 
Peruvian_constitution 	Asimismo brindan servicios de seguridad ciudadana, con la cooperación de la Policía Nacional del Perú, conforme a ley. 	Chaymantapas waqaychanku runaq kausaninta, ichaqa “Policia Nacional” nisqawan yanapachikuspa, kamachiyman hina. 
Peruvian_constitution 	Artículo 198°. 	198º Phatmi. 
Peruvian_constitution 	La Capital de la República no integra ninguna región. 	“Capital de la Repùblica” nisqa llaqtan manan ima huch’uy suyupaqpas churakunchu. 
Peruvian_constitution 	Tiene régimen especial en las leyes de descentralización y en la Ley Orgánica de Municipalidades. 	Hinaspa hoq neray kamachiykunan kan chay llaqtapaqqa chay “Ley Orgànica de Municipalidades” nisqapipas. 
Peruvian_constitution 	La Municipalidad Metropolitana de Lima ejerce sus competencias dentro del ámbito de la provincia de Lima. 	“Municipalidad Metropolitana de Lima” nisqaqa allaukakun kikin “Lima” llaqtallapipuni. 
Peruvian_constitution 	Las municipalidades de frontera tienen, asimismo, régimen especial en la Ley Orgánica de Municipalidades. Artículo 199°. 	Suyu patapi “municipalidades” nisqa warayoq wasikunaqa, hinallataqmi aswan hoq neray kamachiymi paykunapaq kan chay “Ley Orgánica de Municipaliades” nisqa Hatun Qelqa kamachiyninpi. 
Peruvian_constitution 	Los gobiernos regionales y locales son fiscalizados por sus propios órganos de fiscalización y por los organismos que tengan tal atribución por mandato constitucional o legal, y están sujetos al control y supervisión de la Contraloría General de la República, la que organiza un sistema de control descentralizado y permanente. 	199º Phatmi. Llapa “Gobiernos Regiolales” nisqakunaqa kikin qhawarikusqankupin llank’ananku, hinaspa llaqta kamachiyninman hinapuni, chaymi “Contraloria General de la República” nisqan rikuyta atin ima ruwaynintapas. 
Peruvian_constitution 	Los mencionados gobiernos formulan sus presupuestos con la participación de la población y rinden cuenta de su ejecución, anualmente, bajo responsabilidad, conforme a ley.” 	Chay llapa “gobierno” nisqakunan watantinpaq atinku qolqe mañakuyta llaqta runata ichaqa uyarispa hinaspa willanankun ima ruwasqankutapas, kamachiyman hina. 
Peruvian_constitution 	TÍTULO V 	PISQA HATUN T’AQA 
Peruvian_constitution 	DE LAS GARANTÍAS CONSTITUCIONALES 	HATUN KAMAY PIRWA AMACHAKUYNINKUMANTA 
Peruvian_constitution 	Artículo 200°. 	200º Phatmi. 
Peruvian_constitution 	Son garantías constitucionales: 	Hatun Kamay Pirwa amachakuyninmi: 
Peruvian_constitution 	1. La Acción de Hábeas Corpus, que procede ante el hecho u omisión, por parte de cualquier autoridad, funcionario o persona, que vulnera o amenaza la libertad individual o los derechos constitucionales conexos. 	1. “Acción de Habes Hábeas” nisqa mayqen kamachikuqpa, umalliqpa utaq runaq ruwayninpas, mana ruwayninpas, piqpa qespisqa kaynintapas q’estinchstinpas, saruchakunpas Hatun kamay Pirwaman hina atinmi mañakuyta. 
Peruvian_constitution 	2. La Acción de Amparo, que procede contra el hecho u omisión, por parte de cualquier autoridad, funcionario o persona, que vulnera o amenaza los demás derechos reconocidos por la Constitución, con excepción de los señalados en el inciso siguiente. 	2. Amachakuy mañakuyqa, atikunmi mayqen kamachikuqpa, umalliqpa utaq runaq ruwayninpas, mana ruwayninpas, piqpa qespisqa kaynintapas q’estichiqtinpas, saruchakunpas Hatun kamay Pirwaman hina atinmi mañakuyta ichaqa manan atinmanchu kay qelqapi hamuq ñeqe kaqtin. 
Peruvian_constitution 	No procede contra normas legales ni contra resoluciones judiciales emanadas de procedimiento regular. (*) (*) Inciso 2 modificado por Ley Nº 26470, publicada el 12 de Junio de 1995. 	Hinaspatami aman atikullantaqchu sichus allin Paqtachay Wasiq kamachikusqan qhepa. T’aqaspa kay hamuq willakuyman hina. (*) (*) Kay willakuyqa yapakun 26470 kamachiman hina, mast’aruisqa karan 12 p’unchaypi Inti Raymi killapi 2000 watapi 
Peruvian_constitution 	3. La Acción de Hábeas Data, que procede contra el hecho u omisión, por parte de cualquier autoridad, funcionario o persona, que vulnera o amenaza los derechos a que se refiere el artículo 2°, incisos 5 y 6 de la Constitución.(*) (*) Inciso 3 modificado por Ley Nº 26470, publicada el 12 de Junio de 1995. 	3. “Habeas Data” nisqa mañakuyqa, atikunmi mayqen kamachikuqpa, umalliqpa utaq runaq ruwayninpas, mana ruwayninpas, piqpa qespisqa kaynintapas q’estinchstinpas, saruchakunpas 2º ñeqe, 5) t’aqa hinaspa 6)Hatun kamay Pirwa kamachiyman hina. (*) (*) Kay willakuyqa yapakun 26470 kamachiman hina, mast’aruisqa karan 12 p’unchaypi Inti Raymi killapi 1995 watapi 
Peruvian_constitution 	4. La Acción de Inconstitucionalidad, que procede contra las normas que tienen rango de ley: leyes, decretos legislativos, decretos de urgencia, tratados, reglamentos del Congreso, normas regionales de carácter general y ordenanzas municipales que contravengan la Constitución en la forma o en el fondo. 	4. Hatun Kamay Pirwa mana hunt’akuqtin paqtay mañakuytaqa mana allin apusimi qelqa kaqtin, kamachikuna, osqay ruwaykuna, hawa llaqtakunawan qelqa rimaykuna, Rimana Wasiq kamachiynin, llaqta ukhupi kamachiyninku, hinaspapas llapan warayoq kamachininkuna mana allin kamachiykuna kaqtin atikunmi kay paqtay mañakuytaqa. 
Peruvian_constitution 	5. La Acción Popular, que procede, por infracción de la Constitución y de la ley, contra los reglamentos, normas administrativas y resoluciones y decretos de carácter general, cualquiera sea la autoridad de la que emanen. 	5. “Acción Popular” nisqataqa atinkunmi Hatun Kamay Pirwa saruchasqa kaqtin mana allin apusimi qelqa kaqtin, mayqen kayaqoq kamachi qosqanman qhepa. 
Peruvian_constitution 	6. La Acción de Cumplimiento, que procede contra cualquier autoridad o funcionario renuente a acatar una norma legal o un acto administrativo, sin perjuicio de las responsabilidades de ley. 	6. Paqtay kamachiy ruwakunanqa mayqen kamayoq utaq llank’aq kasunanpaqmi ruwakun kinaspa apusimi kikinmanmi riqch’akun, hinaspa atikullantaqmi paqtachay wasipi huchallichiyta apusimiman hina. 
Peruvian_constitution 	Una ley orgánica regula el ejercicio de estas garantías y los efectos de la declaración de inconstitucionalidad o ilegalidad de las normas. 	Kay paqtay kamachiy Hatun Kamaypirwata mana kasuqtinku, rantinkaypi ruwakunanpaq ukhunpi kanmi qelqa kanachiyninkuman ruwaynin. 
Peruvian_constitution 	El ejercicio de las acciones de hábeas corpus y de amparo no se suspende durante la vigencia de los regímenes de excepción a que se refiere el artículo 137º de la Constitución. 	“Hábeas” nisqa ruwayninqa manan tatinchu 137º ñeqe Hatun Kamay Pirwa hunt’akushiaqtinpas. Kay paqtachay mañakuy allaukakuna tatiqtin utaq qollusqa kaqtinpas, Paqtay Wasin chay mañakuykunaq rikuyninqa. 
Peruvian_constitution 	Cuando se interponen acciones de esta naturaleza en relación con derechos restringidos o suspendidos, el órgano jurisdiccional competente examina la razonabilidad y la proporcionalidad del acto restrictivo. 	Ichama mana Paqtachay kamawoqa atinchu kamachi ruwayta sichus suyu phaku phakupi kanman utaq ñak’ariypi kaqtinpas. Kay allauka saruchasqa kaqtin paqtay churanapaq, chayman hina Paqtachay kamayoq qhawananpaq. 
Peruvian_constitution 	No corresponde al juez cuestionar la declaración del estado de emergencia ni de sitio. 	Manan Paqtachay kamayoq imatapas ninmanchu chay “estado de emergencia” utaq “de sitio”nisqamanta imatapas rimayta nitaq mana allinta rimaytapas. 
Peruvian_constitution 	Artículo 201°. 	201º Phatmi. 
Peruvian_constitution 	El Tribunal Constitucional es el órgano de control de la Constitución. 	“Tribunal Constitucional” nisqa Hatun Kamay Pirwa rikuqmi. 
Peruvian_constitution 	Es autónomo e independiente. 	Hinaspa munasqanman hina llank’aqmi. 
Peruvian_constitution 	Se compone de siete miembros elegidos por cinco años. 	Pisqa kamaqokunan llank’anku pisqa watapaq ajllasqa. 
Peruvian_constitution 	Para ser miembro del Tribunal Constitucional, se exigen los mismos requisitos que para ser vocal de la Corte Suprema. 	“Tribunal Constitucional” Nisqakunaqa pisqa watapaqmi ajllasqa kanku. 
Peruvian_constitution 	Los miembros del Tribunal Constitucional gozan de la misma inmunidad y de las mismas prerrogativas que los congresistas. Les alcanzan las mismas incompatibilidades. 	Tribunal Costitucional” Hatun Kamay Pirwapi kamaq kaspa llank’anapaqmi, kikin “Vocal de la Corte Suprema” nisqapaq hinan ima kayninkunata huntànanku, hinaspa alaukankuna hinaspa kamayoq kayninku kasqan Rimana Wasiqpa apullinkuna kikinmi. 
Peruvian_constitution 	No hay reelección inmediata. 	Ichaqa manan imatapas paykunawan ruwanankutaqchu. 
Peruvian_constitution 	Los miembros del Tribunal Constitucional son elegidos por el Congreso de la República con el voto favorable de los dos tercios del número legal de sus miembros. 	Chay “Tribunal Constitucional” nisqa kamachiqninkunaqa ajllasqa kanku Rimana Wasiqpa aullikunaq ajllasqanmi. 
Peruvian_constitution 	No pueden ser elegidos magistrados del Tribunal Constitucional los jueces o fiscales que no han dejado el cargo con un año de anticipación. 	Ichaqa manan atinkuchu ajllachikuyta “Tribunal Constitucional” nisqapi sichus hoq wata qhepa paqtachay ruwayninkumata utaq llaqta Amachaqe kamayoqkunamantapas tatinankunchu karan cheyqa. 
Peruvian_constitution 	Artículo 202°. 	202º Phatmi. 
Peruvian_constitution 	Corresponde al Tribunal Constitucional: 	“Tribunal Constitucional” nisqa Hatun Kamay Pirwa Kamayoq wasi ruwayninmi: 
Peruvian_constitution 	1. Conocer, en instancia única, la acción de inconstitucionalidad. 	1. Reqsiy, sapan paqtachaq kayninpi kamay pirwa sarunchasqa paqtachakunanpaq. 
Peruvian_constitution 	2. Conocer, en última y definitiva instancia, las resoluciones denegatorias de hábeas corpus, amparo, hábeas data, y acción de cumplimiento. 	2. Reqsiy, sapan hinaspapa pasaqpaqpuni, mana chaskisqa mañakuykuna kaqtin “habeas hábeas, acción de amparo, y acción de cumplimiento” nisqakuna tukukuqtin. 
Peruvian_constitution 	3. Conocer los conflictos de competencia, o de atribuciones asignadas por la Constitución, conforme a ley. 	3. Reqsiy mayqen paqtay kamayoqmi rikunan paqtachay mañakuykunata, Hatun Kamay Pirwa kamachisqanman hina. 
Peruvian_constitution 	Artículo 203°. 	203º Phatmi. 
Peruvian_constitution 	Están facultados para interponer acción de inconstitucionalidad: 	Hatun Kamay Pirwa mana hunt’aynintaqa mañakunkumanqa: 
Peruvian_constitution 	1. El Presidente de la República. 	1. Suyu Umalliq 
Peruvian_constitution 	2. El Fiscal de la Nación. 	2. Suyu Llaqta Amachaqen. 
Peruvian_constitution 	3. El Defensor del Pueblo 	3. Llaqta Allaukan Amachaqen. 
Peruvian_constitution 	4. El veinticinco por ciento del número legal de congresistas 	4. Pachaq yuyaymanta iskay chunqa ñeqe apullikuna. 
Peruvian_constitution 	5. Cinco mil ciudadanos con firmas comprobadas por el Jurado Nacional de Elecciones. 	5. Pisqa waranqa llaqta hatun runakunan sutinku Ajllay Wasiq allin rikusqa. 
Peruvian_constitution 	Si la norma es una ordenanza municipal, está facultado para impugnarla el uno por ciento de los ciudadanos del respectivo ámbito territorial, siempre que este porcentaje no exceda del número de firmas anteriormente señalado. 	Sichus warayoq Wasi mana allin kamachita qontin, pachaqmanta hoq ñeqe runankunan atin mañakuytapas. Ichaqa manan chay yuyayqa yapakunmanchu chay qalliypi nisqaman hina. 
Peruvian_constitution 	6. Los presidentes de Región con acuerdo del Consejo de Coordinación Regional, o los alcaldes provinciales con acuerdo de su Concejo, en materias de su competencia. 	6. Sapanka llqtaq umalliqninkunan ichaqa “Consejo de Coordinación Regional” munayninpi, utaq warayoqkuna yanapaqninku munanyninman hina, ichaqa ruwayninkuna qayllanman hinallapunitaqmi. 
Peruvian_constitution 	7. Los colegios profesionales, en materias de su especialidad. 	7. Kamayoqkunaq Llank’ana Wasin, ichaqa yachasqankuman hinallapuni. 
Peruvian_constitution 	Artículo 204°. 	204º Phatmi. 
