Mexican_constituition 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	JA JASTAL WA STOJB’ESE´ JA POLITIKA B’A ESTADOS UNIDOS MEJIKANOSI 
Mexican_constituition 	Artículo 70. 	Artíkuli 70. 
Mexican_constituition 	Toda resolución del Congreso tendrá el carácter de ley o decreto. 	Suwába ra’íchárami napawíka nochámara´mi, a nulálíwa´mi níima. 
Mexican_constituition 	Las leyes o decretos se comunicarán al Ejecutivo firmados por los presidentes de ambas Cámaras y por un secretario de cada una de ellas, y se promulgarán en esta forma: "El Congreso de los Estados Unidos Mexicanos decreta: (texto de la ley o decreto)". 	Séba´lí nuláliwa´mi ko a bela anirua´mi níima jirmariká oláma birente kamara a´lí sekretario, jeriká machíripa. >Jáwa´mi kokreso alí omána estárochi jémi kawi mésiko. (osirúa´mi ma a´lá anirúa´mi). 
Mexican_constituition 	El Congreso expedirá la Ley que regulará su estructura y funcionamiento internos. 	Échi konkreso nijíma nuláliwa kíti ku ka´lá niwara´mi níima a´lí mapu chúriká a´lá natuika nochámasare. 
Mexican_constituition 	La ley determinará, las formas y procedimientos para la agrupación de los diputados, según su afiliación de partido, a efecto de garantizar la libre expresión de las corrientes ideológicas representadas en la Cámara de Diputados. 	Échi nuláliwa´mi animea chúrika a´lí chúriká nokisáare napabua si´néa´mi riputaros, mapuriká bitibasi abóni partirowa´lá kítera, a kíti raíchama mapuriká nata abóni bela representante kámara a´lí riputaros abela si raíchama. 
Mexican_constituition 	Esta ley no podrá ser vetada ni necesitará de promulgación del Ejecutivo Federal para tener vigencia. 	Na nuláliwa´mi ke namua olara´mi níima ni bilé newaléma kíti siniea´mi machíripa na´lí a newaléba walúa´lá wilía´mi ke tasi cho namu animéa a sinibí a nerámi níima. 
Mexican_constituition 	Sección II 	Sisióni II 
Mexican_constituition 	De la Iniciativa y Formación de las Leyes 	De la Iniciativa y Formación de las Leyes 
Mexican_constituition 	Artículo 71. 	Artíkuli 71. 
Mexican_constituition 	El derecho de iniciar leyes o decretos compete: 	Échi rerécho mapu chotásipo néa ayéna cho nuláliwa´mi a´lí ririkácho niwara´mi: 
Mexican_constituition 	I. Al Presidente de la República; 	I. Wa’lúalá bisirénte mésiko atíami; 
Mexican_constituition 	II. A los Diputados y Senadores al Congreso de la Unión; 	II. Échi Riputári a’li Sinaróri chimí Kokirési Napawítola; 
Mexican_constituition 	III. A las Legislaturas de los Estados; y 	III. Échi Lijislatúri chimí Istári; a’li 
Mexican_constituition 	IV. A los ciudadanos en un número equivalente, por lo menos, al cero punto trece por ciento de la lista nominal de electores, en los términos que señalen las leyes. 	IV. Échi suraráni pé jaré taráala pé sebáritala, pé mulíwaka, pé séri púunti bakyá por sienti échi ro’walí natétuala ilikitóri, échi né walelí nápi anísimi échi nulalí. 
Mexican_constituition 	La Ley del Congreso determinará el trámite que deba darse a las iniciativas. 	Échi nulalí kokirésochi jónisa animéa échi táala nápi anisá re nijíwala échi chotáala. 
Mexican_constituition 	El día de la apertura de cada periodo ordinario de sesiones el Presidente de la República podrá presentar hasta dos iniciativas para trámite preferente, o señalar con tal carácter hasta dos que hubiere presentado en periodos anteriores, cuando estén pendientes de dictamen. 	Échi rawé kulichótala i’píli pirióri sinibíwala napawíkiachi échi Bisirénti je’ná ripúbiliki á oméru ikíiria pé osá chotáala táaliame silíiwala, ayéna cho aniwáala né chiíriwala pé okwá nápi nirúsa ikíiriwala échi bacháwala piríoro, mápu a’líi nenéwaka muchúwi aniatúale. 
Mexican_constituition 	Cada iniciativa deberá ser discutida y votada por el Pleno de la Cámara de su origen en un plazo máximo de treinta días naturales. 	I’píli chotáala á najóritame níisa re a’li botáritame né ka’lá chimí kámarachi jónisa kípu o’wínala pé sebárika tétali basyá makói rawé nolérula. 
Mexican_constituition 	Si no fuere así, la iniciativa, en sus términos y sin mayor trámite, será el primer asunto que deberá ser discutido y votado en la siguiente sesión del Pleno. 	Ké chirigá níisa, échi chotáala, kípu né walelí a’li ké wa’lú táwala, níima échi biléwala ra’íchale nápi níima najóorali a’li botáritame chimí aminábuala napawíkiame kilíwala. 
Mexican_constituition 	En caso de ser aprobado o modificado por la Cámara de su origen, el respectivo proyecto de ley o decreto pasará de inmediato a la Cámara revisora, la cual deberá discutirlo y votarlo en el mismo plazo y bajo las condiciones antes señaladas. 	Siné káachi ka’láwarame níisa á nakulíwatame cho échi Kámara nápi kípu jónisala jú, pe échi poroyétiki nulalí nirá ayéna cho rikiréti simírema né yáwi chimí kámara e’néniame, nápi échi kíta á najóoritame níima a’li botáritame échi bilépi á tétala kíta a’li né échi aniwá nápi bachá aníiru. 
Mexican_constituition 	No podrán tener carácter preferente las iniciativas de adición o reforma a esta Constitución. 	Ké oméro níwia osiwáala silíiwala échi chotáala pé uchéchuala ayéna cho rijórima je’ná kostitusióni. 
Mexican_constituition 	Artículo 72. 	Artíkuli 72. 
Mexican_constituition 	Todo proyecto de ley o decreto, cuya resolución no sea exclusiva de alguna de las Cámaras, se discutirá sucesivamente en ambas, observándose la Ley del Congreso y sus reglamentos respectivos, sobre la forma, intervalos y modo de proceder en las discusiones y votaciones: 	Suwába mapu a´lí newabare raícha´lí nuláliwa´mi kítera, mapu a´lí ke échibi katewasare raícha´lí kamaras, anakupi niraa raíchara´mi níima, a´lá ineka a´lí riwiká chúriká ilara´mi jú na raícha´lí: 
Mexican_constituition 	A. Aprobado un proyecto en la Cámara de su origen, pasará para su discusión a la otra. 	A. Na nocháma´lí a abela niwara´mi jú kamaras jóonsa, a bela simirima kíti a´lá katuita´mi níima. 
Mexican_constituition 	Si ésta lo aprobare, se remitirá al Ejecutivo, quien, si no tuviere observaciones que hacer, lo publicará inmediatamente. 	Ma a´lá nisaka, a bela simerita´mi níima walua´lá túa, mapu re ke a´lá nisaka abela animea we jiyawiti bela riwirita´mi níima. 
Mexican_constituition 	B. Se reputará aprobado por el Poder Ejecutivo todo proyecto no devuelto con observaciones a la Cámara de su origen dentro de los treinta días naturales siguientes a su recepción; vencido este plazo el Ejecutivo dispondrá de diez días naturales para promulgar y publicar la ley o decreto. 	B. Pé kalésima échi ka’lárula échi Iwéala Isélwala su’wába poroyétiki ké ro’winárame échi e’nésiwala kíta chimí kámarachi kípu jónisila sebárika échi basyá makói rawé nolérula nápi chijanábo a’li uchába échi nulalí ayéna cho rikiréti. 
Mexican_constituition 	Transcurrido este segundo plazo, la ley o decreto será considerado promulgado y el Presidente de la Cámara de origen ordenará dentro de los diez días naturales siguientes su publicación en el Diario Oficial de la Federación, sin que se requiera refrendo. 	A’lá jú semárame je’ná okwáwala tétala, échi nulalí ayéna cho rikiréti á níima síchorame chijanáala, a’li échi Bisirénti chimí kámarachi jónisa á nuláma pé makói rawé nolérula aminábika uchalíwala chimí Riári Ojisiáli Jererásióni, tabilé namúti nakiká échi baweráala. 
Mexican_constituition 	Los plazos a que se refiere esta fracción no se interrumpirán si el Congreso cierra o suspende sus sesiones, en cuyo caso la devolución deberá hacerse a la Comisión Permanente. 	Échi tétuala nápi anísimi je’ná jirasióni ké nikumésima nápi échi kokirési ‘yéra ayéna cho chéwi kípu napawíkiala, pé chimí nirá kú ro’lináala ko á olása re échi komisióni sinibíwala kíta. 
Mexican_constituition 	C. El proyecto de ley o decreto desechado en todo o en parte por el Ejecutivo, será devuelto, con sus observaciones, a la Cámara de su origen. 	C. Échi mapuriká newaba nuláliwa´mi ku bujanara´mi níima nuláa´mi ke simerita´mi échi walua´lá kítera ku uwa´mi pata´mi nisa,, (sic DOF 05-02-1917) a´lá ineka kamara mapu o´ná jóonsa chota´lí bujana. 
Mexican_constituition 	Deberá ser discutido de nuevo por ésta,, (sic DOF 05-02-1917) y si fuese confirmado por las dos terceras partes del número total de votos, pasará otra vez a la Cámara revisora. >Si por esta fuese sancionado por la misma mayoría, el proyecto será ley o decreto y volverá al Ejecutivo para su promulgación. 	Abela che a´lá ra íchara mi níima jéna kítera, a´lí mapu re échiriká botarita´mi nisa okuana a´lí bikiana si´néa´mi, checho bela simirosare échina kamarachi kíti a´lá inera´mi níima, mapu re jéna kítera rikirita´mi nisa sinimea kítera, échi mapu reka newaba nuláliwa´mi a´lí échi nuláa´mi checho ku riwirisaka. 
Mexican_constituition 	Las votaciones de ley o decreto, serán nominales. 	A´lí ´échi riká cho á katéwasa echoná. 
Mexican_constituition 	D. Si algún proyecto de ley o decreto, fuese desechado en su totalidad por la Cámara de revisión, volverá a la de su origen con las observaciones que aquella le hubiese hecho. 	D. >´Échi nócha´lí mapu aní tamólíwa´mi, ké natéa´mi nerásuwa echoná kamara enéliwachi, kú roíma mapu oná jónsa jú a´lí a enéra´mi niíma chú riká niíli. 
Mexican_constituition 	Si examinado de nuevo fuese aprobado por la mayoría absoluta de los miembros presentes, volverá a la Cámara que lo desechó, la cual lo tomará otra vez en consideración, y si lo aprobare por la misma mayoría, pasará al Ejecutivo para los efectos de la fracción A; pero si lo reprobase, no podrá volver a presentarse en el mismo período de sesiones. 	A´lá enéra´mi níisa a´lí che cho ku sebárita´mi wikáka mapu echoná jú, kú roimaa kámarachi mapu re ké narésuwa, a´lí echoná a kú enera´mi níima, a´lí che cho a kú semérosuwaka wikaa´lá kítera, a´lí kú simíroma echoná ejekutibochi mapu riká ikiméa echoná rojanára´mi a; a´lí cho ké semerisuwaká, ke uméroma che cho kú siné machí paa echonácho á. 
Mexican_constituition 	E. Si un proyecto de ley o decreto fuese desechado en parte, o modificado, o adicionado por la Cámara revisora, la nueva discusión de la Cámara de su origen versará únicamente sobre lo desechado o sobre las reformas o adiciones, sin poder alterarse en manera alguna los artículos aprobados. 	E. >´Échi nócha´lí mapu aní tamólíwa´mi pe kuchíi neráa ke semérosuwa, alí nakulíwisuwa, a´lí ´échi riká anisáa kamara enénia´mi, a´lí mapu ché kú kulíwa´mi raicháma ´échi kamara ´échi kítera ko a níima pe mapu ke semériiru bi a´lí mapu ´échi riká nokiiru ke iwérili aniká chuwé osirúa´mi ma a´lá anirúa´mi kítera. 
Mexican_constituition 	Si las adiciones o reformas hechas por la Cámara revisora fuesen aprobadas por la mayoría absoluta de los votos presentes en la Cámara de su origen, se pasará todo el proyecto al Ejecutivo, para los efectos de la fracción A. Si las adiciones o reformas hechas por la Cámara revisora fueren reprobadas por la mayoría de votos en la Cámara de su origen, volverán a aquella para que tome en consideración las razones de ésta, y si por mayoría absoluta de votos presentes se desecharen en esta segunda revisión dichas adiciones o reformas, el proyecto, en lo que haya sido aprobado por ambas Cámaras, se pasará al Ejecutivo para los efectos de la fracción A. Si la Cámara revisora insistiere, por la mayoría absoluta de votos presentes, en dichas adiciones o reformas, todo el proyecto no volverá a presentarse sino hasta el siguiente período de sesiones, a no ser que ambas Cámaras acuerden, por la mayoría absoluta de sus miembros presentes, que se expida la ley o decreto sólo con los artículos aprobados, y que se reserven los adicionados o reformados para su examen y votación en las sesiones siguientes. 	Mapu ré chuwé newása echoná kamara enénia´mi a´lí ko wiká kítera má a´lá anisúwa échoná kamarachi muchúwa´mi chótaa´mi, échi nochálowa´mi kó a semérota´mi níima wéa´lá jáwa´mi túa, mapu rika aní rojanára´mi a. ´échi mapu newára´mi jú echoná kamara enéliwa´mi Ke semérosa ka ´échi riká anisáa wiká nalí echoná kamarachi chóta´mi, ché chó kú roíma échimí a kú kíti alá anirúa´mi níima ´échi kítera a´lí mapu re wiká anisáaka mapu kú chakéna páta´mi niíma jená che cho kú osámi enébo ´échi kítera ´échi nochálowa´mi ko, a´lí a semerósaka anárika kámara, a´lí ko á seméropa jáwa´mi yúa mapu riká aní osirúa´mi a. >Mapu re ´échi kamara enéliwa´mi iwérili anisáa wikabé kítera echoná muchúwaa´mi, a´lí ´échi riká cho níisa a´lí nakulíwisuwa ma, ´échi nochálowa´mi ké kú roíma a´lí má kecho ché ku machí páta´mi níima mapu jónsa ma kú ché iseni jawi nóchaa´mi, ké anári chiriká anisáa ka, a´lí wiká nalína echoná cho á nóchaa´mi mapu aní tamólíwa´mi a´lí ´échi riká cho anisáa osirua´mi newára´mi, a´lí ´échi riká cho á katéwasa echoná cho á nakuliwisa a´lí échi riká nokilálisa ché jaré jábachi. 
Mexican_constituition 	F. En la interpretación, reforma o derogación de las leyes o decretos, se observarán los mismos trámites establecidos para su formación. 	F. Mapu riká aní, nakulíwisuwa tamólíwa´mi, ´échi riká cho á nokibóa mapu riká aní kíti a kaenama. 
Mexican_constituition 	G. Todo proyecto de ley o decreto que fuere desechado en la Cámara de su origen, no podrá volver a presentarse en las sesiones del año. 	G. Suwába nochálowa´mi tamólíwa´mi kítera chijúnita´mi níisa kamarachi chota, ké uméroma ché cho nóchaa échi kítera a´lí bamíba´lí. 
Mexican_constituition 	H. La formación de las leyes o decretos puede comenzar indistintamente en cualquiera de las dos Cámaras, con excepción de los proyectos que versaren sobre empréstitos, contribuciones o impuestos, o sobre reclutamiento de tropas, todos los cuales deberán discutirse primero en la Cámara de Diputados. 	H. Mapu riká kayéna tamólíwa´mi a´lí mapu riká chota pe chuwé echoná okuaná kamarachi, ké alá nokisáa nochálowa´mi kítera bacháriko, bujelíwa´mi kítera, bacháriko sebárisuwa jaré, suwába ´échi kíterea kó á raichára´mi níima bachá kamara mapu oná muchúwi riputaro. 
Mexican_constituition 	I. Las iniciativas de leyes o decretos se discutirán preferentemente en la Cámara en que se presenten, a menos que transcurra un mes desde que se pasen a la Comisión dictaminadora sin que ésta rinda dictamen, pues en tal caso el mismo proyecto de ley o decreto puede presentarse y discutirse en la otra Cámara. 	I. Chótawami tamólíwa´mi raichára´mi níima kamarachi mapu oná jú, á bilé mechá simírosa ká mapu alí jónsa anirúa´mi jú a´lí ke a´lá rusáa, a´lí ´échi kítera ko ´échi nochálowa´mi tamólíwa´mi kítera a uméroma ché biléana kamarachi raichaa échi kítera ko. 
Mexican_constituition 	J. (sic DOF 24-11-1923). 	J. (sic DOF 24-11-1923). 
Mexican_constituition 	El Ejecutivo de la Unión no puede hacer observaciones a las resoluciones del Congreso o de alguna de las Cámaras, cuando ejerzan funciones de cuerpo electoral o de jurado, lo mismo que cuando la Cámara de Diputados declare que debe acusarse a uno de los altos funcionarios de la Federación por delitos oficiales. 	Wéa´lá jáwaa´mi napawika ke umero e´néa mapu riká nóocha echoná kongresochi alí napawílowa´mi ma echoná kamarachi nóocha´mi, mapu alí nochásaka botáriwa´mi kítera, échi riká cho mapu ré échoná kamarachi nóocha´mi riputaro winijía olisáa jáwa´mi nóocha´mi jereralchi. 
Mexican_constituition 	Tampoco podrá hacerlas al Decreto de convocatoria a sesiones extraordinarias que expida la Comisión Permanente. 	Tabilé cho oméruma newá échi nuláala bajuréwala napawíkiachi ké ma'chiráame nápi tánima échi komisióni sinibíwala. 
Mexican_constituition 	Sección III 	Sisióni III 
Mexican_constituition 	De las Facultades del Congreso 	Mapu riká Oméro noká Kokreso 
Mexican_constituition 	Artículo 73. 	Artíkuli 73. 
Mexican_constituition 	El Congreso tiene facultad: 	Échi kokreso a niwi nokiwáami: 
Mexican_constituition 	I. Para admitir nuevos Estados a la Unión Federal; 	I. Mapu riká nakipa che kuliwa´mi estáro napawíka jerera´lí; 
Mexican_constituition 	II. Derogada. 	II. Ke ireki. 
Mexican_constituition 	III. Para formar nuevos Estados dentro de los límites de los existentes, siendo necesario al efecto: 	III. Kíti newaba kuliwa estáro pacha mapu o´ná jónsa jú mapu ma nirú, áchi riká newalésuwa jéna: 
Mexican_constituition 	1o. 	1o. 
Mexican_constituition 	Que la fracción o fracciones que pidan erigirse en Estados, cuenten con una población de ciento veinte mil habitantes, por lo menos. 	Échi rojanárami tasa re wilalíwami échi estárocho, atarasare abilé pueblo túa bilé cieto miná osamakói malí peréami pakótami. 
Mexican_constituition 	2o. 	2o. 
Mexican_constituition 	Que se compruebe ante el Congreso que tiene los elementos bastantes para proveer a su existencia política. 	A ineraa´mi níima koncreso kítera acha olaa suwába namúti kíti a aba jápi nirulima politiko. 
Mexican_constituition 	3o. 	3o. 
Mexican_constituition 	Que sean oídas las Legislaturas de los Estados de cuyo territorio se trate, sobre la conveniencia o inconveniencia de la erección del nuevo Estado, quedando obligadas a dar su informe dentro de seis meses, contados desde el día en que se les remita la comunicación respectiva. 	A kipura´mi níima legislaturas échi estárochi nirua´mi a´lí kawichí jápi riká jú, jápi riká a´lá maye a´lí ke a´lá maye échi erección échi kuliwa´mi estáro, awe iwérili nijia informe usai mecha niraa, taraa jápia jónsa chota échiriká raicha´lía´mi wea´lá riwiita´mi. 
Mexican_constituition 	4o. 	4o. 
Mexican_constituition 	Que igualmente se oiga al Ejecutivo de la Federación, el cual enviará su informe dentro de siete días contados desde la fecha en que le sea pedido. 	Achikocho riká nikura´mi níima échi ejecutivo jereracinchi, jápi nijíma échi échi informe kichao rawe niraa tarara´mi jápi jónsa tanira´mi jú. 
Mexican_constituition 	5o. 	5o. 
Mexican_constituition 	Que sea votada la erección del nuevo Estado por dos terceras partes de los diputados y senadores presentes en sus respectivas Cámaras. 	Abotarira´mi níima échi estáro kuliwa´mi elección kítera, okuo´ná bikináta´mi riputaros a´lí senadore ayéna asi níisare kamara wea´lá riwiita´mi. 
Mexican_constituition 	6o. 	6o. 
Mexican_constituition 	Que la resolución del Congreso sea ratificada por la mayoría de las Legislaturas de los Estados, previo examen de la copia del expediente, siempre que hayan dado su consentimiento las Legislaturas de los Estados de cuyo territorio se trate. 	Échi koncreso katuwia´lá ko aníisare a´lá ineraa´mi asuwába jáwa´mi estárochi kítera, inerani níima oselíwa´lá a´lí kopia tanira´mi níima, jápi re arisensia asaka échi jáwami legislatura échi estárochi kawichí nirua´mi. 
Mexican_constituition 	7o. 	7o. 
Mexican_constituition 	Si las Legislaturas de los Estados de cuyo territorio se trate, no hubieren dado su consentimiento, la ratificación de que habla la fracción anterior, deberá ser hecha por las dos terceras partes del total de Legislaturas de los demás Estados. 	Jápi re échi legislatura estárochi kawichí no kaa´mi jú, ke asa risensia échi ratijikacioni jápi raicha´lí échi rojana´lía´mi bacháriko, aniwara´mi níima okuo bikináta´mi niraa asuwába legislaturas a´lí jarécho estárochi ayéna cho. 
Mexican_constituition 	IV. Derogada. 	IV. Ke iré. 
Mexican_constituition 	V. Para cambiar la residencia de los Supremos Poderes de la Federación. 	V. Kíti nakulipa mapu o´ná muchuwi supremochi mapu ikí jererasionchi. 
Mexican_constituition 	VI. Derogada; 	VI. Ké iré; 
Mexican_constituition 	VII. Para imponer las contribuciones necesarias a cubrir el Presupuesto. 	VII. Kíti animéa chu kipi newaléliwa kíti a´lá sebama wenomi nata nochá´a´lá. 
Mexican_constituition 	VIII. En materia de deuda pública, para: 	VIII. Kíti aba nocháma´lí ejekutíbi a chapisa re bachá riko échi wenomi omána nirua´mi: 
Mexican_constituition 	1o. 	1o. 
Mexican_constituition 	Dar bases sobre las cuales el Ejecutivo pueda celebrar empréstitos y otorgar garantías sobre el crédito de la Nación, para aprobar esos mismos empréstitos y para reconocer y mandar pagar la deuda nacional. 	Échi kokirési napawítola, pé komisióni lijislatíbi bikameráli najisátola, e’nésima échi buwemáchiala á akaréwaka mápu ka’láwapo échi wenómila púbiliki chimí Istáro, anirúame chimí tétualachi nápi olánala omáwali échi Isélwala Jereráli yúa mápu nílibo ka’lacháwala a’li, kípu simémila, animéa échi e’nésiwala nápi kaléema sineeminíwala pé né sebárika tétala makói malí rawé, sinémi kachi échi tibéli isábuachi Kokirési Napawítola. >Échi bacháwala á olásima échi ikísuala chimí Istáro nápi nílama téala kayáame échi ekalí chimí kuwaní échi nulalí. 
Mexican_constituition 	Ningún empréstito podrá celebrarse sino para la ejecución de obras que directamente produzcan un incremento en los ingresos públicos o, en términos de la ley de la materia, los que se realicen con propósitos de regulación monetaria, las operaciones de refinanciamiento o reestructura de deuda que deberán realizarse bajo las mejores condiciones de mercado; así como los que se contraten durante alguna emergencia declarada por el Presidente de la República en los términos del artículo 29. 	Achirigá cho, ábe sapinú cho échi ro’walí tétuala newalésila, á ikíirame níima échi buwemáchiala á akaréwaka chimí munisípio kíta nápi retewía pé échi bi chiyériwala nápi rigá échi tétuala nápi, kípu ikísuala, ka’labé anísima échi Istáro nápi ké níwi né repabé ekalí. 
Mexican_constituition 	2o. 	2o. 
Mexican_constituition 	Aprobar anualmente los montos de endeudamiento que deberán incluirse en la ley de ingresos, que en su caso requiera el Gobierno del Distrito Federal y las entidades de su sector público, conforme a las bases de la ley correspondiente. 	Bamigá bi natúliame échi ikípula jareoláwala nápi sícho niisa re échi nulalíala mo'iwáala, nápi sinémi káachi né walésa échi Kobiérni Ristiríti Jereráli a'li échi intirá kípu Setóri píbiliki, sebáriga échi re'léwala nulalí nápi né walésiwa. 
Mexican_constituition 	El Ejecutivo Federal informará anualmente al Congreso de la Unión sobre el ejercicio de dicha deuda a cuyo efecto el Jefe de Gobierno le hará llegar el informe que sobre el ejercicio de los recursos correspondientes hubiere realizado. 	Echi Isélwala Jereráli á ikiíroma bamigá chimí Kokirési Napawítola pé échi nokiwáala aniwá wekalí sinémi kaáchi chewagá échi Wa'lúala Kobierni á nimí sebárima échi ikiiwala nápi nokiwá wenómila kíte né walelíwala á newásimi. 
Mexican_constituition 	El Jefe de Gobierno informará igualmente a la Asamblea Legislativa del Distrito Federal, al rendir la cuenta pública. 	Echi wa'lúala Kobiérni á nijíma ikiiwala á chigóchi rigá cho chimí Napawíkiachi Lijislatíbi Ristiríti Jereráli, má ikíirosa échi taráliame púbiliki. 
Mexican_constituition 	3o. 	3o. 
Mexican_constituition 	Establecer en las leyes las bases generales, para que los Estados, el Distrito Federal y los Municipios puedan incurrir en endeudamiento; los límites y modalidades bajo los cuales dichos órdenes de gobierno podrán afectar sus respectivas participaciones para cubrir los empréstitos y obligaciones de pago que contraigan; la obligación de dichos órdenes de gobierno de inscribir y publicar la totalidad de sus empréstitos y obligaciones de pago en un registro público único, de manera oportuna y transparente; un sistema de alertas sobre el manejo de la deuda; así como las sanciones aplicables a los servidores públicos que no cumplan sus disposiciones. 	Weláma échi nulalí échi re'léwala niráli, nápi su'wába isélwachi, échi Ristiríti Jereráli a'li échi Munisípi oméroma oláa wekalíwia; échi tétali a'li wanápula sébaka échi jaré aniwá nuláwala Kobiérni á oméro chewá kípu oláwala síchoala nápi sebárima échi bachawárula a'li i'wérula natétuala nápi wajináma; échi i'wéruala aniwá nuláwala kobiérni nápi ro'wásima a'li bujanáma né su'wába kípu bachawáriwala a'li i'wéruwala natétuala chimí ro'walí púbiliki bilépuala, pé chesíchoga a'li ma'chiráwaga; bilé sitéma né busuréame échi wekalí neséruala; nápi rigá échi rikíriwala olwáala noochame púbiliki nápi ké sebáro kípu ikírowala. 
Mexican_constituition 	Dichas leyes deberán discutirse primero en la Cámara de Diputados conforme a lo dispuesto por la fracción H del artículo 72 de esta Constitución. 	Aniwá échi nulalí á najóorasa re bachá chimí Kámara Riputáro natúaka échi ikíruwala pé jirasióni H artíkili 72 je'ná kostitusióni. 
Mexican_constituition 	4o. 	4o. 
Mexican_constituition 	El Congreso de la Unión, a través de la comisión legislativa bicameral competente, analizará la estrategia de ajuste para fortalecer las finanzas públicas de los Estados, planteada en los convenios que pretendan celebrar con el Gobierno Federal para obtener garantías y, en su caso, emitirá las observaciones que estime pertinentes en un plazo máximo de quince días hábiles, inclusive durante los períodos de receso del Congreso de la Unión. 	Echi Kokirési napawítola, pé komisióni lijislatibi jónisa parlaménti saeráwala, e'nésima échi bowemáchila né jiwériga nápi ga'láruma échi jinánsa púbiliki o'má isélwala, á anirúame échi tétala nápi olánale sekáluala Kobiérni Jereráli nápi níwama ga'lacháwala a'li, sinémi káachi, á animéa échi e'nésiwala nápi maésima ga'láwala ko á achagá tétale makói malí rawé né sébale, siné káchi sebáriga échi rawé welábala Kokirési Napawítola. 
Mexican_constituition 	Lo anterior aplicará en el caso de los Estados que tengan niveles elevados de deuda en los términos de la ley. 	Echi bacháwala á oláma siné káachi échi isélwala nápi níwama repabé jareoláwala nápi aní échi nulalí. 
Mexican_constituition 	Asimismo, de manera inmediata a la suscripción del convenio correspondiente, será informado de la estrategia de ajuste para los Municipios que se encuentren en el mismo supuesto, así como de los convenios que, en su caso, celebren los Estados que no tengan un nivel elevado de deuda; 	A chirigá cho, né yáwiga échi ro'walí tétala né walelíwala, á ikiirotame niima échi bowemáchila sebáriwala chimí munisípi nápi retewí bilépi á wilíala, nápi rigá échi tétala, sinémi káachi, á sekáluala échi isélwala nápi ké níwi wabé repabé échi jareoláwala; 
Mexican_constituition 	IX. Para impedir que en el comercio de Estado a Estado se establezcan restricciones. 	IX. Mapi ke nakipa mapi ra´línewipa estáro a´lí estárochi chopi ká a newaba ke nakiwaa´mi. 
Mexican_constituition 	X. Para legislar en toda la República sobre hidrocarburos, minería, sustancias químicas, explosivos, pirotecnia, industria cinematográfica, comercio, juegos con apuestas y sorteos, intermediación y servicios financieros, energía eléctrica y nuclear y para expedir las leyes del trabajo reglamentarias del artículo 123; 	X. Kíti newaba omána republika échi hidrocarburos, minería, sustancias quimicas, exlposivos, pirotecnia, industria cinematográfica, ra´línewilia´mi, reekia´mi jiráka alí sorteo, intermediación a´lí tanewiwa´mi wenomi kítera, energía eletriká alí nuclear a´lí kíti nijíma tamó´líwa´mi échi nocháma´lí kítera mapu reka aní osirua´mi 123; 
Mexican_constituition 	XI. Para crear y suprimir empleos públicos de la Federación y señalar, aumentar o disminuir sus dotaciones. 	XI. Kíti newaba ke niriliwami si´néa´mi nochámaa´lá jémi jererasion a´lí rua, weka newáa alí okúa newaa pakóta´mi. 
Mexican_constituition 	XII. Para declarar la guerra, en vista de los datos que le presente el Ejecutivo. 	XII. Kíti rupa nekowa´mi kítire, riwiriká osirua´mi amá échi ejevutivo. 
Mexican_constituition 	XIII. Para dictar leyes según las cuales deben declararse buenas o malas las presas de mar y tierra, y para expedir leyes relativas al derecho marítimo de paz y guerra. 	XIII. Mapu reka newaba tamólíwami mapu kítera a´lí chu iyeri ruyea ka´lábé wela chatí échi bawí erita´mi mari a´lí weé, a´lí kíti nijiba tamó´líwa´mi rerécho bawéchi ena´mi kítera kilií alí nekóa´mi. 
Mexican_constituition 	XIV. Para levantar y sostener a las instituciones armadas de la Unión, a saber: Ejército, Marina de Guerra y Fuerza Aérea Nacionales, y para reglamentar su organización y servicio. 	XIV. Kíti repa ikisima a´lá neseriká échi institusioni sontarisi omána nirua´mi, a machía: sontarisi, bawéchi enaa´mi nekóa´mi alí nikura´mi jémi ropilanchi ena´mi, a´lí kíti newaba chu reka nokáka nikuroma. 
Mexican_constituition 	XV. Para dar reglamentos con objeto de organizar, armar y disciplinar la Guardia Nacional, reservándose a los ciudadanos que la forman, el nombramiento respectivo de jefes y oficiales, y a los Estados la facultad de instruirla conforme a la disciplina prescrita por dichos reglamentos. 	XV. Kíti nijiba chí reka nokiboa mapu reka natuipa, jaréwia a´lí né chiriká tibuma jémi omaama, (nasional), a tibusia pakóta´mi mapi si jú, rewa´líwa´mi jéna tama´mi a´lí ofisia´lís, échi o´ná estárochi tamóma newanulia ne mapu reka níisare. 
Mexican_constituition 	XVI. Para dictar leyes sobre nacionalidad, condición jurídica de los extranjeros, ciudadanía, naturalización, colonización, emigración e inmigración y salubridad general de la República. 	XVI. Kiti newaba tamó´líwa´mi mapu oná ta síami jú kítera, échi raicha´lí júrídica boo´náka sia´mi kítera, pakóta´mi, naturalísasion, colonisasion, jareanacho ali mapu sisimi a´lí salubrira omáma kawichí. 
Mexican_constituition 	1a. 	1a. 
