Mexican_constitution 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	NDÄTHOT’I, HÑÄSÜMP O TE X E NI HNINI G A THO M’OND A 
Dictionary 	Le digo que es necesario que usted se dé a conocer en el centro.	Dí xiʼi ge mähyoni gi ʼñudi ha ra tai.
Dictionary 	Hasta que termines el trabajo, entonces te pago.	ʼMe̱tʼo gi juati ra ʼbe̱fi ha geʼbu̱ ga jutʼaʼi.
Dictionary 	Cuando llueve es cuando produce lo que se siembra.	Nuʼbu̱ ʼuäi geʼbu̱ di hogi te ʼbotʼi.
Dictionary 	En el hígado está la bilis y es amarga.	Ha ra ya ja tuni ra gehe ha nuʼä xá nju.
Dictionary 	Aquélla es la ciudad donde radico ya por varios años.	Gehni ra hnini habu̱ dí ʼbu̱i ya pe̱ʼtsi ya je̱ya.
Dictionary 	Recientemente ocurrió un terremoto de mucha intensidad.	Ja gehya bi nja ʼna ra mbimhai xi ntsʼe̱di.
Dictionary 	El presidente ha llegado a visitarnos.	Ra dätsʼu̱tfi xa zo̱ho̱ ha gekagihu̱ .
Dictionary 	El gobernador del Estado ha establecido un banco especialmente para nosotros, los agricultores.	Ra tsʼu̱tfi xa hñuxa ʼna ra ʼme̱tsbojä pa gekju̱ dyá mehaihu̱ .
Dictionary 	Aquí, en este lugar, se paraban los asaltantes que atajaban a los caminantes.	Ha gekua ra xe̱ni habu̱ mi ʼbai ya dakate mi taki ya neʼñu.
Dictionary 	Hay un frijolito que no está muy caro, pero no está muy bueno.	Ja ʼna ra zi ju̱ hintsʼu̱ xá mädi, pe hintsʼu̱ gepu̱ .
Dictionary 	No estuvo muy bien lo que dijo esa persona, pero yo me aguanté y no dije nada.	Nuʼä ra jäʼi hintsʼu̱ gepu̱ nuʼä bi mä, pe nuga dá tse̱tatho, hinte dá mä.
Dictionary 	Ahora mismo son los días para sembrar maíz.	Nubye̱ gepya ya pa gi potʼi ra de̱thä.
Dictionary 	Me acuerdo de la revolución, cuando murió mucha gente y mataron muchos animales para comer.	Dí beni ra gerra nuʼbu̱ bi du ndunthi ya jäʼi ha bi tho ya mboʼni pa mi tsʼi.
Dictionary 	La gallina es muy guerrista, va brincando sobre los trastos.	Xi ra gerra nuni ra o̱ni, xa nsagi ha ya ntsi.
Dictionary 	Aquel vendedor de higos, es el mismo que me vendió sus higos el año pasado.	Nuni ra ma hogä de̱jä, getritho nuni bi paka ya hogä de̱jä mäje̱ya.
Dictionary 	Aquella arena es semejante a la que hay en mi pueblo.	Nuni ra ʼbomu, getritho bí ja ha mä hai.
Dictionary 	Recientemente terminé mis estudios.	Ja getya dá juati mä nsadi.
Dictionary 	Juan, con eso basta para que me ayudas en el trabajo, porque eres flojo.	Xuua, dä getʼä ra ʼbe̱fi gá faxki, ngeʼä grá dähñe ha ra ʼbe̱fi.
Dictionary 	Esta pala es la misma que yo traía.	Getho nuna ra tʼabi, ngu nuʼä ndí hñä.
Dictionary 	Aquella vaca chica que nació, es pinta, semejante a la madre.	Nuni ra tʼu̱ntfani bi ʼmu̱i, getho ra mbindo ngu rá nänä.
Dictionary 	Aquí tienen un regalo para ustedes.	Jaua ʼna ra ʼbaha pa geʼahu̱ .
Dictionary 	Juan, vi que tú cortaste los duraznos.	Xuua, go geʼe dá handi gá tu̱ki ya ixi.
Dictionary 	Las palabras que me dices, señor, ellas son palabras de cortesía.	Nuʼu̱ ya noya gí xiki, ndada, geʼu̱ ya hoga noya.
Dictionary 	Para hacer el queso se corta la leche, y con la cuajada que sale, se hace.	Pa dä thoki ra ge̱xo dä kʼu̱ki ra ʼba, ha ko rá jäki po̱ni kongeʼä thoki.
Dictionary 	Hija, no me obedeces, pero te vas a arrepentir algún día.	Tʼixu, hingí o̱tkagi, pe mä gi ñobri ʼna ra pa.
Dictionary 	Tía, dice el doctor que estás bien.	Hi, enga ra ʼyo̱thete ge gí ʼbu̱i xá ñho.
Dictionary 	El niño comió chile y ya se le salieron las lágrimas de los ojos por lo picoso del chile.	Ra bätsi bi zi ya ñʼi, ha ya bi moxä ya gida ko rá ñʼi ra ñʼi.
Dictionary 	El techo de la casa gotea, y le cae agua de humo a la ropa limpia.	Rá njätsʼi ra ngu fege ha tagi ya giʼmfi ha ya tʼaxadutu.
Dictionary 	El agua amarillenta que se queda dentro de los magueyes raspados, cuando salpica la ropa no se quita la mancho.	Ra giʼmfi xa mo ha ya ʼuada xa tʼatʼi, ʼbu̱ dä kʼuastʼi ha ya dutu hingi bo.
Dictionary 	No vayas a comer esa comida porque es sobra del perro.	Oxki tsi nuʼä ra hñuni, ngeʼä rá gine ra tsatʼyo.
Dictionary 	Lo claro del nejayo con sal tostada se unta en la cabeza de los que están enfermos de fiebre para que se les salga el calor.	Ra dehe gini ko ra u ntʼetʼi, dä joʼtsuí ha rá ñäxu toʼo ñhenga däpa, pa dä bo̱nga ra pa.
Dictionary 	Hay un quelite que le llaman quelite picoso, está sabroso cuando está tiernito.	Ja ʼna ra kʼani tʼembi ra ginkʼri xá ku̱hi nuʼbu̱ xá tudi.
Dictionary 	Las chicharras silban desde mes de abril en adelante.	Ya gintsʼyo tuhu ra zänä ra abri pa rí mani.
Dictionary 	En días de calor hay muchas moscas, pero al caer la helada se mueren todas.	Xi ʼbu̱i ya giʼue nu ya pa ga pahyadi, pe sta da ra tse̱ tu gatho.
Dictionary 	El agua amarillenta que tienen los magueyes que han raspado es negra como café.	Ra giñʼafi po ha ya ʼuada xa tʼatʼi xá mboi ngu ra uʼbothe.
Dictionary 	Dicen que es la sanguijuela que cuando el animal absorbe el agua se va dentro de la boca y se pega en las encías.	Tʼenä ge ra gisei nuʼbu̱ tsitʼi ra dehe ya mboʼni, pa mbo rá ne ha dä ueʼte ha yá ndu̱i yá tsʼi.
Dictionary 	Algunas personas que están enfermas de diabetes comen mucho nopal, porque dicen que la baba es medicina para esa enfermedad.	ʼRa toʼo hñenga ʼñäʼehya tsi ndunthi ya xätʼä, ngeʼä rá gistʼä ra ñʼethi pa ra hñeniʼä, ʼnä.
Dictionary 	Tiene mucha grasa el caldo que estamos tomando.	Xi ja ndunthi rá nziki ra githe dí tsihu̱.
Dictionary 	El guixi del maguey da comezón.	Ra ʼuada xá nxähi rá gixi.
Dictionary 	Es bueno darle al niño el caldo de los frijoles.	Ra gixju̱ xá ñho dä tʼumba ra bätsi.
Dictionary 	Si te estás lavando las manos no salpiques la mugre de tus manos por dondequiera.	ʼBu̱ gí xu̱ʼye̱ ogi kʼuantʼi ri gixʼye̱ habu̱raza.
Dictionary 	Nuni ra do go gehni dí o̱tʼe mä ʼbengadutu.	Se usa como enlace entre una frase nominal y el comentario sobre el tema, por ej.
Dictionary 	Hingi ho dä mpe̱fi, go di ho dä mpe̱ti.	Se usa de enlace como contraste entre dos oraciones, por ej.
Dictionary 	Go geʼä dá xiʼi mä dä nzaya bya.	Afirma la veracidad de algo, por ej.
Dictionary 	El gobernador es la suprema autoridad de cada estado.	Ra gobernado geʼä rá ndä ʼna ngu ʼna ra ngu̱ʼtähai.
Dictionary 	Nju̱nthe bi zohni gaʼtho yá nzaya ya hnini.	Ra gobyernu.
Dictionary 	Rá gobyernu ʼMonda bi ma ra ntsʼo̱nte Mähuifi.	México.
Dictionary 	Existen varios ciegos que lo son desde su nacimiento.	ʼBu̱i ndunthi ya goda xa ʼbedi yá thandi dendä yá ʼmu̱i.
Dictionary 	Ahi está el vareador de nuez, y necesito unos recolectores de nuez que me ayuden.	Bí ʼyo ra me̱tʼade̱mza ha dí honi ʼra ya gode̱mza dä maxki.
Dictionary 	El hormigón o granzón se utiliza para varias obras.	Ra godo xi mäthoni pa ndunthi ya ʼbe̱fi.
Dictionary 	Esa persona necesita que le hables fuerte porque es sorda.	Nuni ra jäʼi ne gi zofo ntsʼe̱di, ngeʼä ra gogu.
Dictionary 	Hace días que estoy sordo, y no sé por qué.	Ya pe̱ʼtsi ya pa dí gogu, hindí pädi hänja.
Dictionary 	Compré cuatro gallinas.	Dá tai goho ya o̱ni.
Dictionary 	Mi casa tiene el valor de ochenta mil pesos.	Mä ngu di mui gohoʼrate mʼo mbe̱xo.
Dictionary 	Aquel niño es mudo; no puede hablar.	Nuni ra bätsi ra gone; hingi tsa dä ñä.
Dictionary 	En las tierras suaves no se levantan terrones como en las tierras duras.	Ha ya tuʼmhai hingi nantsʼi ya gonhai ngu ha ya mehai.
Dictionary 	Hazle su hornilla al fogón; en el suelo, al llover, se inunda.	Hyokua rá to̱ge ra gospi, ha ra hai nuʼbu̱ ʼuäi po ra dehe.
Dictionary 	Se necesita la puerta para cerrar lo que hay guardado en la casa.	Mäthoni ra gosthi pa dä jotʼi nuʼä te ʼbe̱tsi ha ra ngu.
Dictionary 	En el mar hay puertos a donde llegan y parten los barcos.	Ha ra ndehe ja ya gosthi habu̱ tso̱ho̱ ha po̱ni ya motsa.
Dictionary 	Los prisioneros han intentado hacer aberturas en la cárcel para fugarse.	Ya ʼyofadi xa zapi xa hyoki ya gosthi ha ra fadi pa dä ʼbatʼi.
Dictionary 	En la bara del panteón sólo un portillo falta; dicen que para que yo lo haga.	Ha rá jutsʼi ra ntʼagi se̱he̱ ʼna ra gosthi kohi; pa go gä hoki, ʼnä.
Dictionary 	Dexthi (Gǒsthidexthi) Puerto de Dexthi (pueblo al norte de Ixmiquilpan) Xa bo̱ni ʼra ya ʼño̱ho̱ ha ra Gosthi Dexthi pa xa mpe̱fi ha Mähuifi.	Gosthi.
Dictionary 	De̱nthi (Gǒsthidé̱nthi) s Puerto de la Palma (una parte de Ixmiquilpan).	Gosthi.
Dictionary 	Maʼyo (Gǒsthimaʼyo) s Puerto del Pastor (una parte de Ixmiquilpan) Ra ʼñu thogi Gosthi Maʼyo njatʼä di ntämi ya bo̱jä.	Gosthi.
Dictionary 	Me̱gui (Gǒsthime̱gǔi) s Puerto Neblina, Puerto del Megui (una parte de Zimapán) Mo̱te ra ndontsʼi Gosthi Me̱gui ja jani ra hnini Me̱gui.	Gosthi.
Dictionary 	Ndähi (Gǒsthindä́hi) s Puerto del Aire (una parte de Zimapán) Ja ʼna ra ndontsʼi ha made ya tʼo̱ho̱ tʼembi Gosthi Ndähi, ngeʼä xi fe̱xa ra ndähi.	Gosthi.
Dictionary 	Nxitʼä (Gǒsthinxítʼä) s Puerto de Xitha (una parte de Zimapán).	Gosthi.
Dictionary 	Nze̱di (Gǒsthinzě̱di) s Puerto del Itacate (una parte de Ixmiquilpan).	Gosthi.
Dictionary 	Tansia (Gǒsthitánsia) s Puerto de la Estancia (una parte de Zimapán).	Gosthi.
Dictionary 	Puerto del Cigarro (una parte de Jiliapan, Hgo.	Gosthi ʼYu̱i (Gǒsthiʼyu̱i) s.
Dictionary 	Zagu (Gǒsthizagu) s Puerto de la Oreja (una parte de Tasquillo) Gosthi Zagu gra ja thohni ra ndäxjua ʼñu Maxei rí ʼñeje Ntsʼu̱tkʼani.	Gosthi.
Dictionary 	Mandé hacer dos ventanas y una puerta para casa.	Dá mända yoho ya nku̱hyatsʼi ʼne ʼna ra gosthingu.
Dictionary 	Cuando camino mucho me duele la pantorrilla.	Nuʼbu̱ dí ʼyo yabu̱ ra ʼñu, di u̱gi mä gotʼua.
Dictionary 	En el tiempo en que cae la vaina del mezquite hay recolectores que las cogen para alimentar a sus ganados.	Nuʼbu̱ ho̱e ya tʼähi, ʼyo ya goʼthi di muntsʼi pa yá hñuni ya mboʼni.
Dictionary 	Le nació un diente en el paladar a mi hija.	Ha rá go̱ne mä tʼixu bi bo̱ho̱ ʼna rá tsʼi.
Dictionary 	Se le metió un grano de maíz en la nariz al niño.	Ha rá xiñu ra bätsi bi yu̱tʼi ʼna ra granu ga de̱thä.
Dictionary 	Juan, dices que soy malo; si eso lo hiciera estuviera en la cárcel.	Xuua, gí enä drá tsʼoʼmu̱i; nuʼbu̱ geʼä gra o̱tʼe gra o ra fadi.
Dictionary 	La gripe empieza con dolor de cabeza.	Ra u̱ñä gra mu̱di dä u̱ rá ñäxu.
Dictionary 	Hoy es lunes, comeré barbacoa en el centro.	Nonxibya, mä grá ñuni tai ko ra thumngo̱.
Dictionary 	Xuua, xi grá hoga uäfri.	Nuʼi.
Dictionary 	Si ustedes supieran lo que significan estas palabras, serían sabios.	ʼBu̱ gri pähmähu̱ te ri bo̱nga nu ya ya noya, gri bämhñähu̱.
Dictionary 	En el primer autobús que pase, vete, para que regreses pronto.	Grí ma ha ra mu̱di bo̱jä duxjäʼi dä thogi, pa mäntʼä gi pengi.
Dictionary 	Juan, siempre pasas a la tienda; ¿ahora, qué pasó?.	Xuua, nege tsʼa grí gatsʼi ha ra de̱nda; ¿xibye̱ te bi ja?.
Dictionary 	El grillo canta de noche.	Ra griyo ñä ga xui.
Dictionary 	Cada ocho días me llevo una gruesa de mecates.	Tatʼa hñäto dí hätsʼi ʼna gruesa ra nthähi.
Dictionary 	La oreja del burro es más larga que la de los otros animales.	Yá gu ra ʼro̱ge xi xá ma de yá gu mäʼra ya mboʼni.
Dictionary 	La guitarra tiene clavijas para requintar las cuerdas.	Ra ʼbimxähi ja yá gu pa kongeʼä di ndu̱ yá ze̱xi.
Dictionary 	Las cazuelas grandes y las ollas tienen agarradera.	Ya dänga mohi ʼne ya tsʼe ja yá gu.
Dictionary 	Indica.	Han salido muchas hormigas chicas, a lo mejor ven que va a llover.
Dictionary 	Juan, ayer ocupaste de peón a mi hijo y no le pagaste.	Xuua, mände guá ʼbe̱go mä tʼu̱ ha hinguá juʼtuí.
Dictionary 	Hay muchos nubes en el cielo y está relampagueando mucho, tal vez va a llover.	Xi ja ra gui mähetsʼi ha xi di hue̱i, zäge mä dä ʼuäi.
Dictionary 	Juan, te reclamo que cuando llegas de México, primero te estás unos días con tus padres, y después me vienes a ver.	Xuua, nuʼbu̱ gi tso̱ho̱ ha ʼMonda ʼme̱tʼo guí ʼbu̱i ʼra ya pa ko ri dada, ʼnepu̱ ja e gi kʼäski.
Dictionary 	La paloma no canta, pero de tamaño es igual a la paloma cocolera.	Ra gUilo hingi tuhu, pe mähye̱gi ra ndängi ko ra domitsu.
Dictionary 	Antes, algunos hombres se dedicaban a cargadores en las plazas, y ya traían sus lazos y mecapales para ayudar a quien los ocupaban.	Mäʼme̱tʼo ʼra ya ʼño̱ho̱ mi ndustha ha ya tai, ya mi hñä yá gunde pa toʼo dä hyoni dä matsʼi.
Dictionary 	Rodé el tronco que saqué del terreno hacia la orilla.	Ra ndu̱nza dá häi ha ra huähi, dá guntʼi pa ha ra ñäni.
Dictionary 	Ronceo las piedras grandes con una barra.	Ya dänga do dí guntʼi ko ʼna ra ʼbu̱hu̱.
Dictionary 	Empuja a ese borracho que está parado ahí para que puedas pasar.	Nuʼä ra ti ʼbapu̱ guntʼi pa dä za gi thogi.
Dictionary 	El enfermo rechina los dientes; yo creo que tiene sed.	Ra daʼthi di gustʼi yá tsʼi; zäge tsu̱di ra nduthe.
Dictionary 	Aquel comprador de ayate paga barato.	Nuni ra dangäʼronjua ra gutʼabarato.
Dictionary 	El ojo de hacha se quebró, porque golpeé una piedra con él.	Ra gutʼe̱gi bi dehmi, ngeʼä dá pu̱ ni ʼna ra do kongeʼä.
Dictionary 	Dicen que en las casas antiguas se han encontrado enterrados ojos de campanas.	Tʼenä ge ha ya dongu de mäyaʼbu̱ xa tsʼu̱di tʼagi ya gutʼe̱gi.
Dictionary 	Esa persona a la que le presté dinero es pagadora, porque al llegar el día de entregármelo me lo vino a dejar.	Näʼä ra jäʼi dá hmipäbi mä bojä ra gutʼi, ngeʼä mí datʼä ra pa dä ʼraki e bi zogagi.
Dictionary 	La carretera está muy angosta, es necesario ampliarla otro poco.	Ra ʼñu ntsʼe̱ xá ntsʼiʼmi, mäthoni dä gu̱ni mätsʼu̱.
Dictionary 	La policía aprehendió un reo que había huido.	Ra gu̱ntsʼähni bi gu̱ ʼna ra ʼyofadi xkí ʼbatʼi.
Dictionary 	Compré cinco chivos y cuatro borregos; por todos son nueve.	Dá tai ku̱tʼa ya tʼäxi ʼne goho ya de̱ti; dä zo̱te gu̱to.
Dictionary 	Por cinco días que trabajo gano novecientos pesos.	Dí tähä gu̱tonthebe be̱xo ha ku̱tʼa mäpa dí mpe̱fi.
Dictionary 	Aquel hombre es colectdor autorizado.	Nuni ra ʼño̱ho̱ ra gu̱tsʼi, xini apäbi ra njutʼi nuyu̱ ya ma.
Dictionary 	Beto, gyá menguhu̱ Mäxei, ja uá tañhu̱ni ya hai gí nehu̱.	Xuua ʼne nuʼi.
Dictionary 	Ntsʼo̱tkʼani ʼba ra the̱xi, ra näni, ya ʼronjua ʼne ra sei.	Ha ra tai.
Dictionary 	Sobre mi pie cayó una brasa encendida; por eso se quemó.	Ha mä ua bi zoxa ʼna ra de̱spi, hänge bi zätʼi.
Dictionary 	Aquel padre le prohíbe a su muchacho ir a la escuela.	Nuni ra dada häkuäbi rá tsʼu̱ntʼu̱ dä maha ra ngusadi.
Dictionary 	Gosthide̱xthi.	Xa bo̱ni ʼra ya ʼño̱ho̱ ha ra.
Dictionary 	Cuentan que hubo accidentes, ¿dónde ocurrió eso?.	Ya ʼñänthi tʼena bi nja, ¿habu̱ bi njaʼu̱?.
Dictionary 	El dinero que quieres, cómo no, sí te lo presto; pero sólo si no te dilatas con él mucho tiempo.	Ra bojä gí ne, hadihinä ga hmiʼi, pe ʼbu̱ hingi tsämi ndunthi ya pa.
Dictionary 	Al entrar en el agua el niño hasta jadeaba por el frío del agua.	Ra bätsi nuʼbu̱ bi yu̱tʼi mbo ra dehe mi haha ko rá tse̱ ra dehe.
Dictionary 	Ajuä bá koskagi pa e̱ ga uni nuʼä ra hahala stá ägi; te̱ngagi mä ga uʼtʼi ha bi tʼagi.	Tʼenä ge ʼna ra pa ʼna ra jäʼi bi nthe̱ui nxui ʼna ra hu̱ ste xkí hñe ga tʼaxi, ʼne bi ʼñembi: ―Ogi tsu ʼne ogi handi mä hmi pa hingi ntsu.
Dictionary 	Quiero calentarme al fuego; pero aunque sea me voy a calentar las manos porque están entumidas de frío.	Dí ne ga hñahni ha ra tsibi, pe ke ho̱nse̱ mä ʼye̱ ga hahni; xá tudi ko ra tse̱.
Dictionary 	La zorra caza gallinas o conejos para comer.	Ra haho pa dä ñuni pe̱ʼni o pe̱jua.
Dictionary 	El mandatario de México quiere que se cultiven todos los terrenos.	Rá ndä ʼMonda ne dä ʼbotʼi gatho ya hai.
Dictionary 	Motó (manantial de Tecozautla) Ya dehe po̱ni ha Haise rá hñahni ngu rá ngäni ra ʼye.	Haise (Háise) el géyser en.
Dictionary 	Donde se sientan los niños a comer tiran muchas migajas de tortilla.	Xika hamhme habu̱ hudi ya bätsi di ñuni.
Dictionary 	Hay un nopalito forrado de espinas chicas.	I ja ʼna ra tʼu̱ka ʼbai ga xätʼä ʼrata yá haʼmni.
Dictionary 	A las ramas de mezquite les han trozado los palos gruesos, nada más han dejado las barañas con espinas.	Gatho ya ʼye̱ ga tʼähi bi tsʼe̱kua yá ndäza, nso̱ka yá haʼmni xa tsʼohni.
Dictionary 	Recuerdo que me dijeron cuando se va a hacer la fiesta, y se me olvidó.	Dí beni ge bi siki haʼmu̱ dä nja ra ngo ha dá pumfri.
Dictionary 	Cuentan que vieron brillar una luz anoche; también mi esposa la vio, pero yo no la ví.	Hmä ge bi thandi bi hue̱ti ʼna ra ñotʼi mänxui, ʼne mä ʼbe̱hñä bi hyandi, pe nuga hindá handi.
Dictionary 	Las ranas anuncian que va a llover.	Ya tʼiʼue handi ra thogi.
Dictionary 	En la fecha de los difuntos llevan muchas flores a los panteones.	Ra pa ra tatʼä handu, xika do̱ni thätsʼi ha ya handu.
Dictionary 	Cuentan que con el polvo de huesos de los difuntos pueden hacerle un mal al prójimo.	Tʼenä ge ko ya handu za dä tʼo̱tuäbi ʼna ra ñʼu̱ ra mikʼei, ʼnä.
Dictionary 	Creo que me pegó el aire del muerto donde pasé, pues no me sentía enfermo antes.	Po̱ bi me̱ʼskagi rá ndähi ra handu habu̱ dá thogi ko ke hin ndí ñheni hmä.
Dictionary 	Ya tengo sueño, ya estoy bostezando; ya me voy porque sigo bostezando.	Ya tsu̱ka ra tʼähä, ya dí hane; ya dá ma nguʼä ga sigi ga ñhane.
Dictionary 	Si se hanja llega a quemar la migaja de la carne se amarga.	ʼBu̱ dä sätʼi ra hangango̱ di juʼtsi.
Dictionary 	La migaja de chicharrón es la manteca que no se derritió.	Ra hangango̱ geʼä ra nde̱ga himbi mo̱e.
Dictionary 	El polvo de carbón sale cuando se está amontonando el carbón.	Ra hangathehñä po̱ni nuʼbu̱ di hmundo ra thehñä.
Dictionary 	La hacina de zacate ya se acabó, nada más el polvo queda.	Ra arsinä ga zafri bi thege, nso̱ka ra hangi kohi.
Dictionary 	Cambia por un tanto el costal de carbón.	Pati po ʼna hangu ra ʼro̱zä ga thehñä.
Dictionary 	La blusa de aquella muchacha es transparente; mira nada más, se le ve la carne.	Rá pahni nuni ra nxutsi di hani, xini nektho rá ngo̱.
Dictionary 	Aquella mujer que va allí ahúma y limpia a los enfermos.	Nuni ra ʼbe̱hñä xa mani di hantʼi ʼne thuki ya daʼthi.
Dictionary 	El juez está careando a los peleoneros.	Ra nzaya di hanthyä nu ya ʼyo̱tʼatuhni.
Dictionary 	En los bosques se oye luego donde anda algún animal por el ruido de la hojarasca.	Ha ya mboza ʼbestho ntʼo̱de habu̱ ʼyo ʼna ra mboʼni ko ya hanxiza di njohni.
Dictionary 	Sale mucho aserrín donde cortan madera con sierra.	Xi po̱ni ndunthi ra hanza habu̱ ja ra the̱nza ko ra the̱gi.
Dictionary 	Búscate unas astillas de palo para prender la lumbre.	Honi ʼra ya hanza pa ga the̱thu̱ ra tsibi.
Dictionary 	Dicen que la llovizna es la plaga de los pájaros chicos, el maíz, el nopal y las hierbas.	Tʼenä ge ra hanʼye geʼä rá zuʼue ya tʼu̱ka tsʼintsʼu̱, ra de̱thä, ra xätʼä y ya ndäpo.
Dictionary 	La jarilla es buena para quitar granos.	Ra haria xá ñho pa dä hñäki ya säsi.
Dictionary 	Tal vez el que fue antes engañaba,.	Ua nuʼä ra mu̱di bi hñate, pe nuʼäbye̱ hingi hate.
Dictionary 	Aquella persona palideció por el susto.	Nuni ra jäʼi xi xa hatʼi ko ra ntsu.
Dictionary 	Aquella persona que se llevó el susto tiene pálida la cara.	Nuni ra jäʼi bi hñätsʼi ra ntsu ʼbestho bi hathmi.
Dictionary 	El enfermo que va a curarse es de cara pálida.	Ra daʼthi rí ma ra ntʼo̱the, ra hathmi.
Dictionary 	A la muchacha le queda bien la falda y blusa de color verde claro.	Ra nxutsi ra ntsaui ʼna drä he ga hatsakʼangi.
Dictionary 	Tengo un toro de color negro claro.	Dí ʼñe ʼna mä doro ra zi hatsamboi.
Dictionary 	No me gusta esa tela descolorida.	Hindí hogani ra hatsa dutu.
Dictionary 	Ya está amaneciendo.	Ya rí hatsʼi ra xudi.
Dictionary 	Para cuidar mi cosecha amanezco en la milpa.	Ngeʼä dí su ra sofo, dí hatsʼi ha ra huähi.
Dictionary 	Mañana Ya Tʼäxi ne ra Tʼabi ne ra Haxatso̱ go geʼu̱ mä thandi.	Estrella de la.
Dictionary 	Estas tortillas las estoy calentando, porque son tortillas de ayer.	Nu ya ya hme dí paʼti, ngeʼä ya haxhme.
Dictionary 	Xuua.	Nde, nuʼbu̱ haxkahu̱ , nda hähä.
Dictionary 	El canal ya se arrasó de tierra, necesita desenzolvarse.	Ra ʼñuthe ya bi haxki ga hai, ne ra nsaʼtsi.
Dictionary 	Me dolía mucho la cabeza, pero con la medicina que tomé, como que sentí un alivio.	Xi xmá ñʼu̱ mä ñäxu, pe ko ra ʼñethi dá tsi dá tsa ngu bi haxmahai.
Dictionary 	Buenos días, señor, ¿cómo está usted?.	Haxʼajuä, ndada, ¿te gí xadi ri tʼekʼei?.
Dictionary 	Hasta mañana, señora, que amanezca usted bien.	Ya dá magani, nänä, haxaʼajuä rí xudi.
Dictionary 	Pues ¿crees que sí me dé trabajo ese señor?.	Nde ¿sage häʼbu̱ dä ʼraka ra ʼbe̱fi ra mbo̱ho̱ʼä?.
Dictionary 	Cuando encontraron al asesino tenía el cuchillo en la mano todavía.	Ra hyote mi häda ha ra ʼye̱ ra juai, nu mí tsʼu̱di.
Dictionary 	Las palabras que dijo aquel niño las tenía memorizadas.	Nuʼu̱ ya noya bi manga nuni ra bätsi mi häda ha rá mfeni.
Dictionary 	Fui a la pesca, pero no saqué muchos como esos otros; ellos sacaron en cantidad.	Dá ma ra ʼbe̱huä, pe hintsʼu̱ te dá häi ngu nuʼu̱ mäʼra; nuʼu̱, hä, bi ñhäi ndunthi.
Dictionary 	Una persona cayó al agua; por coincidencia estaba yo por ahí parado; lo rescaté para que no se ahogara.	ʼNa ra jäʼi bi zo ha ra dehe; mäñʼäjuä ndí ʼbahni, dá häi pa himbi jätʼi.
Dictionary 	Ya tiene años que estoy sufriendo una enfermedad; disminuye unos días, pero no se me quita.	Ya pe̱ʼtsi ya je̱ya dí tsaʼbe ʼna ra hñeni; häki ʼra ya pa, pe hinge xa dä hñäki.
Dictionary 	Aquel padre le prohíbe a su muchacho ir a la escuela.	Nuni ra dada häkuäbi rá tsʼu̱ntʼu̱ dä maha ra ngusadi.
Dictionary 	Esta mata de hierba le para la diarrea al niño.	Nuna ra ʼbai ga ndäpo häkuäbi rá ʼrihi ra bätsi.
Dictionary 	Aquel muchacho roba los espejos de los camiones.	Nuni ra metsi häkuäbi yá hñe ya bo̱jä.
Dictionary 	El niño está cortando las flores de las plantas.	Ra bätsi bí häkuäbi yá ndo̱ni ya do̱ni.
Dictionary 	Aquel pintor está quitando la pintura de aquel coche.	Nuni ra gätʼi häkuäbi rá ku̱hu̱ nuni ra tsanza.
Dictionary 	Aquella persona que saludó a mi peón, todavía no se despide; nada más le está interrumpiendo su actividad.	Nuni ra jäʼi bi ze̱njua mä me̱fi, hingi tsa dä ʼñete, ho̱nse̱ häkuäbi rá yaʼä.
Dictionary 	Aquellas gallinas grandes les quitan la comida a los pollos chicos.	Nuyu̱ ya dänga o̱ni hämbi rá hñuni ya ntʼu̱ʼni.
Dictionary 	Dicen que los rateros les arrebatan la bolsa de mano a las mujeres; y se van corriendo.	Tʼenä ge ya be hämbi yá buxa ya ʼbe̱hñä ʼne dä nestʼihi.
Dictionary 	Xuua hämpi ya kʼani ra masei.	Ra.
Dictionary 	Les dije a los peones que entresacaran las matas de maíz donde está tupido, pero no lo hicieron.	Dá xipi ya ʼbe̱go dä hñäʼmi ya ʼbai ga de̱thä habu̱ xá pidi, pe himbi me̱fi, mä gä häʼmi se̱he̱.
Dictionary 	Si no hacen bien su trabajo, pues ve a enseñarles.	ʼBu̱ hingi ʼbe̱fi xá ñho ri ʼbe̱fi, hänge bá uti.
Dictionary 	Por eso yo te había advertido que ese animal estaba enfermo.	Hänge dá xiʼaga ge mi hñeni ra mboʼniʼä.
Dictionary 	Si tu chofer no cuida tu coche, entonces manéjalo tú solo.	ʼBu̱ ri ʼye̱tʼabo̱jä hingi su ri tsanza, hänge ʼye̱tse̱he̱.
Dictionary 	Antes la gente no recibía educación como la recibe ahora, en este tiempo.	Ya jäʼi mäʼme̱tʼo himbi hñäni ra ntʼutuate ngu häni mäpaya.
Dictionary 	Le ruego a usted que acepte este obsequio que le traigo.	Dí mäteʼi gi häni nunä ra zi ʼbaha dí hänʼi.
Dictionary 	La nueva ley de reforma agraria expropia tierras que sobran a alguien para repartir a los que no tienen.	Ra ʼrayo noya tsʼu̱tfi ra ʼbe̱fi hai, häni yá hai nuʼu̱ pongi pa hembi toʼo othobi.
Dictionary 	Esa persona siempre va a pedir he lumbre porque no la entierra.	Nuni ra jäʼi nzäntho häspi, ngeʼä hingi aspi.
