ShaShiYaYi 	¿Por qué sigue el sufrimiento en nuestro pueblo?	¿Paita abisatsine anampiki eirorika atijayetajitsi?
ShaShiYaYi 	¿Por qué salió algo en la casa de Shawashi?	¿Paita itimantarini perani poshinirintsi inampiki Shabashi?
ShaShiYaYi 	La mujer dejó su cargo por 7 días.	Meka abetsikajeitero akoyeteri obanarontsipe 7 kitaiteripe
ShaShiYaYi 	La gente descansa y diseña sus sandías	Yatsotiro atiri aisati yobayetaro tsimeripaye
ShaShiYaYi 	¿Has descargado la fiebre?	¿Pipinkatsatakero oñabaitantakari yotinkaro?
ShaShiYaYi 	Mira lo que hay detrás	Pamenero pashineka tsipariantsi
ShaShiYaYi 	Si otros se quedan con los huesos, este es el patrón	Aririka ikanta pashini asabatakoteri itonkipaye ankateri entsi, irotake ikantaitiri isashiro
ShaShiYaYi 	Para que estén al tanto del establo	Poimishitobantyaro monkarapontso
ShaShiYaYi 	Una persona del curandero nació el cambio climático y le da energía al hombre.	Chora aparoni sheripiari itimashitakeri ibetsikashitakeri atiri ipantakeri tsineri
ShaShiYaYi 	Un árbol bueno y un árbol bueno; un árbol bueno para el hombre, y un árbol malo para el hombre, y un árbol malo para el hombre malo.	Ayoyeteri añaantyari kametsa Obonkiti yotanetantsi: Isabikajeita kametsa nampitsi okantakoyetari irosati ipatikiajeitantari aisati irakametsatantyari
ShaShiYaYi 	Para que sean grandes, otros para que llegue otro paisano que se llama hermanito, ha llegado otro para llegar a su pueblo	Yantarikonatapake, pashini okantaja inampi ipokayetapake pashini ashaninka kari ishaninkasanori, ikeapake iriori chori, pashini okantashitanaja inampi
ShaShiYaYi 	¿Cuál es el destino de la pesca?	¿Jaoka ojityari akenkitsatakoteri?
ShaShiYaYi 	¿Qué hacen en la casa?	¿Paita oshiyabakajeitari maroni pankotsipe?
ShaShiYaYi 	¿En qué estaba el agua?	¿Paita okametsatantari nija?
ShaShiYaYi 	¿Cómo se comporta tu hermano?	¿Paita oshiyari obashirontsi piñeri?
ShaShiYaYi 	¿Hablaba mi abuelo antes de tocar el támishi?	¿Timatsi iñabetiri charine ariorika iraye tapetsa?
ShaShiYaYi 	¿Por dónde están los pajaritos?	¿Tsikapaite ibetsikaitiro obashirontsipayeka?
ShaShiYaYi 	Lo que nos conocimos acerca de sus comidas, verduras y verduras es bueno para nuestros corazones,	Amenakotakeriri kenkitsarentsiki Iñatsayetaro chapape, aisati chomenta, jetari ibetsikayetiri kametsa
ShaShiYaYi 	Cuando la Autoridad Nacional es el jefe supremo	Arika ompariantsitaje iritake ichopiyetiri
ShaShiYaYi 	Sigue atando sus flechas, se golpean en su garganta, no hay nada en el paujil que se vaya	Jobanitanakero ichakopite, ipasakanake itsarateki tekatsi baraki tsamirika aranake
ShaShiYaYi 	Artículo 73. De la Facultad de Negociación, profesor [diputado] que posee una posición posición común	Nobajiro 73 Añatsajeitya keshito Antayeteri obametantatsiri Ipajiriayetero jaoka ikantari yaniti keshito
ShaShiYaYi 	Deja nuestra comunidad a muchos esclavos	Meka anampiki osheki amanantayetiro
ShaShiYaYi 	El Señor le dijo: « Apresúrate a poner a prueba al rey de Israel.	Pikenkitsajeite pitsipatyari pitsipamintsari, pakimaityaro sampitantsi
ShaShiYaYi 	La declaratoria de pobreza estrepitosa y catastrofismo esparce la tierra que se siembra en nuestros sentidos.	Asaitakotero kapichakitaite jero shabiniji irosati otankakoyetanakea opeshi apankiyetakeri boorisaki
ShaShiYaYi 	La responsabilidad de la mujer	Ayeteri añaantyari kametsaperoini
ShaShiYaYi 	¿Qué dictamina de la mano izquierda?	¿Paita oinijantiri kamantantsika?
ShaShiYaYi 	En su casa, en la casa de Korioshi en el verano, el señor ⁇ , hombres armados con una flecha, con una flecha, con una flecha, con esa cara hueca, jengibre, un remolino, y las mujeres que allí están sentados con un petate, canasta, balsa, hace una bolsita y ropa, la cobija que ella tiene	Inampiki Korioshi Inampiki Korioshi, osheki ibetsikabaiyeti ishaninka, kemetachari, shiramparipe ibetsikayeti, amatsairentsi, chakopi, tsibo, sonkari, jento, komarontsi, pitotsi, shintipa, irori tsinanepe obetsikayeti shitashintsi, kantiri, tsibeta, ontiji aisat tsarato, kitsarentsi, chobinarontsi jero irori kobiti
ShaShiYaYi 	La paloma es elbajobajo que hay en la canasta 90*************************	shironi yarato maño oyechari ibatsa kosaniri* 90 * Saniri Pisankenate ñantsipeki poematsapari koityachari
ShaShiYaYi 	¿Qué hacían todas las mujeres?	¿Paita oñabentakojeitiri tsinanepe?
ShaShiYaYi 	¿Qué son las realidades de los cauces?	¿Paita pikenkeshiriakotirori yotantsika?
ShaShiYaYi 	[Por eso] siguen colgados [en la cabeza]	Apatsabentyaro akayetero sampitantsipaye
ShaShiYaYi 	" ¿Qué es más fácil, que un camello pase por el ojo de una aguja, a que un rico entre en el reino de Dios?"	Aisati amenakoyetiro jaoka ankantyari ayetero atimakoyetiri, kempetachari, abanontayetajiaro tomirimashi isabikayetantyari piratsipe aisati abayetari
ShaShiYaYi 	[Mi paisano] quemó su flecha	Piñabentakotero jaokapaite yabintiro ashaninka ichakopite
ShaShiYaYi 	La niñez va a traer a la gente en la playa.	Pikanteri jananekipe impajiriayeteri maroni piratsipe iyotiri
ShaShiYaYi 	perforación, extracción de agua y caña de azúcar en las rocas	Piyote jaoka pobayetero antarotsapa, obabiroñantsi jero tsitok abishimotantsiki
ShaShiYaYi 	Cuando la red se acerca, los pescadores la arrastran a la orilla, los pescadores la arrastran a la orilla,	Arika ajate inkajareki, ari ashimateriri chebiro, shabiñari, tonirojeinki, tsinke
ShaShiYaYi 	¿Por qué estás triste tu paisano?	¿Paita ibetsikayetiri pishaninka?
ShaShiYaYi 	¿Quiénes son ustedes? ¿Quiénes son ustedes? ¿Quiénes son ustedes?	¿Janika pipayetiri shima payetakeri?
ShaShiYaYi 	¿Cuál es el volumen anual del año que viene?	¿Jaoka okaratiri otsipariayeta osarentsi?
ShaShiYaYi 	¿Por qué comemos sus historias?	¿Paita okenkitsatiri kenkitsarentsi?
ShaShiYaYi 	Si cumplidor o accede a su existencia, independientemente de los demás actos u omisiones que cometan los servidores públicos o la autoridad administrativa, éstos deberán cumplir con los requisitos establecidos para este servicio.	Aririka asankenatero añane otimatye ayotero paita asankenayetiri antayetantsi o bairontsi, irokapye te oshiyabakaya
ShaShiYaYi 	El masato dulce es mío.	Iriro entsi batsanti piarentsi pochari
ShaShiYaYi 	Inmediatamente después lo van a coger al plan	Piñanatero ñantsipaye opoña pisankenatantyaro kenkishiriantsi
ShaShiYaYi 	¿Compras yuca para preparar?	¿Apichachero kaniri abetsikantyarori?
ShaShiYaYi 	Los conocimientos y medicinas que preparan los animales antes del sombrero para la preparación de sus carachamas hacen lo mismo: canasta, petate, bolitas de ropa	Ampitarentsi ejati ontyantsi Oyoyetiri pairani koya obetsikantyarori maroni antayetiri okemita: kantiri, shitashintsi, tsarato ejati kitsarentsi
ShaShiYaYi 	¿Por qué los que han residido no pueden comerciar nada dentro de la comunidad?	¿Paita abisaintsiri meka opimantantayetajari ipankiyetiri ashaninka?
ShaShiYaYi 	a) El perro tiene 11 hojas	a) Ora otsiki shitobatsine otime 11 kitsoki
ShaShiYaYi 	El profesor y el profesor	Namenaperotero shiyakantsipaye ompoña noñanatero
ShaShiYaYi 	Son funciones de los más cercanos	Irotake inape obosaterineri akiparentsipe
ShaShiYaYi 	Cuando el Cordero rompió el primero de los siete sellos, hubo un gran silencio en el templo,	Iroyabaketa imposate akiparentsi, meka ampampoyakayeri impoiji añatsajeitya
ShaShiYaYi 	El fin de todas las comidas	Pisankenatero maroni pikematsatabakeri kenkitsarentsiki
ShaShiYaYi 	¿Qué le ha pasado a mi hijo, el que lleva puesta la ropa blanca? ¿Qué le pasó?	¿Kametsatake ikantakeri jananeki kitsatarori kitamarori iitsare?¿Paitakia?
ShaShiYaYi 	Los paisanos cuando trabajaban allí, por eso vivían en los pueblos pequeños que no les daba masato.	Ashaninkapaye antabairianti inati, irotake otimantari ibankirepaye ejati osheki iyanire yobari, te inkobityero piarentsi
ShaShiYaYi 	Ella se fue a vivir a un pueblo donde la gente quería casarse con el dueño de la finca, llamado chacra de algodón.	Meka irori ojati yotantsipankoki anta pashiki nampitsiki otiminta tikakobentiriri maroni jananeki pajitachari otime yotantsi
ShaShiYaYi 	Por qué están ustedes ensuciando el cuerpo?	¿Paita pomerentsitantsi amayetakeri okantajaka asabikayetaji?
ShaShiYaYi 	La ballena ballena es el resguardo de las aves y de los pájaros.	Añabenteri shiyakantsipe, ikematsatakaye iritake atiripe obariperotirori isaikayetira piratsipe aisati tsimeripe
ShaShiYaYi 	Koshento Elo [Koshento Elo [Koshento Elo [Koshento Ero] , cuando cosechas papas, papagayos para hablar bien	Shankenti Koshento Ero pipiakotaro, aririka pisankenate pobayetero antarotsaparipaye, tsitok, piñanatantyarori kametsa añane
ShaShiYaYi 	¿Qué le toca a la hija de Machari?	¿Jaoka ojitari inampi Machari?
ShaShiYaYi 	¿Quién es el jefe de descarga? ¿Quién es el jefe?	¿Jaoka opajiyetari?¿Janika betsikirori?
ShaShiYaYi 	"Muchas veces ese hombre ha dicho: 'Mi casa sera llamada casa de oracion,' pero ustedes la han hecho cueva de ladrones.	Ikanti Shabashi, obakera irijanitapake, kapichaji ikarajeitini, te añeroji osheki pankotsi, kametsa isabikajeitini
ShaShiYaYi 	El intercambio interno es el Sistema Nacional de Información Estadística y Geografía de los titulares de los hijos de la mujer	Maroni ipankiyetiri irotake amitakoyetiri yayeti kapichaji kireki yamanantantayetari amanakoyetiriri itomipe yotantsipankoki
ShaShiYaYi 	En meses recientes, se establecen 2 parámetros de eficiencia de los 30 parámetros de eficiencia, señalando 3 parámetros de eficiencia, y 20 parámetros de eficiencia.	Kepishiri, yointake 2 beshintsantsi monkaratatsiri 30 anitantyari iriori Shimpeñara yointake 3 beshintsantsi monkaratatsiri 20 anitantyari
ShaShiYaYi 	La cuñada grande	oshi pankirentsipe sankiro piyantatsiri
ShaShiYaYi 	La luz del sol calienta a la gente, entonces la tapan	Imirokake potsotitonki pirijatachari irosati ipamatakakero
ShaShiYaYi 	El emotivo es el dueño de la cultura lícita y especializado en el uso donde se encuentra.	Iri Emoki ichakitake irobaneki pishiakantero aisati pinkante jaoka okarati ichakitakeri
ShaShiYaYi 	El aprobar leyes que dictan buenos modales perjudica su sostenibilidad.	Otimatiye amenero kametsa iriyotakotantyarori iriñane
ShaShiYaYi 	El palo se rompió por abajo.	Ipotsotantaro ashirotonki
ShaShiYaYi 	El pañuelo sube al mismo tiempo que el color negro.	Panite onkarate 5 irojati janta kisapetariki
ShaShiYaYi 	La flauta se parece a la aguja de ella	Pikemero obametimpiri oñabetakotero oyoyetiri irori
ShaShiYaYi 	Lo llamo 69 En los diferentes niveles de hierbas, existentes en la niñez, lo que el profesor señala: “En la niñez, la gestión de la niñez, se trata de una cultura cultural, de su madre, de su paisano.”	Nopajita 69 Kantashiyetachari inchashi abintantantsiri Antayeteri obametantatsiri: Pikenkitsatakayeri jananekipe okantakota inchashipe yabintayetari iriri, iniro, ishaninkape
ShaShiYaYi 	¿Qué es lo que tenemos en común con los extraños?”	¿Paita kantayetakarori kari otimasanoyetantaja maroni abayetari tomirishiki?
ShaShiYaYi 	Cultiva la cuenca del río	Pitsikanatyaro shiyakantsi opoña pikenkitsatakotero
ShaShiYaYi 	Un día, estando Jesús a la orilla del lago, llegó un hombre llamado Zaqueo.	Okanti kenkitsarentsi, perani ijatake yaretari iyomparite pajitachari Sanchani, isaiki iriori otsapiki nijateni
ShaShiYaYi 	Vuelve al camino, después de tomar el agua que se llama Timpiñari, déjala así por el camino que está arqueado, allí habla grande lupuna que está quebrada, después de que pase el círculo, ve a otra quebrada que se llama Komitar, haz una casa,	Poijatanero abotsisante, impoiji paretakiaro nija pajitachari Timpiñari, pabisanakero poijatanakero abotsi kenatsiri tonkariteki, ari piñapake antaro shina otsekayetaka, impoiji panonkiriakero tonkarite ari piñapaje pashini nijateni pajitachari Komitarija, pabisakero ari piñape aparoni pankotsishetaki ari pimanakeri
ShaShiYaYi 	Vamos a encontrar un pastor	Tsame asankenatakotero aparoni abishimotantsi
ShaShiYaYi 	Ay de ustedes, los que están saciados! ¡Ay de ustedes, los que están saciados! Porque habrá llanto y rechinar de dientes ».	Pobetsike pashini sampitantsi Irosati ikenkishireajeitakero, yantayetakeri, pinkantajeiteri irante pashini sampitantsipe irosati pamabentakotyaro akakoterone, pantantyari otsipa pomerentsitantsi kempeni yantajeitakeri
ShaShiYaYi 	En la arena del río Naviririri [la abuela] estaba sentada en su chacra pensando que era una gran mentira, que odiaba a su hermano, no era grande como mis hijos, tan pequeña como una hoja de maíz blanco	Kotibatiishi Añiiro oshooki (oshiiyoki) impanikiiteki nijaaki, ikantiro pashinipe irootake irinchashite kiatsi, okamaniitati obato (ominka), te antaroyite ochebapaye, orijanishapikeeriki okanta oshi, okitamaropanayeti
ShaShiYaYi 	Promueve este procedimiento y se encarga de la pesca de ballenas y otros pescados con el fin de identificar los residuos que contienen esos hongos que contienen y los que deben matar matar	Konijantiro akantayetyari aisati ayeteri ishimayetyarika nonampi impoiji namenakotiro abisayetaintsiri okantakota ayoyetiro antayetiro aisati okarati antayetari shimape
ShaShiYaYi 	Hay muchas [personas] que hacer para cumplir las funciones de las comisiones.	Timatsi osheki ankantayetero ayoyetantyarori akobayetiri ayoyete
ShaShiYaYi 	Capítulo II	Ayote abetsike akiparentsi
ShaShiYaYi 	Los visitantes y niños del comedor mundial	Obametinkari jeri jananeki ibetsikajeite akiparentsi
ShaShiYaYi 	En la choza del agua	Ishitamenkotakari irointi
ShaShiYaYi 	El cigarro créeme	Kotsiro Akantero abetsikero
ShaShiYaYi 	Cuñado, ¿pueblo de samanyo?	Ani, ¿piyoti jaoka inampitaro samani?
ShaShiYaYi 	¿Por qué conocen a las mujeres andinas para seleccionar a sus hijos?	¿Paita iyotakotiri sharakasati itiriyetakotantarori ibanko?
ShaShiYaYi 	Mi suegro sale temprano por la mañana.	Iroñaka ikobi ishiyakabentero katiyapentsakiroki
ShaShiYaYi 	Levanta tu mano para tomar fotos.	Pintinayero pako pisampintantyariri yotinkari
ShaShiYaYi 	Hay varios conflictos que separan a las autoridades locales por motivos racistas y/o ⁇ s, que organizan para la defensa de las comunidades.	Timatsi onashiyeta yobabitabaka añayetatsiri kempetachari isokashiyetaro iyashi saiteriki pashini isakojatiro tsompoiki
ShaShiYaYi 	En la vida real, se acabó lo que se ve bien.	Pikenkeshiriakotajero kametsarika piñabaijetake
ShaShiYaYi 	la finca que nuestros paisanos han ensuciado con lo que han ensuciado?	Abetsikajeite maroni akoayetakeri asampiyetakeri ashaninka
ShaShiYaYi 	La caminata del río Tamponi 1 Mira de aquí a Kanoja: para que los hijos de los ishaninkas puedan seleccionar los productos agrícolas que crecen en el Océano Ayotzi y los cultivos agropecuarios de Satipo.	oriatsiri okontepinitantari Nija Tamponi 1 Pamenero oka nampitsi pajitachari Kanojaki: imayempijeitantari yotantsipanko ashaninka saikajeitatsiri ibanko ibanko saikajeitatsiri ashaninka yotantsipanko pankirentsi pankirentsi Aotsi jatatsiri Satipoki pankirentsi pankirentsi - ¿Jaoka okonteapinitari katsirinkaiteri?
ShaShiYaYi 	Para levantar las cosas, este hombre hizo un hueco, una bola puede hacer un hueco	Impichantyarori komo, iro yantajeitiro shirampari, chora oyepianka akemiro abante jemiriri
ShaShiYaYi 	El Cordero rompió el tercer sello, y hubo tres sellos.	Pikanteri aisati iraayete timatsiri yotantsipankoki, kemperi: Pampatote 3 ñatsarontsi
ShaShiYaYi 	¿Qué hacen los sombreros?	¿Paita antiri koyapaye?
ShaShiYaYi 	¿Respeta el sacristán todas las cosas que come y bebe?	¿Paitakea okametsatantari ampinkatsatero aisati ankemisantero paita ayeari aisati kari abayetari?
ShaShiYaYi 	¿Cuáles son los gastos que se requieren?	¿Tsika okaratika ichochokite timanajantsiri?
ShaShiYaYi 	¿Cuál es el volumen de captación que le correspondía?	¿Jaoka okarati kajajaniki irayeri?
ShaShiYaYi 	¿Cuál es la cantidad de peces que le asignaron?	¿Jaoka okanta iyotantakarori ishimata Korioshi?
ShaShiYaYi 	El saneamiento de la chacra y el saneamiento	Pobitsikakotero shekiantsi jero apitsatantsi
ShaShiYaYi 	Cuando la llevan, camina [en el cambio], tres días	Arika yaanakero ibankoki itashitapakero impoiji iroero maba kitaiteri
ShaShiYaYi 	El hijo de Kapeshi junta la yuca	( ) Itomipe Kapeshi iyojeitakero ipankite kaniri
ShaShiYaYi 	Tenemos que hacer trabajo en las casas.	Ontimatye yantayetero antabairentsi timatsiri pankotsiki
ShaShiYaYi 	Los hijos de éstos serán entregados a las autoridades y tendrán la oportunidad de hacer lo bueno.	Okameetsati abamejeiteri atomipee amejeitari aisati abamejeiteri irantapinitero kameetsatatsiri
ShaShiYaYi 	Las quebradas no son lo que sembráis en el suelo, las cocinó, las tinajas, las pantorrillas de los peces	Peayetaka, tema te apankitajero abanekipaye tonkaireki, potsitakiri, chomontyoki, sonkoki ejati tsibitaroki
ShaShiYaYi 	¿En qué está el baño dentro de la tierra?	¿Paita ipankiyetiri kipatsiki kityonkapatsari?
ShaShiYaYi 	En la orilla del río crecían los ríos y las rocas,	Okoirika omire, obetsikayeti shaakija, kirija jero pearenti
ShaShiYaYi 	Cuando haya muchas moscas, vas a tener	Aririka pibamake osheki ejati pamatsayetakiari
ShaShiYaYi 	Los barcos descansan lejos y se hunden muy lejos	Ibankoni pentsakitsantsa jero antyaro omonkipeni
ShaShiYaYi 	El samanyo no lo ha matado.	Niyankitatsiri samani te itenankeri
ShaShiYaYi 	El perro entraba en la casa de una noche, y estaba comiendo en la casa de la abuela Mariki, si no tenía miedo de que el perro escribiera una gallina.	Ikei saari tyapapankoki Aparoni tsiteniri, ikeake saari otyapapankoteki isha Mariki, eirome itsarotanake otsiti yobakiarime tyaapa
ShaShiYaYi 	Los diez cuernos de la becerra son cada uno de ellos, y el primero de ellos será el Hijo del Hombre.	Marikoshi ikobati ibetsike ibane oshabetarori anakarori, iyotantyarori tsika onkarate osantsayete ontime imonkaratero
ShaShiYaYi 	¿Por qué cambia la chacra?	¿Paita opashinitantari obantsi?
ShaShiYaYi 	Ciertas tardes, los niños se fueron a visitarlos por su malicia, no hay nada que hacer.	Okanta Ametyo, ojatashitakero obankoki okibantiro ari oñapakero omayi, tekatsi ante
ShaShiYaYi 	Nakarachamari: “charquera de piedra”	Jetari: Itotsiro jetari mapi
ShaShiYaYi 	“Vamos a aprobar y administrar grandes obras en las casas rurales, teniendo en cuenta todas las superficies que están alrededor de la casa.”	Tsame amenero jaoka okantayeta obetsika pankotsipayeni aisati ayotero tsika okarati apatota maroni pankotsi
ShaShiYaYi 	¿Qué sucedería si el líder de los riegos pudiera seleccionar los colorantes?	¿Paita abisatsine aririka yobetsike sharakasati ibanko otimirika irariki?
ShaShiYaYi 	El niño juega en la niñez	Piñanajeitero iñabetiri jananekipe
ShaShiYaYi 	Donde esté el cadáver, no hay nada que le impida ver.	Akoirika iramitakotante, eiro yamitakotajitsi iramenashitanakea
ShaShiYaYi 	TAMBIÉN FUNCIÓN LA SALUD DE LOS PAISANOS	YOTANTS Akantayetiro abankirepe Piñanatero ikenkitsajeitiri ashaninka
ShaShiYaYi 	Para que la gente vea "la nave limpia", vamos a juntar a los seis hombres.	Iñatsajeitantakari "Ontsitiyatye pitotsi", yapatiyabakajeitaka ikarati 6 aparopeki apatorentsi
ShaShiYaYi 	¿Dónde vive la sachavaca en la purma?	¿Kari isaikanta kemari obantsiposhiki?
ShaShiYaYi 	Los ejecutivos y los administradores no intervienen en el establo.	Pishiyakantero aisati pimpotsotero pantantyaro monkarapontsoro
ShaShiYaYi 	Yo jalé un sábalo para mi paisano, es muy rico.	Naro nokitsaiti mamori nobakaiyariri noshaninkape, osheki iposhiniti
ShaShiYaYi 	¿Quiénes son?"	¿Aisati oshiyabaka anitake?
ShaShiYaYi 	Qué es lo que le pasa a Jesús, el hijo del faraón?	¿Kametsa ayotakotajero okanta ibetsikaitiro aparope obashirontsi iyotiri ashaninka?¿Paitakea?
ShaShiYaYi 	Hermanos míos, la gente de la ciudad está aquí.	Irokantacha, amayetaji pomerentsitantsi anampiki
ShaShiYaYi 	La responsabilidad de los representantes de los trabajadores de los pueblos indígenas por el bien de su pueblo y de los daños que ello genere.	Kamantayeteri ashimajeitantyari Maroni atiripe sabikatsiri nampitsipeki iyotakoyetiro okantakoyeta timayetatsiri inampiki iyotantyarori paita irantayeteri aisati abisayetatsineri isaikira
ShaShiYaYi 	Pues, ¿quién es el que te dijo: “ Yo te mostraré las cosas que tienen que ver con nosotros ”?	¿Paita pomerentsitantsi amayetiri asaiyetiro apankiyetiri?
ShaShiYaYi 	La carachama, la cabeza de la mujer	Potsomentotsi, paperi
ShaShiYaYi 	3 3 = Con lo que ves en el trabajo, no tengas miedo	soti - 3 maba = Piñatsanintyaro antabairintsika eiro pitsarobi ari pimatakero
ShaShiYaYi 	LA NIÑEZACIÓN DE LA TIERRA Y DE LA TIERRA	Pisankenatero obanarontsipe ashisanori jero aisati poñatsiri pashini nampitsi, yobayetari ashaninka
ShaShiYaYi 	Cierta vez, un ambientalista dormía en un puente sobre Kempiri.	Otimabeitani perani anitantari arakomentotsi ara Kempiriki
ShaShiYaYi 	Son funciones que tienen escopetas grandes en la chacra, ya van a acabar con los pájaros.	Irotake meka yantantayetari antarope obantsi, iro itsonkantatakarori tomirishipe
ShaShiYaYi 	¿Cómo viven los paisanos hoy en día?	¿Tsika isaikajeitika ashaninkapaye kitaiteriki?
ShaShiYaYi 	Las hojas de los coyotes son de bambú.	tyokoripa tyopiki tyo tyo pi ko ki ri pa Piñanatero obajiro shiyakantsipe impoiji pashitakotero poematsapari piyotakeri
ShaShiYaYi 	– Dígale a mi paisano que reivindique las responsabilidades de los peces gordos	Ashiyakanteri ikanta ikempoyiri ashaninka shima impoña akematsatakayeri
ShaShiYaYi 	Deja ya a los perros callejeros, llamados SENAS, que viven en las chacras de los pueblos, los ciegos que viven en los patios interiores de los pueblos indígenas	Meka ora amenakotirori pankirentsipe paitachari SENAS anianitake obantsipeki amenayetiri sankirotatsirika opiantajeariri, obariperoyetapakerori ipankiyetiri ashaninkape irobaneki
ShaShiYaYi 	Al amanecer se divisa una gallina, a los 22 meses de septiembre los paisanos de Shabayasa agarraron al grito a una mujer llamada Maria Shaani y a su esposo llamado Mario Pishiko se roban las yucas de Marishaari.	Okitaitimatake iñaantyari tyaapa, 22 kashiriki setiembre ashaninkapaye Shabayasati yairikake koshinti, aparoni tsinane opaita Maria Shaani jeri ojime ipaita Mario Pishiko ikoshijeiti kaniri irobaneki Marishaari
ShaShiYaYi 	Los demonios demonios salen de la casa del cazador.	Pishiyakanteri yantayetiri iriperori komintsanti
ShaShiYaYi 	¿Cuál es el cambio climático?	¿Tsika okarati ibetsikaiti kirikota tsampitsobari?
ShaShiYaYi 	Tu abuelo paterno y por qué le sobra un palito.	Pamenakayeri pishaninka impoiji pikenkitsajeite paita abisantayetakari
ShaShiYaYi 	Las Puertas del Pajonal.	Ashimperejayeti Atsiojayeti
ShaShiYaYi 	Tenemos que protegernos de nuestra existencia	Otimatye amabentakotyaro timatsiri anampiki
ShaShiYaYi 	Después otro niño y otra vez	Impoiji pashini entsi aisati iñake
ShaShiYaYi 	Revisa el pescado que tiene la flecha [en la mano]	Pimpotsoteri kobintsari timatsiri kapichaji ichakopite
ShaShiYaYi 	Por eso ahora conviértete para tomar, Autogobierno para tomar las hojas.	Ari ikenkishireaka amatantyariri kamari ontimatye nantantyariri nampate
ShaShiYaYi 	Cuando miren en el monte a los peces que hay en el mar, y los peces que hay en el mar, y los peces que hay en el mar, no se derritan a la vista de ellos,	Arika anibete antamiki amenantyari obanarontsi ikoyaitiri kemperi sankiro, jomo, katsikori, sankori jero chochokipe eiro atsinampabaititsi, ari ikaraake ashitariri
ShaShiYaYi 	Al día siguiente, el día 22 de septiembre, muy cerca de las 2:30 de la madrugada, los paisanos que viven en Shabaya enterraron a una mujer llamada Koñabe en Shimpoki y a un hombre llamado Pirishiko Montyo que robó las yucas de Marishaari.	Iro okitaitimatake kitaiteri 22 kashiriki setiembre iro iberabetaka oria 2:30 okitaitetantyari, ashaninkapaye saikatsiri Shabayaki yairikajeitake aparoni tsinane paitachari Koñabe Shimpoki jeri aparoni shirampari paitachari Pirishiko Montyo ikoshijeiti kaniri irobaneki Marishaari
ShaShiYaYi 	Es por eso que la mansión del Pairán tiene a la viuda viuda, un hombre llamado una mujer, con mucho cuidado de los insectos y todo lo que venimos haciendo hoy en día.	Inintaitantajarori manintaro Pairani ainiro yatiribeitani maroni piratsipaye, otimi aparo tsinane1 opaita Ametyo, osheki onebetaro ampitabaiti antayetiro maroni betsikantsipaye añayetiri iroñaka
ShaShiYaYi 	Cuando el rey entró a ver a los invitados a la cena de bodas, envió a su siervo a decir a los invitados:	Piñanatero kenkishiriantsipe impoiji pisankenatero Je teerika Te, okantakotiri betsikakotantsi piñanatakeri
ShaShiYaYi 	Los proyectos que has visto son: los que los has construido, los que son del Este, los que son del Este, los que son del Este, los que son del Este, los que han de escuchar, los que han de poner en práctica la buena gestión de proyectos, los que has de mostrar, los que has de enseñar a las ciudades.	Oka sankenarentsika piñakeri irointi sankenarentsi, kantakotirori antaberentsi antayetachaneri yotantsipankoki, ontimatiye piñanatero, pinkematsatero pantantyarori kametsa pantabere, poinijantyariri jananekipe yotantsipe
ShaShiYaYi 	La piedra de la tierra	Anaje opashiniyeti kipatsi
ShaShiYaYi 	Introducir los parámetros de eficiencia no es aplicable a los grandes pollitos, ni a los pollitos, ni a los establos, pero los entidades del sector público deben estar en representación de la pirámide.	Ñakarontsipayeni te ari oshiyabakaeya timatsi antaropaye (>), orianipaye (<), ejati monkarabakachari (=) ayoperotantyarori otime asatekayetero shiyabentarontsi
ShaShiYaYi 	Hay muchas hierbas que el gavilán que llega a la orilla del río, allí en la quebrada practica la pesca con caña de azúcar y las quemaduras de pescado. Tiene la capacidad de hablar a los dueños de los peces: “Alma mía, mata mi paisano, no come mi comida, come mi paisano, no viene a trabajar ni mata a tu paisano o leña.	Timatsi aisati inchashi kiripekiri shiokatsiri otsapijaki tamponi, ara nijateniki iro yairo imirokiro itiribakota aisati itiritiro ibitasaro irantyari kitotsa, iro kantacha ineanatiro ashitariri shima: "Tsio pimpenari pibira noyeari, nobakayeari noshaninka, eiro nochampireiritsi, aisati ikishoki kisho, kisho, kisho" Pashini aisati, apinintantyari ancharijatantyari shima, itiritiri icharijare itia parari, tempame iriperori shimareanti, osheki ikobintsatiri shima
ShaShiYaYi 	Vosotros habéis de amar al Hijo del Hombre.	Pikantajeiteri iñabentakotero aparope
ShaShiYaYi 	Toda la paisana situada en la ribera del SENAS retorna el distrito de color negro.	Maaroni ashaninka yapatobenakari iramitakotantyarori SENAS ompiajeri sankirotatsirika kisatsapari
ShaShiYaYi 	¿Qué sucederá ahora que el agua de los bienes más importantes que haya en el agua?	¿Paitaka abisatsine iroñaka ari irirakero nija obariperotainchari maroni saikatsiri nijaki?
ShaShiYaYi 	En ese momento, la reunión de ustedes quedó reducida a nada. Las propuestas sobre los problemas del tejido amazónico afectaron las capacidades de las economías amazónicas	Irosati opiantanaka yapatojeitanira inka irointitanake ikemisantajeitanake yamakeri ishipañori ikemisantajeitiri patiri jero iñane
ShaShiYaYi 	¿Por qué deja de orar? Porque debe de mostrar yuca.	¿Paitatya abisatsineri eirorika okonijatime kaniri?
ShaShiYaYi 	¿De dónde sacaste esa hoja?	¿Tsika okaratika timanajantsiri oshitashi?
