Mexican_constitution 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	TLANEJNEUILYOTL TLEN SENTIKMASEUALMEJ 
Mexican_constitution 	El mismo Congreso expedirá, dentro de los diez días siguientes a dicho nombramiento, la convocatoria para la elección del Presidente que deba concluir el período respectivo, debiendo mediar entre la fecha de la convocatoria y la que se señale para la realización de la jornada electoral, un plazo no menor de siete meses ni mayor de nueve. >El así electo iniciará su encargo y rendirá protesta ante el Congreso siete días después de concluido el proceso electoral. 	Ajkaya kitekiuis pan se tonalpa ni Ueyimexko Tlanauatijketl iteki axkana uelis kipatlas noso kiolinis sekinoj tekichiuanij tlen Tlajkuilojketl noso Tlanauatiyanij, Nojkia kitemakas pan Ueyinechikol tlateyoualol se amayolmelaualistli tlen tekitl kichijtok pan tonali ax panos majtlaktli tonali, mopouas pan kauil kema tlamis iteki. 
Mexican_constitution 	Si el Congreso no estuviere en sesiones, la Comisión Permanente lo convocará inmediatamente a sesiones extraordinarias para que se constituya en Colegio Electoral, nombre un presidente interino y expida la convocatoria a elecciones presidenciales en los términos del párrafo anterior. 	Tlan amo momelaua mexkotlanauatijketl pan itlamiyan naui xiuitl tekipanolpa, tlan ueyi nechikol tlateyoualol kitokaxtis ipatlaka mexkotlanauatijketl katli kitsontis ni tekitl; tlan amo monechikojtos, eltipa tlaixnamikili kitokaxtis mexkotlanauatijketl katli tekitis san kentsi tonali uan tlanonotsas ueyinechikoli tlateyoualol pan seyok nesentilili uan mochiuas tekinechikoltlapejpenili uan kichiuas tlen ipatlaka mexkotlanauatijketl. 
Mexican_constitution 	Cuando la falta absoluta del Presidente ocurriese en los cuatro últimos años del período respectivo, si el Congreso de la Unión se encontrase en sesiones, designará al presidente substituto que deberá concluir el período, siguiendo, en lo conducente, el mismo procedimiento que en el caso del presidente interino. 	Tlan ueyinechikol tlateyoualol amo itsosej pan tekipanoli, uajaka eltipa tekitlaixnamikili kitokaxtis mexkotlanauatijketl katli tekipanos san kentsi tonali uan tlanonotsas ma mosentilika nimaya uan kitokaxtis yani tekichijketl uan temakas amatlanonotsali tlen sempa kitlapejpenisej mexkotlanauatijketl. 
Mexican_constitution 	Si el Congreso no estuviere reunido, la Comisión Permanente lo convocará inmediatamente a sesiones extraordinarias para que se constituya en Colegio Electoral y nombre un presidente substituto siguiendo, en lo conducente, el mismo procedimiento que en el caso del presidente interino. 	Tlaj ueyinechikol tlateyoualol ax mosentilis, ni Nechikolistekitl tlen ipanimaj itstos kichiuas tlanotsalistli nimantsi ma tekitikaj ijkinoj kintokachtisej Tlapejpenili Sentilistli uan kitokachtis se Ueyimexko Tlanauatijketl ka ojtli tlen iapnimaj mochiuaskia. 
Mexican_constitution 	Artículo 85. 	Najpouali uan makuiltipaj tlaijtoli. 
Mexican_constitution 	Si antes de iniciar un periodo constitucional la elección no estuviese hecha o declarada válida, cesará el Presidente cuyo periodo haya concluido y será presidente interino el que haya designado el Congreso, en los términos del artículo anterior. 	Tlan kema peuas iteki mexkotlanauatijketl uan amo youi, uan tlapejpenili amo mo chijki o mo tlali ipatij ipan ipejka majtlaktli uan ome metstli, mo tlamiltis, itekilistli mexkotlatoani katli achtiui tekipano uan ya kiuikas ni tekitl katli kitokaxtis ueyonechikoli tlateyouali o eltipa tekitlaixnamikili tlen ken tlajtoua achtiui tlaijtoli. 
Mexican_constitution 	Si al comenzar el periodo constitucional hubiese falta absoluta del Presidente de la República, asumirá provisionalmente el cargo el Presidente de la Cámara de Senadores, en tanto el Congreso designa al presidente interino, conforme al artículo anterior. 	Tlan mexkotlanauatijketl iteki san keski tonali tekipanos, ueyinechikoli tlateyoualol o eltipa tekitlaixnamikili kitokaxtis mexkotlanauatijketl katli tekitis san kentsi tonali katli poliui. 
Mexican_constitution 	Cuando el Presidente solicite licencia para separarse del cargo hasta por sesenta días naturales, una vez autorizada por el Congreso, el Secretario de Gobernación asumirá provisionalmente la titularidad del Poder Ejecutivo. 	Tlan mexkotlanauatijketl poliuis tlen expouali tonali, uan amo itstos nechikol ueyitlateyoualol uajka eltipa tekitlaixnamikili kitokaxtis mexkotlanauatijketl katli tekitis keski tonali. 
Mexican_constitution 	Si la falta, de temporal se convierte en absoluta, se procederá como dispone el artículo anterior. 	Tlan poliui tlatoktsi uan amo mokuepa mochiuas sankej kijtoua teipa tlaijtoli. 
Mexican_constitution 	Artículo 86. 	Najpouali uanchikuasentipaj tlaijtoli. 
Mexican_constitution 	El cargo de Presidente de la República sólo es renunciable por causa grave, que calificará el Congreso de la Unión, ante el que se presentará la renuncia. 	Tlen iteki mexkotlanauatijketl uelis ki kauas tlan kichijki ueyi tlaixpanoli katli kisenkauas nechikol ueyitlateyoualol, kamapa moixpantis tlamiltekitl. 
Mexican_constitution 	Artículo 87. 	Najpouali una chikometipaj tlaijtoli. 
Mexican_constitution 	El Presidente, al tomar posesión de su cargo, prestará ante el Congreso de la Unión o ante la Comisión Permanente, en los recesos de aquél, la siguiente protesta: "Protesto guardar y hacer guardar la Constitución Política de los Estados Unidos Mexicanos y las leyes que de ella emanen, y desempeñar leal y patrióticamente el cargo de Presidente de la República que el pueblo me ha conferido, mirando en todo por el bien y prosperidad de la Unión; y si así no lo hiciere que la Nación me lo demande." 	Mexkotlanauatijketl kema kalakis pan iteki kichiuas tekimaitlselilistli ixpan ueyi nechikol tlateyoualol o ixpa pan eltipa tekitlaixnamikiliuan tlanankilis kinin: “Niselia ni tekichiuali nikajukuis iuan nijchiuas, ni tlanejneuilyotl tlen nechikol tlaltokayolmen mexkoeuanin uan machiotlajtolmen katli pan yani yolisej, uan nijchiuas kuali pan noteki ni ueyi mexkotlanauatijketlkatli istinin nechmakakej, nitlachilijtostlen nochi ika kualitlen uikualtili tlen nochimen; uan tlan amo kiampa nichiuas ma mexkoitstinin nexteljuika.” 
Mexican_constitution 	Si por cualquier circunstancia el Presidente no pudiere rendir la protesta en los términos del párrafo anterior, lo hará de inmediato ante las Mesas Directivas de las Cámaras del Congreso de la Unión. 	Tla sentikayotekitiketl amo uelis mo panextis kemaj kiselia iteki uakaj pan ni itlakotonka achtiui, uakaj nimaya kichiuas pan mexa kampa nechikolueyitekitini. 
Mexican_constitution 	En caso de que el Presidente no pudiere rendir la protesta ante el Congreso de la Unión, ante la Comisión Permanente o ante las Mesas Directivas de las Cámaras del Congreso de la Unión lo hará de inmediato ante el Presidente de la Suprema Corte de Justicia de la Nación. 	Inon sentikayotekitiketl amo uelis mo ixpanextis pan iteki nechikolueyitekitini kichiuas nimaya pan ixtempa ni sentikayotekitiketl tlen mexko ueyi tekitiketl tlen katli ki moyaua kualtilistli. 
Mexican_constitution 	Artículo 88. 	Najpoauli uan chikueyitipaj tlaijtoli. 
Mexican_constitution 	El Presidente de la República podrá ausentarse del territorio nacional hasta por siete días, informando previamente de los motivos de la ausencia a la Cámara de Senadores o a la Comisión Permanente en su caso, así como de los resultados de las gestiones realizadas. 	Ni mexkotlanauatijketlamo uelis mouejkanos tlen pan ni mexkotlali tlan amo kimaka kakiuili ueyi nechikoltlateyoualol o tlen chikomej tekitlaixnamikili. 
Mexican_constitution 	En ausencias mayores a siete días, se requerirá permiso de la Cámara de Senadores o de la Comisión Permanente. 	Kema axok youi chikome tonali uakaj tlajtlanis makauilistli se tlatoktsi o kakiuili ka tekitlaixnamikilistli. 
Mexican_constitution 	Artículo 89. 	Najpouali uan chiknauitipaj tlaijtoli. 
Mexican_constitution 	Las facultades y obligaciones del Presidente, son las siguientes: 	Tlen katli kimelaua uan katli kichiuas mexkotlanauatijketl yayani: 
Mexican_constitution 	I. Promulgar y ejecutar las leyes que expida el Congreso de la Unión, proveyendo en la esfera administrativa a su exacta observancia. 	I. Kimoyauas uan kichiuas machiotlajtolmen katli kichiuaj machiotinin mexkosenkotili; 
Mexican_constitution 	II. Nombrar y remover libremente a los Secretarios de Estado, remover a los embajadores, cónsules generales y empleados superiores de Hacienda, y nombrar y remover libremente a los demás empleados de la Unión, cuyo nombramiento o remoción no esté determinado de otro modo en la Constitución o en las leyes; 	II. Kintokaxtis uan kinpatlas nochi tekitlajkuilouanin, uan kinpatlas nopa tekitinij tlaixpaneltilmej uan katli tekittomintlajkuilouanin, uan sekinok tekipanouanin; 
Mexican_constitution 	Los Secretarios de Estado y los empleados superiores de Hacienda y de Relaciones entrarán en funciones el día de su nombramiento. >Cuando no sean ratificados en los términos de esta Constitución, dejarán de ejercer su encargo. 	Tlakuilouani pan tlaltokayotl uan sekinok tekipanouani kakiuil tominkuitlauiyani kalakis ipan tonali kemaj ya kimakakej se amatlakuiloli kampa yayak tekitis. 
Mexican_constitution 	En los supuestos de la ratificación de los Secretarios de Relaciones y de Hacienda, cuando no se opte por un gobierno de coalición, si la Cámara respectiva no ratificare en dos ocasiones el nombramiento del mismo Secretario de Estado, ocupará el cargo la persona que designe el Presidente de la República; 	Kemaj ya kiikuilokej nopa amatlajkuilolme tokaxtiya” amatlajkuilouani uan kemaj se axkiaxiliya ni mexkosentikatlanatijketl ka sentik ijkuiloli ika ome uan tokaitl kampa amatlakuilouani tlaltokayotl. >Uaka tekitis nopa maseuali ipan mexkosentikayotekitijketl. 
Mexican_constitution 	III. Nombrar, con aprobación del Senado, a los embajadores, cónsules generales, empleados superiores de Hacienda y a los integrantes de los órganos colegiados encargados de la regulación en materia de telecomunicaciones, energía y competencia económica; 	III. Kintokaxtis yekantlajtoltinin, tekitinij tlaixpaneltilmej ka itlachialis kaltlaijtoltlakamen; uan sekinok tlanauatiyani ipan ni kakiuili tepos xoyaktlajtoli tetikayotl, kunke kimelaua tomi. 
Mexican_constitution 	IV. Nombrar, con aprobación del Senado, los Coroneles y demás oficiales superiores del Ejército, Armada y Fuerza Aérea Nacionales; 	IV. Kintokaxtis katli kiinextis tlen uejkapan tlaijtoltlakamen, tlentsonkotomej uan sekinok uejueyintin ika itlachialis kaltlaijtoltlakatl; 
Mexican_constitution 	V. Nombrar a los demás oficiales del Ejército, Armada y Fuerza Aérea Nacionales, con arreglo a las leyes. 	V. Kintokaxtis nelaxkayolmen tlen tsonkotomen uan sekinok uejueyintin tlen tlajtoua machiotlajtoli; 
Mexican_constitution 	VI. Preservar la seguridad nacional, en los términos de la ley respectiva, y disponer de la totalidad de la Fuerza Armada permanente o sea del Ejército, de la Armada y de la Fuerza Aérea para la seguridad interior y defensa exterior de la Federación. 	VI. Kiuejkapantlalis mexkotlamokuitlauilistli tlen kinextia machiotlajtoli, uan kitekiuistlen nochi tsonkotomej ipan mexkotlali, nojkia tlen ajakatsonkotomej tlen onkas tlamanauilistli pan ni mexkotlai uan anali; 
Mexican_constitution 	VII. Disponer de la Guardia Nacional para los mismos objetos, en los términos que previene la fracción IV del artículo 76. 	VII. Kipias katli mexko tlamokuitlauilistli tlen tlajtoua panexpoualiuan matlaktli uan chikuasej tlaijtoli pan naui pilijtoli; 
Mexican_constitution 	VIII. Declarar la guerra en nombre de los Estados Unidos Mexicanos, previa ley del Congreso de la Unión. 	VIII. Tlamachiltis kema onkasyaoyotl kualantli ika itokax tlen mexkotlali tlan eltos machiotlajtoli pan machiotinin mexkosenkotili; 
Mexican_constitution 	IX. Intervenir en la designación del Fiscal General de la República y removerlo, en términos de lo dispuesto en el artículo 102, Apartado A, de esta Constitución; 	IX. Kitokaxtis axkayotl tekitijketl nejneuili ka itlachialis kaltlaijtoltlakamen; ki olinis, kijtoua ni amatlajtoli itlakotonka makuili pouali iuan ome tlajkuilolpamitl” A” kanji tlanejneuilyotl; 
Mexican_constitution 	X. Dirigir la política exterior y celebrar tratados internacionales, así como terminar, denunciar, suspender, modificar, enmendar, retirar reservas y formular declaraciones interpretativas sobre los mismos, sometiéndolos a la aprobación del Senado. 	X. Kiyakanas analieuanin tlachiualistli, kichiuas sentlalilistli tlen analieuanin, nojkia kitlamiltis, kitsakulis, kipatlas, kineltlalis, kijkuinis ika itlachialis kaltlaijtoltlakamen. 
Mexican_constitution 	En la conducción de tal política, el titular del Poder Ejecutivo observará los siguientes principios normativos: la autodeterminación de los pueblos; la no intervención; la solución pacífica de controversias; la proscripción de la amenaza o el uso de la fuerza en las relaciones internacionales; la igualdad jurídica de los Estados; la cooperación internacional para el desarrollo; el respeto, la protección y promoción de los derechos humanos y la lucha por la paz y la seguridad internacionales; 	Pan inenemilis tlachiualistli mexkotlanauatijketl kitlachilis tlen yayani ipejka: iseltika teyoualaltepemen, amo mokalakis, mosenkauas kaimelajka kuesolmen, amo ka tlamamatili o ka tsokototetikayotl, ka san se tlapaleuili, ka sentikatlapaleuili analialtepemen, ma onka pakiliskayotl uan analitlamokuitlauili; 
Mexican_constitution 	XI. Convocar al Congreso a sesiones extraordinarias, cuando lo acuerde la Comisión Permanente. 	XI. Kin nonotsas ueyi nechikoli tlen nimaya ika itlachialis eltipa tekitlaixnamikili; 
Mexican_constitution 	XII. Facilitar al Poder Judicial los auxilios que necesite para el ejercicio expedito de sus funciones. 	XII. Kimakas kakiuili tlakuaualtekatl tekiua tlapaleuili katli kimonekilis tlen kichiuas iteki; 
Mexican_constitution 	XIII. Habilitar toda clase de puertos, establecer aduanas marítimas y fronterizas, y designar su ubicación. 	XIII. Kitlalis tlamokuitlauianin pan ueyiamen uan tlen tlanepamitl uan kitlalis kampa eltose; 
Mexican_constitution 	XIV. Conceder, conforme a las leyes, indultos a los reos sentenciados por delitos de competencia de los tribunales federales y a los sentenciados por delitos del orden común, en el Distrito Federal; 	XIV. Temakas tlen kitoua machiotlajtoli tlapopoluili katli kaltsatokej katli kimelaua kisenkauas; 
Mexican_constitution 	XV. Conceder privilegios exclusivos por tiempo limitado, con arreglo a la ley respectiva, a los descubridores, inventores o perfeccionadores de algún ramo de la industria. 	XV. Temakastlamajkauili san kentsi tonali katli kinextijke uan katli kikualchichijke kaltekichiuali tlen tlajtoua machiotlajtoli; 
Mexican_constitution 	XVI. Cuando la Cámara de Senadores no esté en sesiones, el Presidente de la República podrá hacer los nombramientos de que hablan las fracciones III, IV y IX, con aprobación de la Comisión Permanente; 	XVI. Mexkotlanauatijketl amo uelis temakas amatokayotl katli kijtoua III, IVuan IX pilijtoli, kema machiosentili nechikoli amo mosentilitokej uan tekipanotojke; 
Mexican_constitution 	XVII. En cualquier momento, optar por un gobierno de coalición con uno o varios de los partidos políticos representados en el Congreso de la Unión. 	XVII. Sentikayotl tlanauatijketl imiyaka mouantis kampa kiselitokej tlajtolmej uan sekinok tlapaleuilistli uelis kiselisej kunke miyaki moixpantijke machiosentili nejchikoli o mo kualanijke ka ni mexkosentikatlanauatijket ika sentik. 
Mexican_constitution 	XVIII. Presentar a consideración del Senado, la terna para la designación de Ministros de la Suprema Corte de Justicia y someter sus licencias y renuncias a la aprobación del propio Senado; 	XVIII. Temakas ka itlachialis kaltlaijtoltlakamen ka eyi tlapepenilkayotl tlen kitokaxtisej axkayotl tepanitali tlen mexkotlali, tekisiaketsali uan tekitlamilistli; 
Mexican_constitution 	XIX. Objetar los nombramientos de los comisionados del organismo garante que establece el artículo 6o. de esta Constitución hechos por el Senado de la República, en los términos establecidos en esta Constitución y en la ley; 	XIX. Moikuinis kampa kiski nopa tokaitl kijtoua ni itlakotonka chiuasej mexkosentikatlanauatili kichijki ni ueyi tekitijketl pan mexko, kijtoua mexkosentikatlanauatili pan ni nauatili. 
Mexican_constitution 	XX. Las demás que le confiere expresamente esta Constitución. 	XX. Uan nochi katli moixpantia pan tlanejneuilyotl. 
Mexican_constitution 	Artículo 90. 	Nojpouali uan majtlatlitipaj tlaijtoli. 
Mexican_constitution 	La Administración Pública Federal será centralizada y paraestatal conforme a la Ley Orgánica que expida el Congreso, que distribuirá los negocios del orden administrativo de la Federación que estarán a cargo de las Secretarías de Estado y definirá las bases generales de creación de las entidades paraestatales y la intervención del Ejecutivo Federal en su operación. 	Amatekilistli miyayotl axkayotl elis san se nechikolistemakayotl uan xexelonechikoli ken tlajtoua machiotlajtoli katli kijtos ueyi nechikol tlateyoualol, uan kiyakanas tlateyouali uextlanauatili kijtos kenijki tlatsinkuis tlen ipeualtika tlaltokayolmen uan itlachialis tlen mexkotlanauatijketl. 
Mexican_constitution 	La (sic DOF 02-08-2007) leyes determinarán las relaciones entre las entidades paraestatales y el Ejecutivo Federal, o entre éstas y las Secretarías de Estado. 	Machiotlajtolmen tlajtose tlen mouikase tlen tlaltokayolmen, mexkotlanauatijketl uan tlateyouali uextlanauatili. 
Mexican_constitution 	La función de Consejero Jurídico del Gobierno estará a cargo de la dependencia del Ejecutivo Federal que, para tal efecto, establezca la ley. 	Tekipanoslistli kichiua ka tlalnamikili tlajtolketsali tlen mexko tlauatijketlkampa tekititok ipan nopa tekikali ki tsonti nauatilistli pan mexko kijtoua ni nauatili. 
Mexican_constitution 	El Ejecutivo Federal representará a la Federación en los asuntos en que ésta sea parte, por conducto de la dependencia que tenga a su cargo la función de Consejero Jurídico del Gobierno o de las Secretarías de Estado, en los términos que establezca la ley. 	Aki kichiua makitsonti tlanauatilistli mexko tlajtolme kampa tekititok pan ni tekikalli pan ni tlatolmoyauali pan mexko o tla nojkia tlaltokayotl amatlakuilouani sankej kijtoua ni nauatili. 
Mexican_constitution 	Artículo 91. 	Najpouali uan majtlaktli uan sentipaj tlaijtoli. 
Mexican_constitution 	Para ser secretario del Despacho se requiere: ser ciudadano mexicano por nacimiento, estar en ejercicio de sus derechos y tener treinta años cumplidos. 	Katli kineki elis tekitlajkuilojketl moneki tlakatis pan mexkotlali, uan kipias ixitlaualis uan kitsontijtos sempouali uan majtlaktli xiuitl. 
Mexican_constitution 	Artículo 92. 	Najpouali uan ometipaj tlaijtoli. 
Mexican_constitution 	Todos los reglamentos, decretos, acuerdos y órdenes del Presidente deberán estar firmados por el Secretario de Estado a que el asunto corresponda, y sin este requisito no serán obedecidos. 	Nochimachiotlajtolmen uan tlanauatili tlen mexkotlanauatiojketl moneki tlajkuijkuitsojtos ka tekitlajkuilojketl katli kimelaua, tlan amo kichiuas amo kiipanitase. 
Mexican_constitution 	Artículo 93. >Los Secretarios del Despacho, luego que esté abierto el periodo de sesiones ordinarias, darán cuenta al Congreso del estado que guarden sus respectivos ramos. 	Najpouali uan majtlaktli uan eyitipaj tlaijtoli. >Tekitlajkuilouanin tlen kema nimaya tlajpojtos tekinechikoli uextlateyoualol temakase katli kichijtoke. 
Mexican_constitution 	Cualquiera de las Cámaras podrá convocar a los Secretarios de Estado, a los directores y administradores de las entidades paraestatales, así como a los titulares de los órganos autónomos, para que informen bajo protesta de decir verdad, cuando se discuta una ley o se estudie un negocio concerniente a sus respectivos ramos o actividades o para que respondan a interpelaciones o preguntas. 	Akiueli kalmachiotlajtolkemen uelis kin nonotsas tekitlajkuilolkemen, axkayotl tekitijketl nejneuili uan sekinok ueyitekitinin, uan tlamachiltikan kema kitase uan mokamanaluise se machiotlajtoli o momachtise se tekitl katli kichiua. 
Mexican_constitution 	Las Cámaras, a pedido de una cuarta parte de sus miembros, tratándose de los diputados, y de la mitad, si se trata de los Senadores, tienen la facultad de integrar comisiones para investigar el funcionamiento de dichos organismos descentralizados y empresas de participación estatal mayoritaria. 	Kalmachiotlajtolkemen kipia tlanauatili temakase tekitlatitlanili katli kitemolise kenijki tekipanojke tekinechikolmen uan kaltekichiualistli. 
Mexican_constitution 	Los resultados de las investigaciones se harán del conocimiento del Ejecutivo Federal. 	Tlatemolistli mochiuas ika itlachilis mexkotlanauatijketl. 
Mexican_constitution 	Las Cámaras podrán requerir información o documentación a los titulares de las dependencias y entidades del gobierno federal, mediante pregunta por escrito, la cual deberá ser respondida en un término no mayor a 15 días naturales a partir de su recepción. 	Nopa kampa kichiua nauatili uelis tlajtlanise tlatsintokili uan amamej katli tekiti ipan se tekikali iuan pan tlaltokayotl mexko katlatsintokilistli, kampa kinankiliya pan se kakiuili amok panos kaxtolli tonali sankej peki amakuapouikej o tlajtlanke. 
Mexican_constitution 	El ejercicio de estas atribuciones se realizará de conformidad con la Ley del Congreso y sus reglamentos. 	Ni tlayejyekoli kijtoua ni nauatili mochiuas sankej kijtoua ni nechilnauatili iuan sekinok nauatili. 
Mexican_constitution 	Capítulo IV 	Naui Tekpanali 
Mexican_constitution 	Del Poder Judicial 	Tlen Tlalotl Tlakuaualistli 
Mexican_constitution 	Artículo 94. 	Najpouali uan majtlaktli uan nauitipaj tlaijtoli. 
Mexican_constitution 	Se deposita el ejercicio del Poder Judicial de la Federación en una Suprema Corte de Justicia, en un Tribunal Electoral, en Tribunales Colegiados y Unitarios de Circuito y en Juzgados de Distrito. 	Motlali tlen tlalotl tlakuaualistli pan se axkayotl tepanitali tlen mexkotlali, uexkaketsali tlajpepenili, sentikateki uexkaketsali, se uexkaketsali uan xelol ketsaloyan. 
Mexican_constitution 	La administración, vigilancia y disciplina del Poder Judicial de la Federación, con excepción de la Suprema Corte de Justicia de la Nación, estarán a cargo del Consejo de la Judicatura Federal en los términos que, conforme a las bases que señala esta Constitución, establezcan las leyes. 	Amatekilistli, tlamokuitlauili uan xitlaualistli tlen tlalotl tlakuaualistli axkayotl, nika amo mokalakia axkayotl tepanitali tlen mexkotlali kichiuas tlaixnamikinin tlakuaualistli tlen tlajtoua tlanejneuilyotl. 
Mexican_constitution 	La Suprema Corte de Justicia de la Nación se compondrá de once Ministros y funcionará en Pleno o en Salas. 	Axkayotl tepanitlali tlen mexkotlali mokualchiua ka majtlaktli uan se yekantlajtoltijemen uan tekipanose pan se o sesenkatekitl. 
Mexican_constitution 	En los términos que la ley disponga las sesiones del Pleno y de las Salas serán públicas, y por excepción secretas en los casos en que así lo exijan la moral o el interés público. 	Tlen tlajtoua machiotlajtoli tekinechikolistli elis ixpamiyayotl uan ixtakayan, tlan kiampa moneki mochiuas. 
Mexican_constitution 	La competencia de la Suprema Corte, su funcionamiento en Pleno y Salas, la competencia de los Tribunales de Circuito, de los Juzgados de Distrito y del Tribunal Electoral, así como las responsabilidades en que incurran los servidores públicos del Poder Judicial de la Federación, se regirán por lo que dispongan las leyes, de conformidad con las bases que esta Constitución establece. 	Katli uelis kichiuas axkayotl tepanitali, youaloaxkayotl, xelol ketsaloyan uan uexkaketsali tlapepenolpa uan katli kichiuasej mochiuas tlen tlajtos machiotlajtoli. 
Mexican_constitution 	El Consejo de la Judicatura Federal determinará el número, división en circuitos, competencia territorial y especialización por materias, entre las que se incluirá la de radiodifusión, telecomunicaciones y competencia económica, de los Tribunales Colegiados y Unitarios de Circuito y de los Juzgados de Distrito. 	Tlen Mexko ueyisentilistli temakas ketski pouali, kenijkatsa moxexelos, kampa itlal uan tlakiya achi ueyi eli, ka ni mokalakis tepostlatsotsontli, uejkatepostlachiyali uan tlen kena kipia tomin, ka miakij tlanauatiltekikalmej uan nechikolis kampa kisenkaua kualantli tlen ni tlamachtilistli. 
Mexican_constitution 	Asimismo, mediante acuerdos generales establecerá Plenos de Circuito, atendiendo al número y especialización de los Tribunales Colegiados que pertenezcan a cada Circuito. >Las leyes determinarán su integración y funcionamiento. 	Tlaixnamikinin tlakuaualistli kijtose keskimen, maxaloli, tekiasilistli, uan katli kichiuas, sentikatekitl uexkaketsali, uan xelol ketsaloyan. 
Mexican_constitution 	El Pleno de la Suprema Corte de Justicia estará facultado para expedir acuerdos generales, a fin de lograr una adecuada distribución entre las Salas de los asuntos que competa conocer a la Corte, así como remitir a los Tribunales Colegiados de Circuito, para mayor prontitud en el despacho de los asuntos, aquéllos en los que hubiera establecido jurisprudencia o los que, conforme a los referidos acuerdos, la propia Corte determine para una mejor impartición de justicia. 	Ni axkayotl tepanitali kipia tlanauatili kitlalis senkaualistli, uan kiaxitilis kixelos kaltekichiuali tlen katli kimelauas kiximatis, uan nojkia kititlanis pan sentikatekitl uexkaketsali uan nimaya mosenkauas tlamantli. 
Mexican_constitution 	Dichos acuerdos surtirán efectos después de publicados. 	Ni sentikauilistli mochiuas nimaya kema teipa mo tlamachilti. 
Mexican_constitution 	Los juicios de amparo, las controversias constitucionales y las acciones de inconstitucionalidad se substanciarán y resolverán de manera prioritaria cuando alguna de las Cámaras del Congreso, a través de su presidente, o el Ejecutivo Federal, por conducto del consejero jurídico del gobierno, justifique la urgencia atendiendo al interés social o al orden público, en los términos de lo dispuesto por las leyes reglamentarias. 	Tlen ojtli kampa momanauia, tlanuatili kuesoli uan tlachiualistli tlen axkitlepanita ni ueyiamatlanauatili kitominpaleuise uan kisenkauase achtoui kema seki ueyinechikolis, ka iueyitlanauatijketl, noso tlen Mexko ueyitlanuatijketl, ka tlakatl kineltoka tlanauatili, kiijtos kenke nimantsi mochiua pampa ijkinoj kineki maseualmej noso tekpantli ka maseualmej, kej moijtoua pan tlanauatili. 
Mexican_constitution 	La ley fijará los términos en que sea obligatoria la jurisprudencia que establezcan los Tribunales del Poder Judicial de la Federación y los Plenos de Circuito sobre la interpretación de la Constitución y normas generales, así como los requisitos para su interrupción y sustitución. 	Machiotlajtoli tlajtos tlamiya katli kichiuase tlalotl tlakuaualistli, kenijki kimachikisej tlanejneuilyotl, machiotlajtolmen uan xitlaualismen axkayotilol uan tlaltokayolmen, uan sentlalilistli, iketstili uan patlalistli. 
Mexican_constitution 	La remuneración que perciban por sus servicios los Ministros de la Suprema Corte, los Magistrados de Circuito, los Jueces de Distrito y los Consejeros de la Judicatura Federal, así como los Magistrados Electorales, no podrá ser disminuida durante su encargo. 	Tlaxtlauili katli kiseliaj yekantlajtoltijkemen, melajmachiojketl, ketsaltekatl uan tekitlalnamiktianin amo uelis kintemouilise inintlaxtlauil. 
Mexican_constitution 	Los Ministros de la Suprema Corte de Justicia durarán en su encargo quince años, sólo podrán ser removidos del mismo en los términos del Título Cuarto de esta Constitución y, al vencimiento de su periodo, tendrán derecho a un haber por retiro. 	Yekantlajtoltijkemen tlen axkayotl tepanitali uejkauas pan iteki kaxtoli xiuitl uan uelis kinpatlase tlen tlajtoua naui tlaijtolnechikoli tlen ni tlajneneuilyotl, uan kema tekitlamis iteki, kipia machiotlajtoli kiselis tlapaleuili pampa tekiti. 
Mexican_constitution 	Ninguna persona que haya sido ministro podrá ser nombrada para un nuevo periodo, salvo que hubiera ejercido el cargo con el carácter de provisional o interino. 	Yon se maseuali katli tekipano ken yekantlajtoltijketl amo uelis kitekimakase nimaya, kena auelis tlan tekipano kentsi tonali. 
Mexican_constitution 	Artículo 95. 	Najpouali uan kaxtolitipaj tlaitoli. 
Mexican_constitution 	Para ser electo ministro de la Suprema Corte de Justicia de la Nación, se necesita: 	Tlen tekitis ken yekantlajtoltijketl axkayotl tepanitali tlen mexkotlali moneki: 
Mexican_constitution 	I. Ser ciudadano mexicano por nacimiento, en pleno ejercicio de sus derechos políticos y civiles. 	I. Moneki elis mexko ejketl tlen kema tlakatki, kipixtos kuali ixkayotl tlenejeneuilyol uan sanimanyotl; 
Mexican_constitution 	II. Tener cuando menos treinta y cinco años cumplidos el día de la designación; 	II. Ki pixtos tlauelano sempoali uan kaxtoli xiuitl kema elis tekitiketl; 
Mexican_constitution 	III. Poseer el día de la designación, con antigüedad mínima de diez años, título profesional de licenciado en derecho, expedido por autoridad o institución legalmente facultada para ello; 	III. Kema kitekitlalise kipias tlen kiaxilis majtlatli xiuitl tlen paya tekipanojtos, uan kipias amatsontiltlamachtili pan ixkayotl, katli temakak kaltlamachtiloyan tlen kipia ipatijka; 
